"nFactors","items_per_factor","total_items","z_threshold","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
4,3,12,0.6,1,0.109117470253386,0.885714285714286,0.325925925925926,31,176,364,4,0.0909747845497666,-0.192510519970273
4,3,12,0.7,2,0.0821983602026858,0.944444444444444,0.185185185185185,34,100,440,2,-0.0468930477400341,-0.32889695395023
4,3,12,0.7,3,0.0777615791359739,0.857142857142857,0.288888888888889,30,156,384,5,0.104316346297099,-0.111355655639381
4,3,12,2.2,4,0.0507792073095238,1,0.0407407407407407,35,22,518,0,0.13091046347313,0.149173102927494
4,3,12,1.1,5,0.119630896789002,1,0.192592592592593,35,104,436,0,0.178720010795781,-0.0666235541900007
4,3,12,0.9,6,0.0727392967453308,0.914285714285714,0.207407407407407,32,112,428,3,0.00320444124540363,-0.204327428844804
4,3,12,2.4,7,0.0261430729193728,1,0.0111111111111111,35,6,534,0,-0.170288401275327,0.0492579023801054
4,3,12,0.1,8,0.0972943720993023,0.794117647058823,0.407407407407407,27,220,320,7,0.00134587680230762,-0.277880530151813
4,3,12,1,9,0.0403946941586026,0.916666666666667,0.140740740740741,33,76,464,3,-0.0756707919122956,-0.00996068120382839
4,3,12,1.3,10,0.0523647970073366,0.942857142857143,0.12962962962963,33,70,470,2,0.0397793703058176,0.0187980934121261
4,3,12,0.2,11,0.066346346811042,0.8,0.32962962962963,28,178,362,7,-0.144633319270492,-0.354687190996061
4,3,12,0.2,12,0.115325945746373,0.882352941176471,0.348148148148148,30,188,352,4,-0.0872635911651226,-0.343472325937795
4,3,12,0.4,13,0.0516660203055833,0.909090909090909,0.174074074074074,30,94,446,3,-0.349291214762312,-0.404759038948723
4,3,12,1.2,14,0.100664459136943,1,0.140740740740741,36,76,464,0,0.0460041125051767,-0.244080278713196
4,3,12,1.8,15,0.0847318545736323,1,0.103703703703704,36,56,484,0,0.127340603333461,-0.092470954985826
4,3,12,0.2,16,0.111602305648672,0.852941176470588,0.374074074074074,29,202,338,5,-0.0987064137322506,-0.349243693125665
4,3,12,0.3,17,0.0414021836859188,0.787878787878788,0.292592592592593,26,158,382,7,-0.0935987286600391,-0.00630526681906809
4,3,12,0.5,18,0.134613029581355,0.916666666666667,0.344444444444444,33,186,354,3,0.238418222964306,-0.0949432868332899
4,3,12,0.5,19,0.082763191615467,0.857142857142857,0.3,30,162,378,5,0.0223113924540148,-0.228148968670395
4,3,12,1,20,0.104378185773225,0.942857142857143,0.240740740740741,33,130,410,2,0.251454831021255,0.0279782808900956
4,3,12,2.6,21,0.033869822319862,1,0.0185185185185185,35,10,530,0,0.0701999562452592,0.15511559298511
4,3,12,1.9,22,0.0696129834354906,1,0.0740740740740741,35,40,500,0,0.0431323011472752,-0.102399115408068
4,3,12,0.7,23,0.0643380475352903,0.916666666666667,0.185185185185185,33,100,440,3,-0.172884360652489,-0.168862994593707
4,3,12,1.1,24,0.0796061279971721,1,0.0925925925925926,36,50,490,0,-0.185478710349435,-0.359729958835991
4,3,12,2.1,25,0.0366661274628746,1,0.0222222222222222,34,12,528,0,-0.0744439294251474,0.0681696624648421
4,3,12,0.5,26,0.0338981197592178,0.777777777777778,0.285185185185185,28,154,386,8,0.00194723616243562,-0.0420534122133062
4,3,12,1.7,27,0.0694197942434754,0.972222222222222,0.118518518518519,35,64,476,1,0.211569103612091,-0.0981910628182337
4,3,12,1.3,28,0.0583589857294379,0.941176470588235,0.144444444444444,32,78,462,2,0.0964934696844863,-0.111874431726571
4,3,12,1.9,29,0.0463738895760168,1,0.0333333333333333,36,18,522,0,-0.0163686166842681,0.122967536177742
4,3,12,0.4,30,0.0908722428985046,0.852941176470588,0.325925925925926,29,176,364,5,-0.0396371944995903,-0.401010065256605
4,4,16,0.5,1,0.0769239094306668,0.805555555555556,0.344444444444444,29,186,354,7,0.142479705178279,-0.175024792407396
4,4,16,1.4,2,0.088506324247536,1,0.114814814814815,35,62,478,0,0.00466315408232169,-0.0961298279089742
4,4,16,1.7,3,0.0580657245854073,0.971428571428571,0.1,34,54,486,1,0.161004664357092,-0.206573348976543
4,4,16,1.7,4,0.0852718857850409,1,0.107407407407407,35,58,482,0,0.143031480558735,-0.131073457946938
4,4,16,1.5,5,0.0306425706517948,1,0.0148148148148148,36,8,532,0,-0.27307652685998,-0.171985924015722
4,4,16,1.7,6,0.0803504974980642,0.972222222222222,0.140740740740741,35,76,464,1,0.32620538006521,0.000160009541089544
4,4,16,0.9,7,0.109002549241772,0.942857142857143,0.251851851851852,33,136,404,2,0.0458946343311416,-0.203603223063463
4,4,16,1,8,0.0750737694102418,1,0.0851851851851852,35,46,494,0,-0.218660955298599,-0.543237408348818
4,4,16,1.9,9,0.0371683744599633,1,0.0222222222222222,35,12,528,0,-0.138237635546382,-0.1030273061749
4,4,16,1.4,10,0.0694197942434754,0.972222222222222,0.118518518518519,35,64,476,1,0.0787854524454636,0.00348572011214097
4,4,16,1.9,11,0.0583637390342947,1,0.0518518518518519,36,28,512,0,-0.0377241909871449,0.133190031102386
4,4,16,0.4,12,0.0860678093517108,0.857142857142857,0.307407407407407,30,166,374,5,-0.0609668076838529,-0.245349109890967
4,4,16,1,13,0.117893526636105,0.914285714285714,0.311111111111111,32,168,372,3,0.601702736369077,-0.0116419226125624
4,4,16,0.7,14,0.129302659290402,0.882352941176471,0.381481481481481,30,206,334,4,0.362106468175504,0.0544876696665389
4,4,16,1.2,15,0.118224274551626,1,0.188888888888889,35,102,438,0,0.169467499815858,-0.270862877557449
4,4,16,0.1,16,0.0800819691024642,0.685714285714286,0.481481481481481,24,260,280,11,0.187004943539507,0.024490428341048
4,4,16,1.6,17,0.091888713868107,0.970588235294118,0.174074074074074,33,94,446,1,0.288879453127035,-0.126439609756055
4,4,16,1.1,18,0.0878420358684784,0.888888888888889,0.27037037037037,32,146,394,4,0.406799528748753,0.0970091322928884
4,4,16,1,19,0.119622582825654,0.942857142857143,0.277777777777778,33,150,390,2,0.162653810568162,-0.283699631972124
4,4,16,2.1,20,0.083869377844352,0.971428571428571,0.151851851851852,34,82,458,1,0.379681192805223,0.094030781079978
4,4,16,1,21,0.120679614754815,0.916666666666667,0.311111111111111,33,168,372,3,0.406438210438846,-0.0374424520235603
4,4,16,0.9,22,0.0573808946594961,0.972222222222222,0.0962962962962963,35,52,488,1,-0.244026895390264,-0.302321078415581
4,4,16,0.4,23,0.0859515540783185,0.861111111111111,0.3,31,162,378,5,0.0188918063451922,-0.219960160535221
4,4,16,2.2,24,0.0430716222803637,1,0.0296296296296296,35,16,524,0,-0.00977083265486757,0.140920292767473
4,4,16,1.2,25,0.108221611779095,1,0.162962962962963,35,88,452,0,0.0864595171751984,-0.166633207544778
4,4,16,1.4,26,0.0727392967453308,0.914285714285714,0.207407407407407,32,112,428,3,0.284199212109293,0.308704940039306
4,4,16,2.8,27,0.0722987821913979,1,0.0814814814814815,34,44,496,0,0.502794107517827,0.126474068523306
4,4,16,1.4,28,0.0854763179223619,0.970588235294118,0.159259259259259,33,86,454,1,0.133470501242749,-0.0207494545080619
4,4,16,0.1,29,0.152855695910666,0.833333333333333,0.481481481481481,30,260,280,6,0.438598071355683,-0.247603541905473
4,4,16,0.3,30,0.1088393136409,0.805555555555556,0.414814814814815,29,224,316,7,0.151342790451943,-0.105142897929818
4,6,24,0.7,1,0.102433625492884,0.861111111111111,0.337037037037037,31,182,358,5,0.406304415537294,0.032357306112184
4,6,24,0.5,2,0.0938041280507039,0.823529411764706,0.366666666666667,28,198,342,6,0.210672909562802,-0.202138143234309
4,6,24,0.5,3,0.0599857082329874,0.882352941176471,0.222222222222222,30,120,420,4,-0.180621750340457,-0.415761892806052
4,6,24,1.7,4,0.108221611779095,1,0.162962962962963,35,88,452,0,0.266919013711977,-0.151960740037547
4,6,24,1.5,5,0.0583637390342947,1,0.0518518518518519,36,28,512,0,-0.204864728980067,-0.284754749041395
4,6,24,1.2,6,0.118532540026294,0.972222222222222,0.22962962962963,35,124,416,1,0.255193980415322,-0.140918400214813
4,6,24,1,7,0.130441885878747,0.941176470588235,0.311111111111111,32,168,372,2,0.484347017688328,0.033194322991993
4,6,24,1.3,8,0.071306357802444,0.972222222222222,0.122222222222222,35,66,474,1,-0.0279155296564728,-0.248075059972378
4,6,24,0.2,9,0.0900791242218625,0.722222222222222,0.462962962962963,26,250,290,10,0.412261925539002,-0.126372688741524
4,6,24,0.7,10,0.0981130246980906,0.882352941176471,0.307407407407407,30,166,374,4,0.311091290316345,0.0476912543389325
4,6,24,1.7,11,0.0871000200119006,0.970588235294118,0.162962962962963,33,88,452,1,0.363537379451221,-0.0239001765427912
4,6,24,0.7,12,0.116608269097197,0.942857142857143,0.27037037037037,33,146,394,2,0.0169602462480833,-0.15051056574987
4,6,24,0.5,13,0.167437614356827,0.942857142857143,0.396296296296296,33,214,326,2,0.435398322325166,-0.319497188984667
4,6,24,0.8,14,0.0974885095998985,0.857142857142857,0.333333333333333,30,180,360,5,0.305529306920193,0.344454250315215
4,6,24,1.9,15,0.0265651136911066,0.916666666666667,0.118518518518519,33,64,476,3,0.266930818946049,0.141718488568785
4,6,24,0.1,16,0.140492452976648,0.685714285714286,0.603703703703704,24,326,214,11,0.69346368851033,-0.0307096852486386
4,6,24,0.1,17,0.0558885248780119,0.555555555555556,0.559259259259259,20,302,238,16,0.419010773301903,0.354481969274729
4,6,24,0.8,18,0.115651704973568,0.941176470588235,0.274074074074074,32,148,392,2,0.286415957493173,-0.28882233265326
4,6,24,0.9,19,0.150097711707878,0.916666666666667,0.381481481481481,33,206,334,3,0.592876462006767,-0.187387419480224
4,6,24,1.6,20,0.0871000200119006,0.970588235294118,0.162962962962963,33,88,452,1,0.256708221331564,-0.0254004432935365
4,6,24,0.2,21,0.152398988831555,0.857142857142857,0.459259259259259,30,248,292,5,0.23193220564559,-0.388137664232423
4,6,24,0.6,22,0.154056275195019,0.857142857142857,0.462962962962963,30,250,290,5,0.71372817064327,-0.160756938081534
4,6,24,0.4,23,0.132125188040483,0.794117647058823,0.485185185185185,27,262,278,7,0.501753601103817,-0.206972261036374
4,6,24,0.6,24,0.122763905215868,0.878787878787879,0.374074074074074,29,202,338,4,0.340091174019855,-0.361251826592022
4,6,24,0.6,25,0.122503487275752,0.914285714285714,0.322222222222222,32,174,366,3,0.208656762888794,-0.295261571967604
4,6,24,1,26,0.139004082547008,0.942857142857143,0.325925925925926,33,176,364,2,0.489268394362998,-0.166928365071116
4,6,24,0.4,27,0.110364296357339,0.857142857142857,0.362962962962963,30,196,344,5,0.15007680852024,-0.481439342883899
4,6,24,0.1,28,0.0643081910898956,0.694444444444444,0.437037037037037,25,236,304,11,0.0667565017377264,-0.158223060314541
4,6,24,1.6,29,0.122980585827111,0.972222222222222,0.240740740740741,35,130,410,1,0.576024906293085,0.0205899119645167
4,6,24,1.2,30,0.149071198499986,1,0.266666666666667,36,144,396,0,0.48015088479077,-0.278583319435388
4,8,32,0.8,1,0.0716879755852075,0.742857142857143,0.403703703703704,26,218,322,9,0.60092034439153,0.298435934533612
4,8,32,1.7,2,0.124034734589208,1,0.2,36,108,432,0,0.403494530129906,-0.189449898911999
