"nFactors","items_per_factor","total_items","mean_best_z","median_best_z","sd_best_z","mean_mcc","median_mcc","sd_mcc"
4,3,12,1.05,0.95,0.724330844582635,0.0734977803485357,0.0711761400904107,0.0291676206915247
4,4,16,1.21666666666667,1.2,0.645986726314645,0.0863698930629967,0.0853741018537014,0.0280921129042403
4,6,24,0.836666666666667,0.7,0.530116014194768,0.108176262846745,0.113008000665453,0.0342885086889132
4,8,32,1.01,0.9,0.66246665498387,0.125302348604215,0.1275462313416,0.0374565657528853
4,10,40,0.966666666666667,0.9,0.611010092660779,0.137281251748271,0.133626270497621,0.042255470189653
4,12,48,0.83,0.7,0.573645330772631,0.17247368129392,0.169594721752783,0.0441387253468582
6,3,18,1.11,0.9,0.714070410900871,0.0918483571297126,0.0879267412312409,0.0300609118963155
6,4,24,0.96,0.8,0.650517035743956,0.10432691974199,0.107052428646349,0.0293473146464303
6,6,36,1.05,1.05,0.702090474570592,0.119224092389371,0.120257555733705,0.024548123252676
6,8,48,1.01333333333333,0.85,0.761456559466148,0.175807727703539,0.171621516775071,0.0445804654224044
6,10,60,0.743333333333333,0.7,0.487557836239108,0.213048575329328,0.209577391751681,0.0414298354316899
6,12,72,0.8,0.75,0.572351471472339,0.252712376462237,0.236146195709578,0.061613561735088
8,3,24,0.983333333333333,0.8,0.735823879477416,0.101527477927251,0.0925446497904642,0.0363539835523181
8,4,32,0.933333333333333,1,0.657232092177874,0.133458545902043,0.138044403290944,0.0410777830488693
8,6,48,0.95,1,0.547565143345426,0.183141562767052,0.185833970118239,0.0387730032117517
8,8,64,0.703333333333333,0.6,0.504793117974109,0.243179474420582,0.229100014012773,0.0541163446694811
8,10,80,0.693333333333333,0.6,0.548938369339704,0.31119889056841,0.312072659014845,0.0497773343371447
8,12,96,0.68,0.6,0.424589050811447,0.371358207422475,0.367033558851916,0.0705444688982257
10,3,30,1.12,1,0.724164203135897,0.096470267004773,0.0969346554441362,0.0312712655069177
10,4,40,0.883333333333333,0.9,0.56451586418766,0.147271468721729,0.14490950128411,0.0409033575531289
10,6,60,0.656666666666667,0.5,0.515071694596697,0.230104161597523,0.2273742825349,0.0352520432374012
10,8,80,0.656666666666667,0.5,0.561207646944075,0.31524713610402,0.314917276163301,0.0508741076011263
10,10,100,0.7,0.75,0.382370104155286,0.405137899061424,0.405487130746932,0.067750731050237
10,12,120,0.673333333333333,0.65,0.437022317218614,0.478258894755585,0.486005661426193,0.0748627971689483
12,3,36,1.03666666666667,0.95,0.66201538336816,0.126040940229151,0.121577926399906,0.0434147438636528
12,4,48,0.956666666666667,0.8,0.658463903827445,0.17122220221558,0.170988105508756,0.038356733027463
12,6,72,0.633333333333333,0.5,0.53712730998008,0.302805935230323,0.305900502829975,0.0611352395864999
12,8,96,0.76,0.75,0.386496197063862,0.38951805841994,0.395373058652574,0.0656554707176813
12,10,120,0.603333333333333,0.6,0.401276698184367,0.487294916300551,0.484973730944665,0.0741066194392545
12,12,144,0.693333333333333,0.65,0.42825494609003,0.541677890448214,0.536684306893184,0.0817936023844486
15,3,45,0.646666666666667,0.5,0.495311349893512,0.164121353256435,0.16474872019411,0.0295883684196012
15,4,60,0.716666666666667,0.6,0.491362169493334,0.222436774135427,0.22434233535716,0.0497211124692932
15,6,90,0.533333333333333,0.4,0.336650164612069,0.362508502094389,0.381312267356584,0.0619298374623585
15,8,120,0.586666666666667,0.5,0.377590668109897,0.494415846086292,0.491117897112403,0.0778724076405178
15,10,150,0.653333333333333,0.6,0.490413852910414,0.61537014868629,0.616510379311997,0.0634845606335579
15,12,180,1.09,1.05,0.528073923769691,0.664969195468428,0.666737796679669,0.0754851783209871
18,3,54,0.563333333333333,0.4,0.479571168594534,0.18525093507276,0.178867114196308,0.0379570662971563
18,4,72,0.65,0.5,0.42730107289422,0.254758795033199,0.242097633782244,0.0579724724687647
18,6,108,0.566666666666667,0.5,0.360395695689147,0.451601598890011,0.442254359600034,0.0714130426806847
18,8,144,0.78,0.75,0.522196950558325,0.58887346540578,0.587921178814006,0.0730665807590972
