"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
2,12,1,1.7,0.0621161470906877,0.971428571428571,0.107407407407407,34,58,482,1,NA,NA
2,12,2,0.9,0.167702516704942,1,0.322222222222222,35,174,366,0,NA,NA
2,12,3,0.1,0.0823691378355518,0.771428571428571,0.396296296296296,27,214,326,8,NA,NA
2,12,4,1.3,0.0705036185874039,1,0.0777777777777778,34,42,498,0,NA,NA
2,12,5,0.9,0.106430384168539,0.972222222222222,0.2,35,108,432,1,NA,NA
2,12,6,1.3,0.165495887830752,1,0.322222222222222,34,174,366,0,NA,NA
2,12,7,0.3,0.0851135829815569,0.818181818181818,0.355555555555556,27,192,348,6,NA,NA
2,12,8,0.3,0.055420369820712,0.828571428571429,0.274074074074074,29,148,392,6,NA,NA
2,12,9,0.3,0.0714444403732141,0.8,0.340740740740741,28,184,356,7,NA,NA
2,12,10,0.5,0.145478593490662,0.914285714285714,0.377777777777778,32,204,336,3,NA,NA
2,12,11,1.1,0.0895019134936982,0.888888888888889,0.274074074074074,32,148,392,4,NA,NA
2,12,12,0.1,0.0319397207146584,0.771428571428571,0.288888888888889,27,156,384,8,NA,NA
2,12,13,0.3,0.0218964773401978,0.735294117647059,0.307407407407407,25,166,374,9,NA,NA
2,12,14,0.1,0.0603156338868864,0.771428571428571,0.348148148148148,27,188,352,8,NA,NA
2,12,15,0.7,0.128051408116301,0.888888888888889,0.362962962962963,32,196,344,4,NA,NA
2,12,16,0.7,0.0607882297612954,0.909090909090909,0.192592592592593,30,104,436,3,NA,NA
2,12,17,0.3,0.0704757775333913,0.735294117647059,0.411111111111111,25,222,318,9,NA,NA
2,12,18,1.7,0.0655354316176239,0.939393939393939,0.162962962962963,31,88,452,2,NA,NA
2,12,19,1.5,0.0407521222584131,1,0.0259259259259259,36,14,526,0,NA,NA
2,12,20,0.1,0.115758204689847,0.685714285714286,0.555555555555556,24,300,240,11,NA,NA
2,12,21,1.3,0.0935139346144637,1,0.12962962962963,34,70,470,0,NA,NA
2,12,22,1.7,0.097843986535659,1,0.137037037037037,35,74,466,0,NA,NA
2,12,23,1.1,0.0936740657546476,0.971428571428571,0.174074074074074,34,94,446,1,NA,NA
2,12,24,0.1,0.102215867907805,0.794117647058823,0.418518518518519,27,226,314,7,NA,NA
2,12,25,2.1,0.0714657873803637,1,0.0777777777777778,35,42,498,0,NA,NA
2,12,26,0.9,0.107160428264213,0.970588235294118,0.211111111111111,33,114,426,1,NA,NA
2,12,27,2.7,0.0148374600302821,1,0.0037037037037037,34,2,538,0,NA,NA
2,12,28,0.5,0.123179862877134,0.857142857142857,0.392592592592593,30,212,328,5,NA,NA
2,12,29,1.7,0.083815167682373,0.972222222222222,0.148148148148148,35,80,460,1,NA,NA
2,12,30,0.1,0.137605310981374,0.833333333333333,0.448148148148148,30,242,298,6,NA,NA
3,18,1,1.9,0.0778498944161523,1,0.0888888888888889,36,48,492,0,NA,NA
3,18,2,1.3,0.108643108227453,0.970588235294118,0.214814814814815,33,116,424,1,NA,NA
3,18,3,1.5,0.0888361393309868,0.971428571428571,0.162962962962963,34,88,452,1,NA,NA
3,18,4,2.1,0.0597309632557328,1,0.0555555555555556,35,30,510,0,NA,NA
3,18,5,2.1,0.0186096842079694,0.971428571428571,0.0444444444444444,34,24,516,1,NA,NA
3,18,6,0.1,0.102529294260553,0.771428571428571,0.440740740740741,27,238,302,8,NA,NA
3,18,7,0.1,0.0329225630120213,0.757575757575758,0.307407407407407,25,166,374,8,NA,NA
3,18,8,1.7,0.120798487896627,1,0.2,34,108,432,0,NA,NA
