"nFactors","total_items","mean_best_z","median_best_z","sd_best_z","mean_best_mcc","median_best_mcc","sd_mcc","mean_z_good","mean_z_careless"
2,12,0.88,0.8,0.699457918184036,0.087413382344155,0.084464375331965,0.0384411411776919,NA,NA
3,18,1.17333333333333,1.2,0.767410933092489,0.0958906478088336,0.0939121439422212,0.0381694164802827,NA,NA
4,24,0.946666666666667,0.9,0.698142033436302,0.109189300619826,0.114056953964344,0.0271807612000909,NA,NA
5,30,1.08,0.9,0.767171248247698,0.110401341169262,0.104342948246526,0.0320972732949761,NA,NA
6,36,1.08666666666667,1.1,0.678605737616797,0.142839121196407,0.140064340199636,0.0339883168416949,NA,NA
7,42,1.00666666666667,1,0.684273253209178,0.172442923964951,0.170573738970081,0.0375971555787242,NA,NA
8,48,0.713333333333333,0.7,0.52505062700614,0.196818133690729,0.197012911110816,0.0427511542219852,NA,NA
9,54,0.813333333333333,0.9,0.552569754269389,0.205668108508809,0.21033130277731,0.0516355525778924,NA,NA
10,60,0.793333333333333,0.8,0.516575817003316,0.254757823239991,0.243244085908213,0.0583868002470469,NA,NA
11,66,0.766666666666667,0.9,0.504690641559917,0.25046817674967,0.227364435837638,0.0570623094036789,NA,NA
12,72,0.726666666666667,0.7,0.44173118158175,0.309843841545934,0.31020541411927,0.0569771515712926,NA,NA
13,78,0.486666666666667,0.3,0.475418750688009,0.331121217160966,0.331297631561481,0.0614279302682028,NA,NA
14,84,0.466666666666667,0.4,0.288077256559983,0.337644217827491,0.329079561952232,0.0474677865227271,NA,NA
15,90,0.546666666666667,0.5,0.391930089942452,0.353695281459689,0.337447247656802,0.0653751160431248,NA,NA
16,96,0.733333333333333,0.7,0.501262773219887,0.359007990352988,0.346720090740783,0.0697758076884064,NA,NA
17,102,0.74,0.8,0.456070170039655,0.389283412645452,0.388637753155447,0.0542080958547723,NA,NA
18,108,0.64,0.6,0.410718462176238,0.436128820264253,0.424009304172087,0.0690067058421701,NA,NA
19,114,0.606666666666667,0.5,0.412672812982286,0.442268526518785,0.451014594667706,0.0614219897425143,NA,NA
20,120,0.626666666666667,0.7,0.338285059689599,0.455219090811046,0.455569003130952,0.0759235458411761,NA,NA
21,126,0.68,0.7,0.446750721204288,0.461595131976585,0.470272486725401,0.073249645214265,NA,NA
22,132,0.846666666666667,0.7,0.625731755535116,0.452887030907485,0.443817908375414,0.0836609803112123,NA,NA
23,138,0.753333333333333,0.7,0.545662099139002,0.487519308973978,0.481931733026229,0.0771073829374145,NA,NA
24,144,0.84,0.7,0.558693056189607,0.496950629001239,0.502271914961954,0.07840162954701,NA,NA
25,150,0.833333333333333,0.9,0.588002658528668,0.526904369811031,0.52679235797483,0.0793443772137077,NA,NA
26,156,0.866666666666667,0.9,0.538409748677775,0.520727989902649,0.503905558382876,0.0801515574462155,NA,NA
27,162,0.866666666666667,0.7,0.548561336798252,0.506763994921413,0.493724781692507,0.0776885512393042,NA,NA
28,168,1.02,0.9,0.650940963475978,0.514130384808442,0.518462125026751,0.0903777107018354,NA,NA
29,174,1.1,1.1,0.457881177177871,0.562649922406627,0.547836237058648,0.081736058314081,NA,NA
30,180,1.28666666666667,1.3,0.495311349893512,0.540074519051998,0.538009787659532,0.0713777747747949,NA,NA
31,186,1.48666666666667,1.3,0.603286020879405,0.534097383931569,0.531380190140659,0.089169990515633,NA,NA
32,192,1.4,1.5,0.57715114855284,0.543004566954003,0.552911231243584,0.0726185594543671,NA,NA
33,198,1.54666666666667,1.5,0.723370145787129,0.541876712470876,0.534217118950516,0.0856324754410515,NA,NA
34,204,1.74,1.7,0.437548026920553,0.522454910688321,0.502446751328568,0.0908178194381645,NA,NA
35,210,1.83333333333333,1.8,0.507416263404925,0.541687555388062,0.554679666923779,0.0926235256897694,NA,NA
36,216,1.78666666666667,1.9,0.516442294625606,0.554847629510642,0.534874353383055,0.0853617069752478,NA,NA
37,222,1.87333333333333,1.9,0.435441379983918,0.578607940895981,0.574843289291036,0.0803629988869117,NA,NA
38,228,1.94,1.9,0.531491071063936,0.566009016685279,0.575245406190413,0.108033326742247,NA,NA
39,234,2.07333333333333,2.1,0.500298761316389,0.544729832393242,0.548170522378981,0.0757773696267223,NA,NA
40,240,2.10666666666667,2.2,0.564424231091896,0.582296286646875,0.592061991992233,0.0835996650481437,NA,NA
