"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
2,12,1,0.1,0.00817869473081633,0.657142857142857,0.359259259259259,23,194,346,12,NA,NA
2,12,1,0.3,0.0112540845311544,0.714285714285714,0.307407407407407,25,166,374,10,NA,NA
2,12,1,0.5,0.0051527570020406,0.742857142857143,0.266666666666667,26,144,396,9,NA,NA
2,12,1,0.7,0.00269302207531218,0.771428571428571,0.233333333333333,27,126,414,8,NA,NA
2,12,1,0.9,-0.0147220352127978,0.771428571428571,0.203703703703704,27,110,430,8,NA,NA
2,12,1,1.1,-0.034109524590525,0.771428571428571,0.174074074074074,27,94,446,8,NA,NA
2,12,1,1.3,0.0295934705452419,0.885714285714286,0.159259259259259,31,86,454,4,NA,NA
2,12,1,1.5,0.0109555042839155,0.885714285714286,0.12962962962963,31,70,470,4,NA,NA
2,12,1,1.7,0.0621161470906877,0.971428571428571,0.107407407407407,34,58,482,1,NA,NA
2,12,1,1.9,0.0516515117585874,0.971428571428571,0.0888888888888889,34,48,492,1,NA,NA
2,12,1,2.1,0.0447262001083037,0.971428571428571,0.0777777777777778,34,42,498,1,NA,NA
2,12,1,2.3,0.0422770808304684,0.971428571428571,0.0740740740740741,34,40,500,1,NA,NA
2,12,1,2.5,0.0397449075251791,0.971428571428571,0.0703703703703704,34,38,502,1,NA,NA
2,12,1,2.7,0.0371201390572507,0.971428571428571,0.0666666666666667,34,36,504,1,NA,NA
2,12,1,2.9,0.0554035564867055,1,0.0481481481481481,35,26,514,0,NA,NA
2,12,2,0.1,0.111326958839863,0.714285714285714,0.518518518518518,25,280,260,10,NA,NA
2,12,2,0.3,0.126457725141737,0.8,0.462962962962963,28,250,290,7,NA,NA
2,12,2,0.5,0.127994778736417,0.857142857142857,0.403703703703704,30,218,322,5,NA,NA
2,12,2,0.7,0.13474937112419,0.914285714285714,0.351851851851852,32,190,350,3,NA,NA
