"nF","ipf","total_items","N","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
4,3,12,100,0.05,1,0.0886819531146415,1.3,0.312640945658523,0.2,0.118282174839422,0.9,2,46
6,3,18,100,0.05,1,0.107486154585003,0.7,0.204324534583407,0.3,0.133087745856384,0.4,3,52
8,3,24,100,0.05,1,0.0787771863554506,0.1,0.100125234864352,1.6,0.0963738849304853,2,4,61
10,3,30,100,0.05,1,0.146619935498365,1,0.229415733870562,0.1,0.163503823862658,0.1,6,66
12,3,36,100,0.05,1,0.222776617144729,0.1,0.270604036596695,0.1,0.150187852296528,1.7,8,75
15,3,45,100,0.05,1,0.204324534583407,0.4,0.191244573949486,1.8,0.187317162316339,1.1,6,151
20,3,60,100,0.05,1,0.210449624112385,0.1,0.107486154585003,2.9,0.0963738849304853,3,4,433
25,3,75,100,0.05,1,0.397359707119513,0.7,0.248509469626006,1,0.207514339159822,2.1,9,294
30,3,90,100,0.05,1,0.191244573949486,2.8,0.229415733870562,1.6,0.0458831467741124,1.9,6,665
4,6,24,100,0.05,1,0.0629405806690979,1.4,0.210449624112385,0.2,0.153772792460148,1.8,3,97
6,6,36,100,0.05,1,0.157377895072927,0.4,0.0963738849304853,2.8,0.139522307912359,2.2,4,169
8,6,48,100,0.05,1,0.114707866935281,2.3,0.164660977889582,2,0.0764719112901873,2.2,3,427
10,6,60,100,0.05,1,0.219666896130354,0.3,0.262620212390128,1.3,0.197673873153717,0.1,8,205
12,6,72,100,0.05,1,0.172061800402921,2.8,0.257848852083332,1.8,0.12280701754386,1,5,500
15,6,90,100,0.05,1,0.344123600805843,1.2,0.160623141550809,1.9,0.289121654791456,0.9,8,499
20,6,120,100,0.05,1,0.37023008801501,1.1,0.497597774256313,1.4,0.497597774256313,0.1,8,872
25,6,150,100,0.05,1,0.438085827115181,0.1,0.228626004388036,2.7,0.229415733870562,1.9,7,1605
30,6,180,100,0.05,1,0.270604036596695,2.8,0,0.1,0.438085827115181,0.4,12,1376
4,10,40,100,0.05,1,0.146619935498365,1.2,0.342268473540328,1.4,0.377226980651933,1.1,4,184
6,10,60,100,0.05,1,0.150187852296528,0.1,0.257848852083332,1.3,0.17190293987565,0.2,4,437
8,10,80,100,0.05,1,0.332316586453613,0.3,0.163503823862658,1.8,0.250801027365007,0.4,5,632
10,10,100,100,0.05,1,0.264135271897687,2.1,0.320619368952935,2,0.328444931703364,0.5,6,818
12,10,120,100,0.05,1,0.294963086405008,0.1,0,0.1,0.262620212390128,2.3,7,1041
15,10,150,100,0.05,1,0.521647832705343,1.1,0.294963086405008,2.1,0.294963086405008,0.1,10,1081
20,10,200,100,0.05,1,0.622699849077239,0.5,0.622699849077239,2.4,0.622699849077239,0.5,11,1808
25,10,250,100,0.05,1,0.294963086405008,2.4,0,0.1,0.578947368421053,2.1,12,2637
30,10,300,100,0.05,1,0.76656954412459,2.9,0,0.1,0.655610068107186,2.4,12,3807
4,12,48,100,0.05,1,0.132453235706504,2.8,0.171456229126569,1.7,0.273877122939075,1,3,421
6,12,72,100,0.05,1,0.216443731609747,1.6,0.229415733870562,1.1,0.212632600927655,0.7,5,511
8,12,96,100,0.05,1,0.300814529815478,1.2,0.35672514619883,2.2,0.338869496834943,1.1,5,899
10,12,120,100,0.05,1,0.417620168032103,1.2,0.35927577398121,2.3,0.476550110780312,0.6,7,1086
12,12,144,100,0.05,1,0.438085827115181,0.1,0.294963086405008,2.3,0.497597774256313,0.7,7,1546
15,12,180,100,0.05,1,0.714850733707322,2.3,0.228626004388036,2.6,0.65256212008832,2.4,11,1497
20,12,240,100,0.05,1,0.76656954412459,1.6,0.438085827115181,2.7,0.76656954412459,1.7,12,2351
25,12,300,100,0.05,1,0.294963086405008,2.9,0,0.1,0.438085827115181,0.7,13,3503
30,12,360,100,0.05,1,0.438085827115181,0.5,0,0.1,0.368421052631579,3,15,4299
4,3,12,300,0.05,1,0.0629405806690979,2,0.0848397805349782,0.9,0.130131613958689,0.2,4,12
6,3,18,300,0.05,1,0.0912778171878977,0.6,0.131578479198411,0.6,0.18394180184549,0.5,2,73
8,3,24,300,0.05,1,0.0771608613447126,0.1,0.172646312167375,0.5,0.235046405383881,0.2,6,40
10,3,30,300,0.05,1,0.127422818203481,0.1,0.232095112067809,0.3,0.19678543168728,0.5,5,90
12,3,36,300,0.05,1,0.157703952934946,0.6,0.107017205807096,0.4,0.207484797439088,0.2,8,77
15,3,45,300,0.05,1,0.0676764677016684,1.8,0.0953542965045927,0.9,0.0752824702150959,0.2,7,135
20,3,60,300,0.05,1,0.157703952934946,1.2,0.243363788774492,0.6,0.188536138542645,0.1,11,144
25,3,75,300,0.05,1,0.137374017700557,0.1,0.190692063601023,1.3,0.17587676970351,0.6,15,171
30,3,90,300,0.05,1,0.134341932341799,0.2,0.294963086405008,0.2,0.229415733870562,0.3,16,225
4,6,24,300,0.05,1,0.126266754511528,0.6,0.214546071053321,0.1,0.234193508861041,0.4,4,61
6,6,36,300,0.05,1,0.0447948706727072,0.7,0.153772792460148,2,0.150187852296528,0.1,4,149
8,6,48,300,0.05,1,0.142821163221046,2,0.128461257575128,0.6,0.189929801218484,2.4,5,217
10,6,60,300,0.05,1,0.174755771540363,0.1,0.160127635457636,1,0.195657706546422,0.4,8,205
12,6,72,300,0.05,1,0.2153428799176,0.3,0.297766786048409,0.7,0.318188653378394,0.1,8,306
