"nF","ipf","total_items","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
4,3,12,0.05,1,0.132453235706504,0.8,0.0806537451794553,1.2,0.0959532270210703,0.7,3,21
6,3,18,0.05,1,0.0862384539414704,0.1,0.0931092592286003,1.1,0.0462965168068276,0.6,4,33
8,3,24,0.05,1,0.121999312207423,0.6,0.132453235706504,1.2,0.0950897780889282,0.9,6,41
10,3,30,0.05,1,0.121839256065065,1.2,0.192784422385351,0.5,0.137705658188811,0.4,7,53
15,3,45,0.05,1,0.218536689369062,0.1,0.163312201285671,0.9,0.241100816939068,0.4,8,110
20,3,60,0.05,1,0.111083126949702,1.4,0.192567474987832,1.1,0.212632600927655,0.1,10,175
25,3,75,0.05,1,0.198826969354487,1.3,0.127804296852691,0.1,0.173528637426002,0.7,14,180
30,3,90,0.05,1,0.35672514619883,0.4,0.268482658135914,0.3,0.408838159707299,0.4,17,219
4,6,24,0.05,1,0.106270483792767,0.7,0.152081524746901,1,0.097954537876566,1.1,3,91
6,6,36,0.05,1,0.118211530140578,0.3,0.104011045191838,1.2,0.116540134854221,0.7,4,161
8,6,48,0.05,1,0.154890305075196,0.1,0.225715237458734,0.4,0.232095112067809,0.5,5,223
10,6,60,0.05,1,0.192777771848834,1.4,0.280754694157407,0.1,0.326489410647019,0.4,7,236
15,6,90,0.05,1,0.243363788774492,0.5,0.294963086405008,0.1,0.379908149152101,0.2,11,342
20,6,120,0.05,1,0.298990509112977,1.3,0.357094915286524,0.6,0.406827809695683,0.7,14,490
25,6,150,0.05,1,0.421463615211762,0.1,0.252081634598144,0.1,0.448699790650651,1.6,15,702
30,6,180,0.05,1,0.443511038596483,0.9,0.331378282257478,2.8,0.49951243284357,1.1,19,823
4,10,40,0.05,1,0.0210305058433768,2.7,0.119466210106764,1.4,0.17444400169756,0.2,3,257
6,10,60,0.05,1,0.188326079718431,0.7,0.265610075497988,1.7,0.361965519012637,1,6,317
8,10,80,0.05,1,0.241953704960392,0.1,0.244739081047459,1.1,0.32697987755434,0.4,6,509
10,10,100,0.05,1,0.339394631966082,0.4,0.286055020692342,1.2,0.393767586854148,0.4,8,606
15,10,150,0.05,1,0.553818619694996,0.3,0.513454261519829,1.2,0.622699849077239,0.2,12,884
20,10,200,0.05,1,0.687645555255098,0.1,0.513454261519829,1.7,0.622699849077239,0.1,15,1275
25,10,250,0.05,1,0.639021484263458,2,0.373366522943865,2.6,0.673739500605217,1.3,19,1650
30,10,300,0.05,1,0.687645555255098,2.4,0.673739500605217,3,0.76656954412459,1.6,21,2078
4,3,12,0.1,1,0.125691714535028,0.2,0.139416806630487,0.8,0.201580979560371,0.2,3,21
6,3,18,0.1,1,0.125026401943477,1.1,0.13561656560014,1,0.139759441891841,0.1,3,48
8,3,24,0.1,1,0.073749613144785,2.5,0.136082763487954,0.5,0.192450089729875,0.1,6,38
10,3,30,0.1,1,0.145424558428258,1.2,0.240529748813495,0.1,0.259180638116745,0.8,6,69
15,3,45,0.1,1,0.155902391115581,0.4,0.255538282944231,0.7,0.175307902046926,0.4,9,109
20,3,60,0.1,1,0.227725815405984,0.1,0.28046463138672,0.6,0.335484377390339,0.5,12,135
25,3,75,0.1,1,0.211228492888939,1.1,0.202262678804046,0.7,0.138342892773215,1,11,253
30,3,90,0.1,1,0.19525593058425,0.9,0.209261760645491,1.7,0.233255132173976,0.7,12,325
4,6,24,0.1,1,0.0519659028535248,1.6,0.22413272587221,0.5,0.263458008118374,0.2,4,61
6,6,36,0.1,1,0.0810388974227214,1.2,0.176981078144159,0.9,0.217617666393648,0.2,4,151
8,6,48,0.1,1,0.205101823775755,0.5,0.269430125621825,0.8,0.233046606878083,0.6,7,148
10,6,60,0.1,1,0.150755672288882,0.2,0.175881617670362,0.7,0.216087221258364,1,6,296
15,6,90,0.1,1,0.333693357658085,0.1,0.374157387043214,1.1,0.441640622710913,0.7,11,352
20,6,120,0.1,1,0.34325501905455,0.8,0.238696481124063,1.5,0.502518907629606,0.5,14,483
25,6,150,0.1,1,0.489986690859348,1.9,0.289837062596287,1.7,0.543049615222382,0.7,20,509
30,6,180,0.1,1,0.668153104781061,0.7,0.369516472805808,2.3,0.605315502400429,1.2,21,729
4,10,40,0.1,1,0.168401017918213,1.9,0.243460698337724,0.2,0.221304576641294,0.7,4,218
6,10,60,0.1,1,0.244989471753056,1.1,0.357770876399966,0.7,0.38959686123699,0.2,5,345
8,10,80,0.1,1,0.258907932269364,1.8,0.214037083554115,1,0.290600056175041,1.3,6,504
10,10,100,0.1,1,0.397730185441742,1.9,0.467693125681723,1.8,0.51821974665936,0.7,8,619
15,10,150,0.1,1,0.514272051884003,0.2,0.494992127149605,1.8,0.612372435695795,0.4,12,931
20,10,200,0.1,1,0.593038127448884,1.8,0.397320369859928,2.1,0.560750125572516,2.7,14,1395
25,10,250,0.1,1,0.687172922553921,3,0.527589343584494,2.5,0.664364293285809,2.2,18,1693
30,10,300,0.1,1,0.692411258141498,2.6,0.348742916231458,2.7,0.648863380270964,2.1,20,2197
4,3,12,0.25,1,0.107211253483779,1,0.125988157669742,1,0.0819028359347922,1,2,30
6,3,18,0.25,1,0.166945140823544,0.6,0.137305589273396,0.2,0.123442679969674,0.4,4,34
8,3,24,0.25,1,0.0941350987762579,0.5,0.226455406828919,1,0.257934712340227,0.6,5,53
10,3,30,0.25,1,0.134263422668524,1.6,0.198512885554814,0.2,0.290984490241082,0.3,5,87
15,3,45,0.25,1,0.13495820660953,0.3,0.209980262782904,0.2,0.226300952742407,0.3,10,86
20,3,60,0.25,1,0.268092239598363,0.1,0.307956590291437,0.3,0.345717029782386,0.1,11,145
25,3,75,0.25,1,0.312610854371786,1,0.320750149549792,1.3,0.317991152825414,0.1,11,252
30,3,90,0.25,1,0.348462042907528,0.4,0.196067458810743,2.2,0.226300952742407,0.7,13,293
4,6,24,0.25,1,0.141876088459791,2.3,0.289573969570961,0.2,0.368862671982261,0.3,3,97
6,6,36,0.25,1,0.23094010767585,2,0.280611879540303,0.1,0.227136537732439,1.1,5,114
8,6,48,0.25,1,0.30413197425191,0.9,0.351031968947905,1,0.400378608698105,0.7,6,175
10,6,60,0.25,1,0.338813827507178,0.8,0.275798674257346,1.1,0.410993360322141,1.7,9,180
15,6,90,0.25,1,0.359773719769982,0.4,0.325036833041185,1.6,0.442613497423915,0.2,11,355
