"pct_careless","rep_id","z_threshold","mcc","sensitivity","specificity"
0.05,1,0.5,0.534251138823443,0.296,1
0.05,1,0.6,0.537903431410177,0.3,1
0.05,1,0.7,0.541532560624091,0.304,1
0.05,1,0.8,0.552285528526056,0.316,1
0.05,1,0.9,0.569784336743911,0.336,1
0.05,1,1,0.576644892910128,0.344,1
0.05,1,1.1,0.596785739804416,0.368,1
0.05,1,1.2,0.606623313973396,0.38,1
0.05,1,1.3,0.616315634427937,0.392,1
0.05,1,1.4,0.635291091738134,0.416,1
0.05,1,1.5,0.64458631578386,0.428,1
0.05,1,1.6,0.656792630610031,0.444,1
0.05,1,1.7,0.668795645282184,0.46,1
0.05,1,1.8,0.674724327624207,0.468,1
0.05,1,1.9,0.686442361303918,0.484,1
0.05,1,2,0.689343711037911,0.488,1
0.05,1,2.1,0.697982440452113,0.5,1
0.05,1,2.2,0.706525995231317,0.512,1
0.05,1,2.3,0.717775253619334,0.528,1
0.05,1,2.4,0.728868986855663,0.544,1
0.05,1,2.5,0.742528123369512,0.564,1
0.05,1,2.6,0.750617538186139,0.576,1
0.05,1,2.7,0.753296907394429,0.58,1
0.05,1,2.8,0.758630540331508,0.588,1
0.05,1,2.9,0.763931287592307,0.596,1
0.05,1,3,0.76656954412459,0.6,1
0.05,2,0.5,0.526875129985657,0.288,1
0.05,2,0.6,0.545138989967788,0.308,1
0.05,2,0.7,0.559346466155868,0.324,1
0.05,2,0.8,0.56632501155308,0.332,1
0.05,2,0.9,0.576644892910128,0.344,1
0.05,2,1,0.583430269594257,0.352,1
0.05,2,1.1,0.586795583843717,0.356,1
0.05,2,1.2,0.596785739804416,0.368,1
0.05,2,1.3,0.606623313973396,0.38,1
0.05,2,1.4,0.613100571546059,0.388,1
0.05,2,1.5,0.613100571546059,0.388,1
0.05,2,1.6,0.619515314296613,0.396,1
0.05,2,1.7,0.635291091738134,0.416,1
0.05,2,1.8,0.65071559935907,0.436,1
0.05,2,1.9,0.656792630610031,0.444,1
