"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
8,3,24,100,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.0378853383571625,0.833333333333333,0.263157894736842,5,50,140,1,0.165693501904581,0.187223845700054
8,3,24,100,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.0265879322543962,0.833333333333333,0.231578947368421,5,44,146,1,0.156259205025242,0.161983708932332
8,3,24,100,0.05,0.1,0.9,TRUE,0.890196788843219,1,-0.0145662148290887,0.666666666666667,0.294736842105263,4,56,134,2,0.309647383427007,0.319800668075217
20,3,60,100,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.068074087223393,0.6,0.610526315789474,3,116,74,2,1.2033694513582,0.694313010143494
20,3,60,100,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.153615329594284,0.8,0.663157894736842,4,126,64,1,1.42932640113727,-0.000817936328428837
20,3,60,100,0.05,0.1,0.7,TRUE,0.687615839338061,1,0.0533454311747804,0.4,0.747368421052632,2,142,48,3,1.69261328497588,0.933304604309731
30,3,90,100,0.05,0.03,1.3,TRUE,1.25333805539459,1,0.104230191476138,0.428571428571429,0.8,3,152,38,4,2.55425944212766,1.80957072591186
30,3,90,100,0.05,0.05,1.3,TRUE,1.25333805539459,1,-0.081353194546021,0,0.842105263157895,0,160,30,7,2.68485947177299,2.3300869890174
30,3,90,100,0.05,0.1,1.3,TRUE,1.25333805539459,1,-0.0530897514980186,0,0.926315789473684,0,176,14,7,3.05432678104678,2.75758206044963
8,6,48,100,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.12770265856212,0.833333333333333,0.536842105263158,5,102,88,1,1.2944001069834,0.281685588619505
8,6,48,100,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.223296878269436,1,0.631578947368421,6,120,70,0,1.60452896129244,0.123928982003017
8,6,48,100,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.189368291012472,0.833333333333333,0.684210526315789,5,130,60,1,1.71257099190413,-0.0977633331663668
20,6,120,100,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.620731979409592,0.8,0.978947368421053,4,186,4,1,3.82097682634228,0.427647403174936
20,6,120,100,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.178947368421053,0.2,0.978947368421053,1,186,4,4,3.88741781315439,1.17812252694716
20,6,120,100,0.05,0.1,0.7,TRUE,0.687615839338061,1,0,0,1,0,190,0,5,4.15054331235888,2.5504158344828
30,6,180,100,0.05,0.03,1.3,TRUE,1.25333805539459,1,-0.0234758601529334,0,0.978947368421053,0,186,4,5,4.81549431309451,2.26014893288749
30,6,180,100,0.05,0.05,1.3,TRUE,1.25333805539459,1,0,0,1,0,190,0,5,5.14974861217894,3.04542370291189
30,6,180,100,0.05,0.1,1.3,TRUE,1.25333805539459,1,0,0,1,0,190,0,5,5.54680902785411,3.69154697724073
8,10,80,100,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.212521084827904,0.666666666666667,0.821052631578947,4,156,34,2,2.72642024667884,-0.0394843918366689
8,10,80,100,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.221658642074334,0.666666666666667,0.831578947368421,4,158,32,2,2.67203216974463,0.238175549899067
8,10,80,100,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.435285750066007,1,0.884210526315789,6,168,22,0,2.65772777186956,0.0880515967974939
20,10,200,100,0.05,0.03,0.7,TRUE,0.687615839338061,1,-0.0165137058709601,0,0.989473684210526,0,188,2,5,5.79104431830104,2.41239475327526
