"nFactors","total_items","z_threshold","mean_mcc","sd_mcc","mean_sens","mean_spec","n_reps"
2,16,1.7,0.0869201464911514,0.0508412364239828,0.965,0.1,10
3,19,1.5,0.0790594490466114,0.0877022743809153,0.951666666666667,0.116666666666667,10
4,29,1.3,0.151223039390514,0.0651818204545678,0.905,0.24875,10
5,35,1.5,0.181159872075499,0.0641515301817997,0.933333333333333,0.256666666666667,10
6,38,1.7,0.207182941946794,0.0461118314663976,0.945,0.274166666666667,10
7,48,0.9,0.310313147549753,0.0366430109675049,0.85,0.535833333333333,10
8,54,1.3,0.287213655148196,0.0527179935529891,0.856666666666667,0.4975,10
9,57,0.7,0.302583665378842,0.0630889857180405,0.773333333333333,0.6025,10
10,67,0.7,0.409944656322921,0.0964108543060861,0.805,0.693333333333333,10
11,73,0.9,0.455023448802282,0.0745560925092817,0.815,0.730833333333333,10
12,76,0.9,0.41061437625077,0.0674293241428142,0.785,0.71125,10
13,86,0.7,0.498081511849587,0.0662695401370951,0.741666666666667,0.81875,10
14,92,0.9,0.497131759026312,0.080331198848408,0.756666666666667,0.81125,10
15,95,1.3,0.487945981183032,0.0570663723345836,0.803333333333333,0.773333333333333,10
16,105,0.5,0.488610637918211,0.106591595559109,0.615,0.885,10
17,111,0.9,0.528560072968628,0.0646357868349038,0.685,0.873333333333333,10
18,114,0.9,0.549105041791761,0.0756707049391978,0.646666666666667,0.905416666666667,10
19,124,1.3,0.610028520201899,0.0550423054700587,0.75,0.894583333333333,10
20,130,1.7,0.558316847822121,0.0726199718155118,0.756666666666667,0.857083333333333,10
21,133,1.5,0.592704197195969,0.0512667420116009,0.731666666666667,0.892083333333333,10
22,143,1.9,0.590959113920579,0.077428102036268,0.775,0.868333333333333,10
23,149,1.9,0.608623235986933,0.0647117007448949,0.778333333333333,0.880416666666667,10
24,152,1.7,0.590955132390615,0.0697514024565306,0.685,0.912916666666667,10
25,162,1.9,0.606139323775062,0.0723977510104929,0.68,0.921666666666667,10
26,168,2.1,0.587884137818474,0.0587954830360443,0.715,0.8975,10
27,171,1.9,0.6251810604638,0.0566081595576238,0.706666666666667,0.922083333333333,10
28,181,2.3,0.633429385219859,0.0713171124639494,0.743333333333333,0.910833333333333,10
29,187,2.5,0.629524466372387,0.071717786796892,0.766666666666667,0.897916666666667,10
30,190,2.7,0.659457071494091,0.0601015363211989,0.82,0.892083333333333,10
31,200,2.3,0.666139394895341,0.0726069322513944,0.701666666666667,0.94375,10
32,206,2.9,0.671138177018476,0.0517301691228554,0.8,0.908333333333333,10
33,209,2.9,0.640802581286899,0.0897560559043213,0.795,0.892083333333333,10
34,219,2.3,0.634552612888998,0.0749633413733791,0.626666666666667,0.955833333333333,10
35,225,2.9,0.652424187323607,0.050250422903226,0.721666666666667,0.930416666666667,10
36,228,2.9,0.632455650153873,0.0614711935147406,0.715,0.922083333333333,10
37,238,2.7,0.633923821538596,0.0637959554667032,0.625,0.955416666666667,10
38,244,2.9,0.690115722320382,0.053167417895558,0.713333333333333,0.950416666666667,10
39,247,2.7,0.664549976624552,0.0528659834781604,0.67,0.954166666666667,10
40,257,2.9,0.645656407266826,0.0655055609550686,0.663333333333333,0.948333333333333,10
