"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn"
2,16,1,0.1,0.0100321544238141,0.55,0.4625,33,111,129,27
2,16,1,0.3,0.0576804990488869,0.65,0.420833333333333,39,101,139,21
2,16,1,0.5,0.0698856557814612,0.716666666666667,0.366666666666667,43,88,152,17
2,16,1,0.7,0.0727392967453308,0.766666666666667,0.316666666666667,46,76,164,14
2,16,1,0.9,0.0804745383074018,0.816666666666667,0.270833333333333,49,65,175,11
2,16,1,1.1,0.135032869438565,0.9,0.2375,54,57,183,6
2,16,1,1.3,0.11536088808075,0.916666666666667,0.191666666666667,55,46,194,5
2,16,1,1.5,0.163366009803268,0.966666666666667,0.179166666666667,58,43,197,2
2,16,1,1.7,0.147087101353638,0.966666666666667,0.158333333333333,58,38,202,2
2,16,1,1.9,0.126183035060261,0.966666666666667,0.133333333333333,58,32,208,2
2,16,1,2.1,0.135362261543268,0.983333333333333,0.116666666666667,59,28,212,1
2,16,1,2.3,0.11672488195596,0.983333333333333,0.0958333333333333,59,23,217,1
2,16,1,2.5,0.108688898473607,0.983333333333333,0.0875,59,21,219,1
2,16,1,2.7,0.104514906889283,0.983333333333333,0.0833333333333333,59,20,220,1
2,16,1,2.9,0.133630620956212,1,0.0833333333333333,60,20,220,0
2,16,2,0.1,-0.00732134265821778,0.7,0.291666666666667,42,70,170,18
2,16,2,0.3,0.0158416152173919,0.783333333333333,0.233333333333333,47,56,184,13
2,16,2,0.5,-0.03849670748414,0.783333333333333,0.179166666666667,47,43,197,13
2,16,2,0.7,-0.0366818137789587,0.816666666666667,0.15,49,36,204,11
2,16,2,0.9,-0.0259587065825582,0.866666666666667,0.1125,52,27,213,8
2,16,2,1.1,-0.0219014570702767,0.883333333333333,0.1,53,24,216,7
2,16,2,1.3,0,0.916666666666667,0.0833333333333333,55,20,220,5
2,16,2,1.5,0.0127869292321891,0.933333333333333,0.075,56,18,222,4
2,16,2,1.7,0.0504603624764161,0.966666666666667,0.0625,58,15,225,2
