"nF","ipf","total_items","rep","std_mcc_oracle","std_mcc_z15","w0_mcc_oracle","w0_mcc_z15","w10_mcc_oracle","w10_mcc_z15","items_bin"
4,3,12,1,0.0921568721794746,0.0059119871485836,0.120096115353815,0.00295797148925001,0.111358850796844,0.0303673966737761,"<30"
4,3,12,2,0.0937708143693868,0.0687523872771158,0.142845755734821,0.041057385867312,0.167772767301095,0.0140203372289179,"<30"
4,3,12,3,0.0775846619643854,0.0205152484965555,0.0574445630551113,0.030556616567607,0.0912354824992943,0.0545544725589981,"<30"
6,3,18,1,0.0741418070064918,0.0338405653858171,0.132175741905131,0.0519174131651165,0.130705413671472,0.0670069993036383,"<30"
6,3,18,2,0.0467508941492169,0.0225085258396426,0.174714139453653,0.0572357995966591,0.167772767301095,0.0814441931765014,"<30"
6,3,18,3,0.125389520427214,0.0961404772617418,0.11425360740952,0.0627425453956969,0.111345544195015,0.0797799115726806,"<30"
8,3,24,1,0.188366930860157,0.138888888888889,0.206409050672366,0.100847211255593,0.192524628620002,0.132215708811327,"<30"
8,3,24,2,0.100055601894761,0.00295797148925001,0.21636967551029,0.111345544195015,0.191264183711632,0.121232161242218,"<30"
8,3,24,3,0.115087240043885,0.0242464322484436,0.181808190792944,0.0939293271568463,0.227725815405984,0.100503781525921,"<30"
10,3,30,1,0.0941201639988017,0.0697384349400942,0.151353562522544,0.121589534023348,0.163046773855994,0.163046773855994,"<30"
10,3,30,2,0.181314564963914,0.123282241893361,0.21350420507345,0.127385951059696,0.187952352889028,0.14142135623731,"<30"
10,3,30,3,0.126804818281225,0.0237624228260879,0.113402302906629,-0.0554456532608717,0.108112350476405,-0.0667397156075363,"<30"
15,3,45,1,0.154858456288966,0.126074658303118,0.221670099942301,0.138162244417782,0.236813778398955,0.17817416127495,"30-60"
15,3,45,2,0.146504114387614,0.108884209668025,0.195194302319294,0.0853676121193887,0.221108319357027,0.155902391115581,"30-60"
15,3,45,3,0.13555856800165,0.0814441931765014,0.1541625756465,0.020791763288028,0.237925476281887,0.0311360299065447,"30-60"
20,3,60,1,0.226915215235006,0.150670641013862,0.301511344577764,0.164502944782277,0.277069144857363,0.210227828801172,"30-60"
20,3,60,2,0.236572304105096,0.186816179439268,0.267615465052524,0.142845755734821,0.28046463138672,0.163855897390435,"30-60"
20,3,60,3,0.298572651625008,0.18248193690556,0.164991582276861,0.117801340402356,0.223147700488665,0.0942809041582063,"30-60"
4,6,24,1,0.0894427190999916,0.0894427190999916,0.134491097464321,0.105081387498547,0.141853744009151,0.115087240043885,"<30"
4,6,24,2,0.139573886861732,0.125629726907402,0.138162244417782,0.113718536023999,0.1099719472197,0.0907218423253029,"<30"
4,6,24,3,0.111015973572379,0.0855808451715508,0.172220725492131,0.133630620956212,0.143038278966629,0.11945220005766,"<30"
6,6,36,1,0.131173966242255,0.0865290219418608,0.182771762674421,0.163397234763279,0.169395382260679,0.143038278966629,"30-60"
6,6,36,2,0.181461611768062,0.119189663685143,0.26638640734944,0.163274194297735,0.28046463138672,0.155902391115581,"30-60"
