"";"CASE";"IN01_CP";"IN01";"IN02";"IN05";"IN05_01";"IN06";"IN06_01";"IN06_02";"IN06_03";"IN06_04";"IN08";"IN08_01";"IN08_02";"IN08_03";"IN08_04";"sex";"age";"SO04";"SO06";"HE01_01";"HE01_02";"HE01_03";"HE01_04";"HE01_05";"HE01_06";"HE01_07";"HE01_08";"HE01_09";"HE01_10";"HE01_11";"HE01_12";"HE01_13";"HE01_14";"HE01_15";"HE01_16";"HE01_17";"HE01_18";"HE01_19";"HE01_20";"HE01_21";"HE01_22";"HE01_23";"HE01_24";"HE01_25";"HE01_26";"HE01_27";"HE01_28";"HE01_29";"HE01_30";"HE01_31";"HE01_32";"HE01_33";"HE01_34";"HE01_35";"HE01_36";"HE01_37";"HE01_38";"HE01_39";"HE01_40";"HE01_41";"HE01_42";"HE01_43";"HE01_44";"HE01_45";"HE01_46";"HE01_47";"HE01_48";"HE01_49";"HE01_50";"HE01_51";"HE01_52";"HE01_53";"HE01_54";"HE01_55";"HE01_56";"HE01_57";"HE01_58";"HE01_59";"HE01_60";"HE04_01";"HE04_02";"HE04_03";"HE04_04";"HE04_05";"HE04_06";"HE04_07";"HE04_08";"HE04_09";"HE04_10";"HE04_11";"HE04_12";"HE04_13";"HE04_14";"HE04_15";"HE04_16";"HE04_17";"HE04_18";"HE04_19";"HE04_20";"HE04_21";"HE04_22";"HE04_23";"HE04_24";"HE04_25";"HE04_26";"HE04_27";"HE04_28";"HE04_29";"HE04_30";"HE04_31";"HE04_32";"HE04_33";"HE04_34";"HE04_35";"HE04_36";"HE04_37";"HE04_38";"HE04_39";"HE04_40";"HE04_41";"HE04_42";"HE04_43";"HE04_44";"HE04_45";"HE04_46";"HE04_47";"HE04_48";"HE04_49";"HE04_50";"HE04_51";"HE04_52";"HE04_53";"HE04_54";"HE04_55";"HE04_56";"HE04_57";"HE04_58";"HE04_59";"HE04_60";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"LASTPAGE"
"1";"401";"0";"3";NA;"1";"2";"1";"1";"1";"2";"1";NA;NA;NA;NA;NA;"1";35;"1";"3";"2";"2";"2";"3";"2";"2";"4";"4";"3";"2";"4";"4";"2";"3";"2";"2";"2";"2";"4";"4";"1";"3";"2";"1";"4";"4";"2";"3";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6914";"7023";"6314";"2855";"6077";"8431";"4406";"7896";"4049";"3405";"7091";"4211";"5567";"9020";"4705";"6321";"5259";"6038";"8019";"3361";"5044";"3159";"4704";"4842";"6076";"3832";"6328";"3354";"7010";"6584";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"12";"39";"59";"60";"52";NA;NA;NA;NA;NA;"7"
"2";"403";"0";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";50;"1";"5";"1";"5";"1";"5";"2";"4";"4";"5";"1";"4";"5";"1";"3";"1";"2";"2";"1";"4";"5";"5";"1";"3";"5";"1";"5";"2";"5";"2";"5";"1";"3";"1";"4";"2";"2";"5";"5";"5";"1";"2";"5";"4";"5";"1";"5";"5";"5";"1";"5";"4";"3";"4";"2";"5";"3";"4";"1";"2";"1";"1";"16085";NA;"27378";"5303";"7345";NA;"33385";"12321";"12449";"7904";"15883";"5015";"9089";"6736";"8839";"10474";"8865";"7576";"10640";"6169";"6049";"4968";"5545";NA;"7441";"7376";"13736";"6665";"3632";"6657";"11533";"5439";"4496";"6648";"9281";"5504";"6345";"4808";"6896";"6144";"9046";"12544";"3183";"8865";"10297";"8920";"6039";"4729";"5096";"4585";"12517";"9296";"5927";"5937";"5856";"11601";"7952";"7921";"6528";"7071";"9";"24";"26";"17";"162";"92";"72";"69";"75";"82";"17";"4";"12"
"3";"405";"0";"2";NA;"1";"2";"1";"1";"2";"1";"1";NA;NA;NA;NA;NA;"1";26;"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"19";"43";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"4";"406";"1";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";23;"1";"1";"3";"5";"2";"1";"2";"3";"4";"5";"2";"3";"5";"2";"4";"2";"4";"3";"2";"2";"3";"3";"2";"1";"2";"4";"4";"1";"3";"3";"2";"3";"4";"2";"4";"3";"1";"5";"3";"4";"3";"3";"5";"4";"3";"1";"4";"3";"4";"3";"4";"4";"3";"5";"4";"4";"3";"2";"2";"3";"2";"2";"7500";"4418";"3302";"2148";"3798";"6255";"2492";"3877";"3406";"1597";"4327";"3727";"3462";"2841";NA;"4334";NA;"3101";"4205";"2025";NA;"777";"3192";NA;NA;NA;"4574";"3307";"2250";"3392";"3214";NA;"3627";"2548";"2668";"4983";"4493";"4055";NA;NA;"5140";"2542";"2875";"1713";"3829";NA;NA;"409";NA;"1986";"2997";"3156";NA;"7475";"2233";"3694";NA;"3244";"3857";NA;"9";"4";"14";"45";"39";"38";"35";"38";"31";"43";"17";"22";"12"
"5";"407";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";26;"1";"3";"1";"3";"2";"3";"4";"2";"4";"4";"4";"2";"4";"2";"2";"4";"4";"5";"4";"4";"2";"2";"2";"3";"5";"1";"4";"2";"2";"3";"5";"1";"2";"2";"2";"4";"2";"4";"3";"5";"1";"2";"2";"3";"4";"2";"2";"4";"5";"2";"4";"2";"3";"3";"2";"4";"2";"2";"2";"4";"1";"2";"7346";"4741";"9413";"7120";"7831";"10389";"8673";"10226";"8616";"4005";"6129";"5501";"7036";"5360";"2450";"12772";"5992";"3315";"6200";"5566";"2428";"5099";"3281";NA;"5150";"5791";"4419";"4378";"4466";"4617";"4456";NA;"6132";"3512";"4408";"5190";"6324";"4044";"5135";"3625";"9623";NA;"3509";"3550";"5480";"3357";"6713";"4253";"3470";"2495";"5077";"4108";"2923";"20136";"2743";"4294";"3833";"5699";"6112";"5156";"13";"21";"30";"48";"80";"62";"46";"51";"48";"61";"33";"13";"12"
"6";"408";"1";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";31;"2";"4";"5";"3";"2";"4";"3";"3";"1";"4";"2";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"1107";"1394";NA;"2338";"2153";"486";"8010";"3768";"1634";"549";"1552";"748";"405";"1732";"765";"520";"564";"1021";"979";"1554";"814";"439";"599";"470";"507";"921";"438";"548";"916";"462";"1083";"436";"500";"534";"817";"1565";"517";"766";"482";"540";"632";"1531";"488";"482";"645";"781";"766";"506";"587";"808";"1318";"456";"426";"415";"1099";"724";"495";"536";"635";"795";"13";"3";"17";"32";"57";"11";"8";"8";"9";"9";"7";"5";"12"
"7";"411";"2";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";24;"1";"1";"5";"5";"4";"4";"1";"4";"5";"1";"2";"2";"4";"1";"1";"2";"1";"1";"2";"2";"3";"1";"2";"5";"3";"1";"1";"2";"2";"2";"1";"1";"3";"2";"3";"1";"2";"4";"1";"4";"1";"3";"5";"4";"2";"1";"3";"3";"4";"1";"1";"4";"4";"1";"4";"5";"5";"1";"1";"1";"2";"1";"4332";"3065";"10227";"2170";"2421";"3909";"2289";"12167";"2557";NA;"3796";"3838";"1796";"9470";"2498";NA;NA;"2329";"4390";"2710";"2551";"4109";"7050";"3686";"7009";"2149";NA;"3043";NA;"2778";"18758";"2413";"2634";"1915";"2065";"2922";"2286";NA;"3464";"1832";"6143";"3143";"3467";"3443";"2341";"2081";"4263";"3067";"1002";"1435";"4124";"1622";"1940";"8656";"1832";"7702";"4854";"2538";NA;"2921";"9";"3";"11";"17";"47";"40";"44";"45";"31";"40";"7";"7";"12"
"8";"417";"2";"3";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";22;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68";"72";"403";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3"
"9";"420";"2";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";22;"1";"3";"2";"4";"4";"4";"5";"5";"3";"4";"3";"3";"2";"2";"4";"2";"4";"5";"2";"4";"4";"2";"2";"4";"2";"2";"4";"2";"4";"2";"4";"3";"2";"3";"5";"3";"3";"4";"3";"4";"4";"3";"4";"3";"5";"3";"5";"4";"2";"3";"4";"2";"5";"2";"4";"3";"2";"3";"2";"2";"4";"2";"82599";"4933";"6610";"3600";"7615";"5552";"3697";"3223";"3913";"2392";"60127";"5783";NA;"2525";NA;"5719";"2184";"3680";"4511";"5664";"32772";"3574";NA;"8130";"2973";"2680";"6417";"2736";"3177";"6919";"211006";"4912";"2656";"2967";"2271";"4231";"5351";"5641";"7000";"3681";"44811";"4871";"3303";"7585";"3639";"7175";"6545";"17168";"2360";"4272";"48111";"5311";"3041";NA;"5021";"3464";"4680";"4767";"4265";NA;"139";"50";"200";"338";"131";"105";"80";"253";"106";"101";"127";"58";"12"
"10";"424";"3";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";24;"1";"1";"2";"1";"3";"3";"2";"2";"4";"2";"5";"4";"5";"2";"4";"1";"5";"1";"4";"4";"2";"3";"3";"2";"5";"2";"4";"4";"3";"4";"2";"2";"3";"4";"2";"2";"1";"1";"4";"5";"2";"1";"1";"2";"5";"2";"2";"3";"4";"3";"2";"4";"1";"5";"1";"4";"2";"5";"3";"2";"1";"1";"7235";"10039";"6047";"3371";"3902";"6492";"4588";"5210";"4847";"3024";"7144";NA;"5899";"6049";"2540";"5547";"3818";"5330";"9028";"3157";"4587";"2789";"3301";"3924";"3106";NA;"4442";"2782";NA;"6328";"6993";"4904";"5846";"5904";"3050";"9960";"5109";"4271";"8516";"4961";"11188";"4430";"3075";NA;"5470";"4105";"4761";"4484";"3588";"3245";"3800";"2905";"3315";"6314";"2584";"7249";"5552";"5612";"7911";"3443";"4";"4";"14";"12";"56";"58";"43";"60";"52";"52";"41";"11";"12"
