"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"1";"0";107937,19;89286;68965,56;67017,2;70084,55;78559
"2";"0";78360;60321;44032,22;47584,44;47166,67;54739
"3";"0";47384,94;38533,75;40468,75;41168;30385;40210
"4";"1";61628,6;68017,38;58324,17;56230,2;75939,55;65967
"5";"0";54755;53902,22;39073,75;59514;49273,33;48685
"6";"1";35901;11902;10627,78;11141;11281;9755
"7";"0";41053,33;44208;34258,89;42075,56;35243;48546,25
"8";"0";70025,33;56194,44;49732,5;54605,56;37880;49032,22
"9";"1";13950;11299;9675;10100;13184;9730
"10";"0";65065;59328,89;56442,22;59745;49841,11;67952,22
"11";"1";34398;31110;25044;19986,67;19632,86;22824,29
"12";"0";39588,75;49781,11;36084,44;45577,78;58413,31;54703,83
"13";"0";48812,86;41361,43;32208,75;33766,67;38641;33601,43
"14";"1";49182,5;46884,44;39758;41598,89;35991,25;44441,43
"15";"0";30900;35750;25714;27529;48944,55;30382
"16";"0";63468,89;59360;45960;49606,25;42936,25;62812,22
"17";"1";11444;12189;11498;11109;10576;10483
"18";"0";41707,78;46094,44;33096,25;30828,75;30000;44454,29
"19";"1";91501,5;66445;81223,05;78575;72980;87212
"20";"0";30210;47232,86;29952,5;31537,5;34003,33;38585,56
"21";"0";39401;45796,67;36578;32455;32477;43993,33
"22";"0";111181,2;112257,65;76760,85;91079,75;82867,2;71503
"23";"1";45796;19319;21474;22325;25612;18560
"24";"0";74773;62613;50286;46728,89;48023;59640
"25";"0";62336;64648;49472;45915;48175;51406
"26";"0";65587;74125,9;51610;64840;38522;79535,56
"27";"1";32772,7;44685;21472,22;32022,22;44672,11;22750
"28";"0";52684;59987,5;41351,11;53554,44;53035,56;55011,25
"29";"1";67349,67;79166,67;52943,75;67777,5;62918,57;96144,89
"30";"0";91929,6;62146;63956,67;73326,78;52574,25;70487,3
"31";"1";68515;76229;54857;60726,67;50058;53150
"32";"0";76177,85;97198,44;56967,5;56992,22;51742,38;63746,92
"33";"1";42504;39378,75;39464;36118;37537,78;41062,22
"34";"0";129529,9;134672,35;95357,78;108002,45;101968,67;112790,45
"35";"0";53348,57;56807,78;50128,89;62286;53175,71;66860,14
"36";"0";34338,89;59378,89;58697,5;45489,89;38982,45;43824,44
"37";"0";92001,6;96552,85;63588,8;67264,44;55276,67;69964
"38";"1";80010;78957,25;53793;59254,44;55961;75603
"39";"1";40247,5;41861,25;35531,25;32818,89;34660;38765
"40";"0";58346;66488;46165;57720;48446,25;88311,1
"41";"0";60919;53680;52333,75;52844,44;43071,11;52266
"42";"1";76175;84323;62446,67;62128,75;49903;67147,5
"43";"0";63370;57181,11;50418,05;59816,7;75931,5;81621,62
"44";"1";71454,67;76936,25;67946,25;61597,78;70746,06;71893
"45";"0";99552,2;86687,67;78271,4;87937,2;67444,65;86805,15
