"classifier","fpr_target","ensemble","sens","fpr","mcc"
"logit",0.05,"triad+iter (4)",0.818,0.05,0.713
"logit",0.05,"full (6)",0.842,0.05,0.729
"logit",0.1,"triad+iter (4)",0.884,0.1,0.642
"logit",0.1,"full (6)",0.908,0.1,0.658
"logit",0.2,"triad+iter (4)",0.941,0.2,0.529
"logit",0.2,"full (6)",0.96,0.2,0.541
"glmnet",0.05,"triad+iter (4)",0.818,0.05,0.713
"glmnet",0.05,"full (6)",0.844,0.05,0.73
"glmnet",0.1,"triad+iter (4)",0.884,0.1,0.642
"glmnet",0.1,"full (6)",0.908,0.1,0.658
"glmnet",0.2,"triad+iter (4)",0.941,0.2,0.529
"glmnet",0.2,"full (6)",0.96,0.2,0.541
"rf",0.05,"triad+iter (4)",0.91,0.049,0.776
"rf",0.05,"full (6)",0.921,0.049,0.784
"rf",0.1,"triad+iter (4)",0.943,0.099,0.683
"rf",0.1,"full (6)",0.953,0.097,0.694
"rf",0.2,"triad+iter (4)",0.974,0.192,0.56
"rf",0.2,"full (6)",0.975,0.187,0.567
