"classifier","fpr_target","ensemble","sens","fpr_overall","mcc"
"logit",0.05,"triad+iter (4)",0.795,0.155,0.431
"logit",0.05,"full (6)",0.817,0.157,0.44
"logit",0.1,"triad+iter (4)",0.865,0.225,0.389
"logit",0.1,"full (6)",0.887,0.23,0.396
"logit",0.2,"triad+iter (4)",0.94,0.345,0.331
"logit",0.2,"full (6)",0.953,0.351,0.335
"glmnet",0.05,"triad+iter (4)",0.795,0.155,0.43
"glmnet",0.05,"full (6)",0.817,0.157,0.44
"glmnet",0.1,"triad+iter (4)",0.864,0.225,0.388
"glmnet",0.1,"full (6)",0.885,0.23,0.396
"glmnet",0.2,"triad+iter (4)",0.939,0.345,0.331
"glmnet",0.2,"full (6)",0.954,0.35,0.335
"rf",0.05,"triad+iter (4)",0.866,0.16,0.465
"rf",0.05,"full (6)",0.893,0.173,0.464
"rf",0.1,"triad+iter (4)",0.922,0.232,0.415
"rf",0.1,"full (6)",0.94,0.241,0.416
"rf",0.2,"triad+iter (4)",0.961,0.328,0.355
"rf",0.2,"full (6)",0.973,0.353,0.343
