"nF","ipf","total_items","careless_rate","rep","respondent","pattern","corruption","z_rr","z_rr_iter","irv","longstring","d2","person_tot","gt","flag","pred_prob","rate"
8,6,48,0.2,1,1,"clean",0,0.761375054217021,1.03966202975539,0.562832422018292,-0.156798488983211,-1.17293463720235,0.894537578463265,FALSE,FALSE,0.025,0.2
8,6,48,0.2,1,3,"fatigue",0.9,1.14112096080251,1.62362009610875,1.70089667211689,-0.245613184248692,-1.22684199250149,0.0321840331433374,TRUE,TRUE,0.16,0.2
8,6,48,0.2,1,4,"clean",0,0.66031454413541,1.17600243426418,-0.417649902446668,-0.067983793717729,-1.07733351412188,-0.164516114204245,FALSE,FALSE,0,0.2
8,6,48,0.2,1,5,"clean",0,1.20702309621785,1.20216982865135,-1.3146457857335,-0.245613184248692,-0.928895859530009,0.669801311988998,FALSE,FALSE,0.07,0.2
8,6,48,0.2,1,6,"longstring",1,0.178761493151835,1.06868234413966,2.95813826205777,0.109645596813234,-1.29431152379725,-1.857712060933,TRUE,TRUE,0.82,0.2
8,6,48,0.2,1,7,"clean",0,0.476413218652419,0.19831868147122,0.51002359890658,-0.156798488983211,-1.21351739226895,-1.23689532447686,FALSE,FALSE,0,0.2
8,6,48,0.2,1,8,"clean",0,0.498602567769873,0.596354040135613,-0.358551876439757,0.0208309015477527,-1.09646738043437,0.403878259448061,FALSE,FALSE,0,0.2
8,6,48,0.2,1,9,"clean",0,0.875834111290731,1.00643985378784,-0.126204242276533,-0.156798488983211,-1.15462855334176,2.5624450232161,FALSE,FALSE,0,0.2
8,6,48,0.2,1,10,"clean",0,0.822434136259798,0.333985243070432,-1.33601623094076,-0.067983793717729,-1.00225232686042,-0.51202302782528,FALSE,FALSE,0.04,0.2
8,6,48,0.2,1,12,"clean",0,0.927976126348254,0.0686249913039962,0.494687141126709,-0.067983793717729,-1.13922703063906,1.58945325197575,FALSE,FALSE,0.02,0.2
8,6,48,0.2,1,13,"clean",0,0.505597960876047,0.809937297147307,-0.315456373905323,-0.067983793717729,-1.12499121051111,-2.27732347159768,FALSE,FALSE,0,0.2
8,6,48,0.2,1,14,"clean",0,1.11229177837552,0.809953884450369,-0.0574100697248393,-0.245613184248692,-1.08215468868214,-0.0295507159257335,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,15,"clean",0,0.684938180143156,0.142029674758472,-0.307010615769106,-0.067983793717729,-1.20143532644623,0.981776682725865,FALSE,FALSE,0,0.2
8,6,48,0.2,1,16,"clean",0,0.330628357611819,0.109724671534664,-1.01084679884074,0.0208309015477527,-1.08122846921073,-1.83494478753522,FALSE,FALSE,0,0.2
8,6,48,0.2,1,17,"clean",0,0.874958827743189,0.711027094010406,-0.673129413099327,-0.156798488983211,-1.06835985663786,0.845037459276527,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,18,"clean",0,0.713239898481305,0.246830177772061,-0.273644685117533,-0.156798488983211,-1.0962482379285,-0.0756614398027652,FALSE,FALSE,0,0.2
8,6,48,0.2,1,19,"clean",0,1.155398249644,1.2663568257707,0.024851986931172,-0.245613184248692,-1.08601040543731,0.535545358058493,FALSE,FALSE,0.05,0.2
8,6,48,0.2,1,20,"clean",0,0.853157999893147,1.27700321213042,0.0460613977471666,-0.245613184248692,-1.07511878370106,-1.9509551198128,FALSE,TRUE,0.105,0.2
8,6,48,0.2,1,21,"clean",0,0.769152943733148,1.30385695500501,-0.203509090134156,0.109645596813234,-1.05861474060767,0.675119786184595,FALSE,FALSE,0.05,0.2
8,6,48,0.2,1,22,"clean",0,0.570929435019736,-0.236576952174859,1.48750702522299,-0.067983793717729,-1.32950174932398,0.60198762482552,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,23,"clean",0,0.883657040833205,1.01547873525775,-0.730200358573041,-0.156798488983211,-1.04383689614408,0.648516420416702,FALSE,FALSE,0,0.2
8,6,48,0.2,1,24,"clean",0,0.967248924014278,0.581037080192876,0.647736163503618,-0.245613184248692,-1.17270079517842,0.320432477482093,FALSE,FALSE,0,0.2
8,6,48,0.2,1,25,"clean",0,0.881523680025067,1.05866162215971,0.777706426307884,-0.156798488983211,-1.18292295886073,0.557381939189627,FALSE,FALSE,0,0.2
8,6,48,0.2,1,26,"clean",0,0.756438719497181,0.8199601658682,-1.24666167769401,-0.067983793717729,-1.02043872141159,-2.45583328223131,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,27,"clean",0,0.895010005313263,1.2057785043224,-0.275141413823928,-0.156798488983211,-1.09975963276601,0.746195562372283,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,28,"clean",0,0.932023586162171,1.18161940686345,-0.433832860574618,-0.245613184248692,-1.10857770808193,1.07462144844527,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,29,"acquiescent",1,0.450326076774556,1.00101254608854,5.5030746650868,0.0208309015477527,-1.5409259068975,1.34853114621125,TRUE,TRUE,0.96,0.2
8,6,48,0.2,1,30,"clean",0,0.971434562349808,1.16752853997504,-0.620018727396202,-0.245613184248692,-1.0412284386949,2.17754502557399,FALSE,FALSE,0,0.2
8,6,48,0.2,1,31,"clean",0,1.01479405944969,1.46191535073835,-0.219590163412717,-0.156798488983211,-1.0821604120473,0.285376186619836,FALSE,FALSE,0.035,0.2
8,6,48,0.2,1,32,"clean",0,0.896096643412254,1.42556552475808,0.287268950402205,-0.245613184248692,-1.18905813571109,3.27192817978873,FALSE,FALSE,0.045,0.2
8,6,48,0.2,1,33,"clean",0,0.665851134285186,0.494609564861854,-0.932778876234283,-0.245613184248692,-1.03916379700193,-0.246477921974138,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,34,"clean",0,0.614178995408814,1.50372746603867,0.804990859175678,-0.156798488983211,-1.21164788620278,-2.90212023468223,FALSE,TRUE,0.265,0.2
8,6,48,0.2,1,35,"clean",0,0.822971078356744,0.681878505813325,-0.615698803892063,-0.245613184248692,-1.07857058013528,0.376425597353872,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,37,"clean",0,0.436414659049658,0.680584257317923,-0.386672775491754,-0.245613184248692,-1.14285205393612,-4.29417874893469,FALSE,FALSE,0,0.2
8,6,48,0.2,1,38,"clean",0,1.22373355757348,1.52315702969952,-0.441179002607869,-0.245613184248692,-1.03435545398155,0.0539698064234578,FALSE,FALSE,0.045,0.2
8,6,48,0.2,1,39,"clean",0,1.41177346253056,1.5099243351666,0.0585015660158863,-0.156798488983211,-1.05228416080768,0.809891382423299,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,41,"clean",0,1.00998416780091,1.39280144245141,-0.405861883170022,-0.156798488983211,-1.03889136547816,-0.158351783384508,FALSE,FALSE,0.04,0.2
8,6,48,0.2,1,42,"clean",0,0.684113936230652,0.985689789086274,-0.382238592638198,-0.156798488983211,-1.15361129169826,-0.221475885537514,FALSE,FALSE,0,0.2
8,6,48,0.2,1,43,"clean",0,1.24377219973092,1.46381370801398,0.483750627783033,-0.245613184248692,-1.12907845385332,1.86258591883015,FALSE,FALSE,0.03,0.2
8,6,48,0.2,1,44,"clean",0,1.11213023537453,1.26487498617396,-0.648765745330093,-0.156798488983211,-1.03915968013715,0.132889102205823,FALSE,FALSE,0.03,0.2
8,6,48,0.2,1,46,"clean",0,1.00648424697411,1.28587338858987,1.39309604698827,-0.156798488983211,-1.23572160032747,0.581754626015218,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,47,"clean",0,1.07766163133766,1.00377638113983,-0.243655936042997,-0.156798488983211,-1.03890199298634,0.195727246614663,FALSE,FALSE,0,0.2
8,6,48,0.2,1,48,"clean",0,1.12061578304729,0.728312182768774,0.477195929681045,-0.245613184248692,-1.04639052817072,-1.50407470945552,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,49,"clean",0,0.441649691189672,0.307840638610632,-0.209542996219512,-0.156798488983211,-1.18258936552445,1.42877259381755,FALSE,FALSE,0,0.2
8,6,48,0.2,1,50,"clean",0,1.30995729497109,1.62842364082689,-0.416177258102719,-0.156798488983211,-1.00956185209548,-1.63862825341197,FALSE,TRUE,0.33,0.2
8,6,48,0.2,1,51,"clean",0,1.17541910394699,1.41439037002575,0.45756412901801,-0.245613184248692,-1.14238879019678,-1.78878284072007,FALSE,TRUE,0.115,0.2
8,6,48,0.2,1,52,"mixed",0.9,0.857558360589791,1.50263425329527,-1.33601623094076,-0.067983793717729,-0.884064285131561,-0.470094138261595,TRUE,TRUE,0.39,0.2
8,6,48,0.2,1,53,"clean",0,0.967205314223406,0.79573724641041,-0.209542996219512,-0.245613184248692,-1.10227195309045,1.62171539697664,FALSE,FALSE,0,0.2
8,6,48,0.2,1,54,"clean",0,1.29680865336235,1.58103030033658,-0.0246011812137254,-0.156798488983211,-1.05463142009221,2.25945200274012,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,55,"clean",0,0.706986463230939,0.588593198267637,-0.602726651095496,-0.156798488983211,-1.1356355834791,-2.13378388517808,FALSE,FALSE,0,0.2
8,6,48,0.2,1,56,"clean",0,0.595825273375298,0.538707285548995,-0.247159957734736,-0.156798488983211,-1.09991896519408,-0.16785178480569,FALSE,FALSE,0,0.2
8,6,48,0.2,1,57,"clean",0,1.09005033999451,1.21262179296034,-0.322901753548048,-0.156798488983211,-1.08580550983757,-0.196610655174701,FALSE,FALSE,0.04,0.2
8,6,48,0.2,1,59,"clean",0,0.563609226367711,0.391516692034239,-1.06177319439991,-0.067983793717729,-1.00509491570183,-1.34231277068008,FALSE,FALSE,0,0.2
8,6,48,0.2,1,60,"clean",0,1.39492531427507,1.49669210650732,0.50180395458386,-0.156798488983211,-1.07307778979829,0.315032849741174,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,61,"clean",0,0.368646017200835,0.600711938466083,-0.734466367960349,-0.067983793717729,-1.15979831512064,2.19886521183027,FALSE,FALSE,0,0.2
8,6,48,0.2,1,62,"clean",0,0.92075419674766,1.03298575003508,-0.694572802738707,-0.156798488983211,-0.991559391645496,1.714890807561,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,64,"clean",0,1.18128680741725,1.68667436980427,0.477195929681045,-0.156798488983211,-1.12193742227281,0.205678989358148,FALSE,FALSE,0.05,0.2
8,6,48,0.2,1,65,"fatigue",0.9,1.16391905078234,1.19270407040731,2.51964207068611,-0.245613184248692,-1.40707819374455,-1.3391865825213,TRUE,TRUE,0.605,0.2
8,6,48,0.2,1,66,"clean",0,0.96880154806033,0.291208520928873,0.453752438540669,-0.156798488983211,-1.18487327829506,-2.3895425850505,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,67,"clean",0,0.848909983809437,0.797382512359439,-0.581064944014922,-0.245613184248692,-1.11627568239045,1.66648794131197,FALSE,FALSE,0.01,0.2
8,6,48,0.2,1,70,"clean",0,1.22546324816812,1.75789218789473,-0.0819338447974392,-0.156798488983211,-1.0970384965361,-0.54430302632887,FALSE,FALSE,0.055,0.2
8,6,48,0.2,1,71,"clean",0,0.805892957469282,0.925885552552121,-0.734466367960349,-0.245613184248692,-1.0700394327199,-0.802542888349602,FALSE,FALSE,0,0.2
8,6,48,0.2,1,72,"clean",0,1.14305829028436,1.77079256949087,0.0186544593910817,-0.156798488983211,-1.07239214929254,0.80385553192854,FALSE,FALSE,0.045,0.2
8,6,48,0.2,1,73,"clean",0,1.13717695334804,1.30219153764827,-0.78550461497628,-0.156798488983211,-0.940115876036225,3.43253898314932,FALSE,FALSE,0.02,0.2
8,6,48,0.2,1,74,"clean",0,0.765572164887522,1.19898945125012,0.422781845782895,-0.156798488983211,-1.12082346733511,-0.173402593711527,FALSE,FALSE,0.005,0.2
8,6,48,0.2,1,75,"clean",0,0.935059608739099,1.43261536632803,-0.78550461497628,-0.245613184248692,-1.02569302981893,-1.75635390316923,FALSE,TRUE,0.195,0.2
