"pattern","corruption","n","rate_full","rate_no_rr","delta"
"acquiescent",0.7,129,0.961,0.899,0.062
"acquiescent",0.71,26,0.923,0.731,0.192
"acquiescent",0.79,26,0.962,0.923,0.039
"acquiescent",0.8,127,1,0.976,0.024
"acquiescent",0.9,159,1,1,0
"acquiescent",1,159,1,1,0
"fatigue",0.7,131,0.664,0.588,0.076
"fatigue",0.71,30,0.667,0.5,0.167
"fatigue",0.79,25,0.68,0.64,0.04
"fatigue",0.8,129,0.791,0.721,0.07
"fatigue",0.9,155,0.929,0.768,0.161
"fatigue",1,159,0.994,0.981,0.013
"longstring",0.7,134,0.866,0.612,0.254
"longstring",0.71,30,0.7,0.5,0.2
"longstring",0.79,30,0.633,0.5,0.133
"longstring",0.8,133,0.947,0.737,0.21
"longstring",0.9,159,0.95,0.786,0.164
"longstring",1,166,0.94,0.807,0.133
"mixed",0.7,130,0.838,0.415,0.423
"mixed",0.71,24,0.375,0.292,0.083
"mixed",0.79,27,0.444,0.259,0.185
"mixed",0.8,138,0.79,0.442,0.348
"mixed",0.9,163,0.773,0.521,0.252
"mixed",1,160,0.887,0.519,0.368
"pure_straight",0.7,128,0.992,0.969,0.023
"pure_straight",0.71,26,1,0.923,0.077
"pure_straight",0.79,26,1,1,0
"pure_straight",0.8,132,1,1,0
"pure_straight",0.9,157,1,1,0
"pure_straight",1,161,1,1,0
"random",0.7,140,0.779,0.35,0.429
"random",0.71,28,0.393,0.25,0.143
"random",0.79,26,0.385,0.192,0.193
"random",0.8,137,0.803,0.307,0.496
"random",0.9,170,0.847,0.335,0.512
"random",1,162,0.827,0.352,0.475
