"scenario","tau_GT","n_pos","n_neg","n_total","tau_op_FPR5","auc","auprc","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","flagged","true_positives","tau_op_MCC","sens_mcc","spec_mcc","ppv_mcc","f1_mcc","mcc_max"
"A",0.1,8637,14400,23037,0.59,0.903693488447635,0.886310434209919,0.67245571378951,0.95125,0.892165898617511,0.828825558177528,0.811852856894755,0.62370571378951,0.799795910055979,0.766884531590414,0.707292123337718,0.6705866768707,0.656034341980722,6510,5808,0.56,0.691906912122265,0.942986111111111,0.87921141680153,0.774394194635221,0.673925071089797
"A",0.2,7833,14400,22233,0.56,0.923855775777693,0.900187699871589,0.712753734201455,0.951319444444444,0.888446849140675,0.858925324471754,0.83203658932295,0.6640731786459,0.823441853712958,0.790961252390735,0.742104423649511,0.704492593972641,0.69543145249942,6284,5583,0.55,0.720668964636793,0.948333333333333,0.883549851306934,0.793840528758262,0.706194056190002
"A",0.3,6715,14400,21115,0.505,0.944226922520063,0.91781980682855,0.779151154132539,0.950138888888889,0.879327731092437,0.902209033959776,0.864645021510714,0.729290043021428,0.860407933403677,0.826213975523095,0.797317890886925,0.75496157584857,0.752155204193203,5950,5232,0.49,0.78644825018615,0.947222222222222,0.874193014401589,0.828002508623393,0.756025809482914
"A",0.4,5758,14400,20158,0.45,0.958966510362394,0.929940187816467,0.824070857936784,0.950416666666667,0.869206814434878,0.931083747193687,0.887243762301725,0.77448752460345,0.884991908379629,0.846037264865829,0.832719104278544,0.787283339109378,0.786746555860617,5459,4745,0.5,0.804445988190344,0.960833333333333,0.891454965357968,0.845718459010407,0.790328527503497
"A",0.5,4804,14400,19204,0.395,0.969261993766768,0.938402587974422,0.851998334721066,0.950416666666667,0.851466611192012,0.950614711398208,0.901207500693866,0.802415001387732,0.899862999178845,0.851732389969826,0.85189193689381,0.802248144640613,0.802248075116899,4807,4093,0.51,0.811615320566195,0.971388888888889,0.904430526559963,0.855512890839276,0.812768261411842
"A",0.6,3842,14400,18242,0.305,0.975807576349124,0.941502880361471,0.880010411244144,0.950138888888889,0.824835325689192,0.967404369652832,0.915074650066516,0.830149300133033,0.914402599706587,0.851530034000755,0.868392664509169,0.810973013500319,0.810279219307223,4099,3381,0.57,0.79776158250911,0.985277777777778,0.935306682941715,0.861075993819357,0.831700452754198
"A",0.7,3050,14400,17450,0.265,0.9786264571949,0.93869254132241,0.885573770491803,0.950069444444444,0.789766081871345,0.975124732715609,0.917821607468124,0.835643214936248,0.917254915574574,0.834930448222566,0.864596670934699,0.799484721165232,0.797515197279429,3420,2701,0.48,0.822295081967213,0.981944444444444,0.90606936416185,0.862151942248195,0.836066701270912
"A",0.8,1930,14400,16330,0.155,0.983808793897525,0.939138501570626,0.919689119170985,0.950833333333333,0.714861055175191,0.98880623961869,0.935261226252159,0.870522452504318,0.935131579411018,0.804441423068208,0.869842203273547,0.782660960576831,0.774442856911926,2483,1775,0.55,0.805181347150259,0.993472222222222,0.942961165048544,0.868641699273337,0.855947492433185
"A",0.9,967,14400,15367,0.08,0.984920178386763,0.924730709251693,0.925542916235781,0.9525,0.566814439518683,0.994778067885117,0.93902145811789,0.878042916235781,0.938924718875044,0.70306362922231,0.821553148522122,0.70221244857735,0.677924589879247,1579,895,0.51,0.795243019648397,0.997291666666667,0.951732673267327,0.866478873239437,0.86226609267464
"B",0.1,8637,15363,24000,0.575,0.900126456935628,0.877285190084627,0.66689822855158,0.950921044066914,0.884249309180227,0.83546837469976,0.808909636309247,0.617819272618494,0.796346381784111,0.76034585175896,0.701378403389996,0.666824906512497,0.652952624305636,6514,5760,0.57,0.669792752113002,0.949228666276118,0.881188118811881,0.761084067885805,0.666494868534474
