"nF","ipf","total_items","method","mcc_oracle","mcc_z15","mcc_auto"
4,3,12,"efa_d",0.142598597914353,0.0961474492558427,0.0936662347810389
4,6,24,"efa_d",0.19330335809361,0.143951379338399,0.144759715831773
8,3,24,"efa_d",0.157958310925306,0.073884103746837,0.121706075035895
12,3,36,"efa_d",0.179371826898047,0.0986789246087385,0.146823039602936
4,10,40,"efa_d",0.250771904144613,0.171817568073862,0.201127174400527
8,6,48,"efa_d",0.261885718711667,0.179221151943267,0.231439186282764
20,3,60,"efa_d",0.241850718988897,0.144751939617163,0.195718664143606
12,6,72,"efa_d",0.384830950527625,0.298215374471357,0.3628780957921
8,10,80,"efa_d",0.379506322899798,0.324471523726939,0.329233402830513
30,3,90,"efa_d",0.292974569406348,0.224337882722302,0.262706697361727
12,10,120,"efa_d",0.51171774089119,0.422206144437474,0.449281795086304
20,6,120,"efa_d",0.483609470756274,0.388406222857406,0.427150465569007
30,6,180,"efa_d",0.596743690518628,0.523611835260267,0.546910164881691
20,10,200,"efa_d",0.673253446830133,0.593325546809509,0.618037659065869
30,10,300,"efa_d",0.714693786755322,0.656719773199127,0.683447957857263
4,3,12,"iterative",0.147028065068165,0.08737814598894,0.100739313421781
4,6,24,"iterative",0.190768990351793,0.138273252407705,0.149217417149209
8,3,24,"iterative",0.152122583281056,0.0738742398018325,0.112265607364701
12,3,36,"iterative",0.191486790691782,0.101328003011402,0.137787652064954
4,10,40,"iterative",0.251731431519034,0.179186401303035,0.21639435760728
8,6,48,"iterative",0.270939739814554,0.179719461704977,0.210419785839647
20,3,60,"iterative",0.260407428781617,0.125153782426654,0.201513846029006
12,6,72,"iterative",0.379497479335901,0.265709101419422,0.331189524147181
8,10,80,"iterative",0.374433017531072,0.311611537197412,0.305496539633342
30,3,90,"iterative",0.353150732361157,0.233230340289579,0.308738994931376
12,10,120,"iterative",0.516757660855207,0.387817692095408,0.426672410873403
20,6,120,"iterative",0.494267274525085,0.383543372823448,0.4303640128398
30,6,180,"iterative",0.571285899772589,0.503201789806903,0.513123573930374
20,10,200,"iterative",0.694608852229032,0.648571129497358,0.660849851701631
30,10,300,"iterative",0.722778939548236,0.666154278781232,0.668095706253279
4,3,12,"std",0.133921376428463,0.0576627873359997,0.103032957859691
4,6,24,"std",0.201320993354818,0.14306354577984,0.166533904087396
8,3,24,"std",0.161453483344165,0.0473949201452365,0.104660134334949
12,3,36,"std",0.186398439785748,0.0664912544054197,0.142301360042441
4,10,40,"std",0.244905311148706,0.204592692410044,0.174194693352217
8,6,48,"std",0.246450312759196,0.179472628461055,0.197825124784484
20,3,60,"std",0.236143127299285,0.0933478898557622,0.18137945586583
12,6,72,"std",0.309378875265684,0.257046540424502,0.264031585764269
8,10,80,"std",0.319980881507035,0.280048456158314,0.288664218859357
30,3,90,"std",0.307495466762402,0.235978654357292,0.265360787243458
12,10,120,"std",0.47701670322791,0.397675173570816,0.417257583202433
20,6,120,"std",0.525574172428141,0.441346232042421,0.451221307511506
30,6,180,"std",0.575649488353626,0.485884986014518,0.512343464118471
20,10,200,"std",0.689500264522936,0.664310871067239,0.645485587316334
30,10,300,"std",0.826738205064817,0.684154599202661,0.710266270736375
