"gt_threshold","ensemble","n_positive","sens","fpr","mcc"
0.4,"z_rr_only",5758,0.385,0.064,0.393
0.4,"triad",5758,0.58,0.071,0.55
0.4,"triad_plus_iter",5758,0.663,0.076,0.608
0.4,"all_5_no_iter",5758,0.62,0.075,0.575
0.4,"all_6_with_iter",5758,0.705,0.08,0.635
0.5,"z_rr_only",4804,0.418,0.072,0.398
0.5,"triad",4804,0.617,0.084,0.543
0.5,"triad_plus_iter",4804,0.699,0.092,0.593
0.5,"all_5_no_iter",4804,0.646,0.088,0.559
0.5,"all_6_with_iter",4804,0.74,0.096,0.617
0.6,"z_rr_only",3842,0.455,0.081,0.393
0.6,"triad",3842,0.655,0.1,0.519
0.6,"triad_plus_iter",3842,0.736,0.11,0.563
0.6,"all_5_no_iter",3842,0.673,0.103,0.528
0.6,"all_6_with_iter",3842,0.767,0.115,0.577
0.7,"z_rr_only",3050,0.474,0.093,0.365
0.7,"triad",3050,0.651,0.115,0.461
0.7,"triad_plus_iter",3050,0.749,0.125,0.515
0.7,"all_5_no_iter",3050,0.664,0.117,0.468
0.7,"all_6_with_iter",3050,0.771,0.13,0.524
0.8,"z_rr_only",1930,0.527,0.107,0.328
0.8,"triad",1930,0.696,0.139,0.39
0.8,"triad_plus_iter",1930,0.795,0.155,0.431
0.8,"all_5_no_iter",1930,0.711,0.142,0.397
0.8,"all_6_with_iter",1930,0.817,0.157,0.44
