"pattern","bin","n","rate_zrr","rate_triad","rate_best"
"acquiescent",0.1,162,0.062,0.074,0.062
"acquiescent",0.2,166,0.127,0.102,0.175
"acquiescent",0.3,156,0.154,0.173,0.205
"acquiescent",0.4,156,0.199,0.25,0.327
"acquiescent",0.5,161,0.217,0.472,0.571
"acquiescent",0.6,157,0.401,0.656,0.726
"acquiescent",0.7,155,0.471,0.806,0.852
"acquiescent",0.8,153,0.536,0.935,0.954
"acquiescent",0.9,159,0.566,0.95,0.987
"acquiescent",1,159,0.742,1,1
"fatigue",0.1,159,0.038,0.038,0.044
"fatigue",0.2,163,0.055,0.031,0.055
"fatigue",0.3,158,0.063,0.057,0.101
"fatigue",0.4,158,0.076,0.12,0.12
"fatigue",0.5,161,0.106,0.118,0.161
"fatigue",0.6,156,0.103,0.167,0.256
"fatigue",0.7,161,0.193,0.267,0.422
"fatigue",0.8,154,0.247,0.357,0.506
"fatigue",0.9,155,0.31,0.452,0.639
"fatigue",1,159,0.553,0.642,0.868
"longstring",0.1,165,0.048,0.036,0.067
"longstring",0.2,165,0.121,0.109,0.158
"longstring",0.3,161,0.155,0.211,0.224
"longstring",0.4,166,0.133,0.229,0.307
"longstring",0.5,160,0.244,0.381,0.544
"longstring",0.6,163,0.288,0.497,0.675
"longstring",0.7,164,0.366,0.561,0.677
"longstring",0.8,163,0.436,0.693,0.804
"longstring",0.9,159,0.491,0.704,0.811
"longstring",1,166,0.566,0.705,0.801
"mixed",0.1,159,0.063,0.057,0.088
"mixed",0.2,154,0.117,0.149,0.11
"mixed",0.3,156,0.096,0.16,0.173
"mixed",0.4,155,0.181,0.206,0.297
"mixed",0.5,159,0.233,0.308,0.409
"mixed",0.6,159,0.34,0.421,0.56
"mixed",0.7,154,0.338,0.487,0.688
"mixed",0.8,165,0.352,0.509,0.679
"mixed",0.9,163,0.368,0.509,0.693
"mixed",1,160,0.369,0.575,0.762
"pure_straight",0.1,156,0.109,0.109,0.096
"pure_straight",0.2,158,0.114,0.139,0.139
"pure_straight",0.3,161,0.18,0.242,0.311
"pure_straight",0.4,164,0.22,0.439,0.5
"pure_straight",0.5,154,0.253,0.526,0.675
"pure_straight",0.6,161,0.217,0.658,0.832
"pure_straight",0.7,154,0.474,0.844,0.961
"pure_straight",0.8,158,0.563,0.937,0.994
"pure_straight",0.9,157,0.656,0.987,1
"pure_straight",1,161,0.932,1,1
"random",0.1,162,0.062,0.068,0.093
"random",0.2,163,0.092,0.104,0.129
"random",0.3,161,0.149,0.155,0.18
"random",0.4,158,0.209,0.215,0.266
"random",0.5,159,0.252,0.289,0.434
"random",0.6,166,0.283,0.331,0.482
"random",0.7,168,0.298,0.381,0.565
"random",0.8,163,0.331,0.509,0.607
"random",0.9,170,0.371,0.518,0.724
"random",1,162,0.395,0.5,0.691
