size,scenario,mcc_full_pt,mcc_norr_pt,delta_pt,mcc_full_lo,mcc_full_hi,mcc_norr_lo,mcc_norr_hi,delta_lo,delta_hi,delta_mean,delta_p_gt0,n
30,A,0.5751349340473391,0.541957166026014,0.033177768021325105,0.5580555331562336,0.5906373190620489,0.5250024416201696,0.5574607488934437,0.02074899373566794,0.04476435188301156,0.03301060286374907,1.0,19325
30,B,0.4917444333685152,0.46047656285950195,0.03126787050901325,0.4768528952015036,0.5054665580178507,0.4452836658609116,0.47385630498383174,0.020256929260031947,0.04331581801591743,0.03157479486505667,1.0,24000
50,A,0.6529535807959821,0.6198256294724741,0.03312795132350799,0.6358461522107578,0.667535509782217,0.6042701433597999,0.635557841037981,0.020992606553454828,0.04501924049068521,0.03269449391443146,1.0,19324
50,B,0.5647394441446073,0.5349235970941881,0.029815847050419175,0.552225215245432,0.5773693313502515,0.5209852050862894,0.5491325010663328,0.020468036749386333,0.03979576991443901,0.030357245552003132,1.0,24000
80,A,0.7174448198474964,0.6848449456038022,0.03259987424369426,0.7035051104088437,0.7299826482050811,0.6701151619601832,0.6987922029534989,0.021510275783212813,0.04317590082813212,0.03271726154460228,1.0,19322
80,B,0.6259682092476001,0.5976811603126576,0.028287048934942494,0.6143652021291692,0.6392734816575837,0.5840115897370827,0.6115373464808258,0.01915413090445115,0.03812705285307689,0.028329038311322018,1.0,24000
100,A,0.7509521187649502,0.7157288855006086,0.035223233264341514,0.7387759727607166,0.7631264029790289,0.7024995066537743,0.7277950604040327,0.024516540291627333,0.046160145130642115,0.03545526536112021,1.0,19308
100,B,0.662512609181742,0.6171552898129723,0.045357319368769744,0.6499228139221781,0.6746524265684111,0.6040156479931444,0.6298209249653656,0.03535969743416164,0.05611723200904066,0.04541572537298561,1.0,24000
150,A,0.8242492949229356,0.7552012659644866,0.06904802895844908,0.81212350988664,0.8348431888760155,0.7426368807309738,0.7684180549884315,0.05607397914978815,0.08234070081758599,0.06860939543202271,1.0,19345
150,B,0.7372927221953478,0.6509945806993027,0.08629814149604509,0.7250759144962856,0.7489088500649433,0.6377018427148868,0.6642574591678183,0.07537648081403327,0.09778735489915774,0.08656438659929454,1.0,24000
200,A,0.8453889081407575,0.7624801391515589,0.08290876898919863,0.8355206399697888,0.8549403187470856,0.7511461533553613,0.773947728524732,0.0710832995478628,0.09553127473445025,0.08283150365659069,1.0,19308
200,B,0.7830808394109214,0.6667246187481607,0.11635622066276075,0.7734784093933794,0.7930350789487358,0.6546834423482698,0.679216341557659,0.10455685441793242,0.13026667255459376,0.11654956898214767,1.0,24000
250,A,0.8570262719596456,0.7876679283617488,0.06935834359789683,0.8480096270557741,0.8656565301037651,0.7775724231558847,0.7988740795694076,0.05762315809205755,0.07998354579657613,0.06881727964558869,1.0,19304
250,B,0.8032193952259297,0.6832029015595481,0.12001649366638156,0.7936159286519763,0.8129603911440646,0.6718726922338919,0.6952011134153678,0.10908686029349934,0.13221306718122075,0.11958139415088988,1.0,24000
300,A,0.860019245543772,0.786105358197859,0.07391388734591298,0.8526867893829475,0.8687565936111004,0.7744910768624873,0.7980701044620986,0.061828512526608176,0.08517575301299377,0.0743590070901055,1.0,19311
300,B,0.817548235037246,0.6847355939968855,0.1328126410403605,0.8086776902873238,0.8257298734588819,0.6725839438076349,0.695685794476108,0.12086736321541393,0.14425093821372142,0.13262903582913574,1.0,24000
