"dataset","J","n","prev","na_rr","AUC_rr","AUC_PT","AUC_LS","AUC_ens","AUC_M0_LSPT","AUC_M1_plus_rr","dAUC","ci_lo","ci_hi","delong_p"
"Kay S2",363,701,0.05,0,0.919,0.893,0.701,0.912,0.893,0.912,0.019,-0.019,0.057,0.348
"warning IPIP",300,812,0.261,0,0.62,0.734,0.636,0.744,0.746,0.748,0.002,-0.012,0.013,0.75
"Kay S1",250,500,0.288,0,0.548,0.628,0.519,0.566,0.622,0.614,-0.008,-0.012,-0.005,2.96e-08
"opsy 16PF",163,35381,0.007,0,0.629,0.64,0.502,0.634,0.638,0.668,0.029,0.005,0.053,0.0166
"smarvus",141,10234,0.105,0,0.804,0.824,0.53,0.807,0.826,0.842,0.016,0.01,0.021,2.87e-08
"Kay S6",67,562,0.368,0,0.572,0.758,0.622,0.712,0.767,0.764,-0.003,-0.007,0.002,0.244
"Kay S5",62,629,0.087,0,0.574,0.714,0.535,0.733,0.725,0.723,-0.002,-0.015,0.01,0.744
"douglas 2023",50,2071,0.801,0,0.488,0.542,0.526,0.521,0.535,0.535,0.001,-0.016,0.015,0.926
"duckworth VCL",50,3874,0.26,0,0.5,0.575,0.495,0.547,0.573,0.571,-0.003,-0.007,0.002,0.213
"krause youth",49,1783,0.448,0,0.555,0.749,0.662,0.759,0.772,0.774,0.002,-0.003,0.006,0.416
