"size","rate","rep","scenario","tau","mcc_full","f1_full","mcc_norr","f1_norr","mcc_triad","f1_triad","delta_mcc","delta_f1"
30,0.2,1,"A",0.6,0.41601331263901,0.469135802469136,0.41601331263901,0.469135802469136,0.411231736577068,0.461538461538462,0,0
30,0.2,1,"B",0.4,0.408296224370786,0.467289719626168,0.437195460386289,0.495412844036697,0.408296224370786,0.467289719626168,-0.0288992360155033,-0.0281231244105291
30,0.2,2,"A",0.6,0.510718501444592,0.558139534883721,0.454886491434972,0.506024096385542,0.435627571658741,0.48780487804878,0.0558320100096201,0.0521154384981787
30,0.2,2,"B",0.4,0.502156041436875,0.559322033898305,0.379593699760542,0.440366972477064,0.449530613812582,0.508771929824561,0.122562341676333,0.118955061421241
30,0.2,3,"A",0.6,0.444871433236019,0.493506493506493,0.473344761591554,0.519480519480519,0.497269898356372,0.54320987654321,-0.0284733283555347,-0.025974025974026
30,0.2,3,"B",0.4,0.498354077528102,0.553571428571429,0.498354077528102,0.553571428571429,0.525258490527144,0.578947368421053,0,0
30,0.2,4,"A",0.6,0.518741508058096,0.564705882352941,0.50020304453639,0.547619047619048,0.402582074381487,0.455696202531646,0.0185384635217057,0.0170868347338935
30,0.2,4,"B",0.4,0.488071334055073,0.543859649122807,0.433568880749833,0.490909090909091,0.398663517831139,0.458715596330275,0.0545024533052399,0.052950558213716
30,0.2,5,"A",0.6,0.402749379382798,0.453333333333333,0.373568495152884,0.426666666666667,0.395203064456251,0.447368421052632,0.0291808842299139,0.0266666666666667
30,0.2,5,"B",0.4,0.38877692418887,0.448598130841121,0.373892727242429,0.433962264150943,0.373892727242429,0.433962264150943,0.0148841969464411,0.0146358666901781
30,0.4,1,"A",0.6,0.62250503498842,0.685314685314685,0.626652057386022,0.693877551020408,0.607334840810254,0.675862068965517,-0.00414702239760256,-0.00856286570572296
30,0.4,1,"B",0.4,0.504295168333339,0.577319587628866,0.461562419516185,0.536842105263158,0.469030609819295,0.544502617801047,0.0427327488171542,0.0404774823657081
30,0.4,2,"A",0.6,0.536834006918282,0.607407407407407,0.547313775465377,0.617647058823529,0.482895441450188,0.553846153846154,-0.0104797685470953,-0.010239651416122
30,0.4,2,"B",0.4,0.482446817193988,0.554973821989529,0.461562419516185,0.536842105263158,0.452549469381839,0.524064171122995,0.0208843976778036,0.0181317167263708
30,0.4,3,"A",0.6,0.552839836510815,0.624113475177305,0.512027077870804,0.583941605839416,0.498979153828901,0.567164179104478,0.0408127586400113,0.0401718693378889
30,0.4,3,"B",0.4,0.461264171019963,0.534031413612565,0.431182861669981,0.502673796791444,0.388873638909191,0.449438202247191,0.0300813093499821,0.0313576168211216
30,0.4,4,"A",0.6,0.658787221381442,0.723684210526316,0.621170803695461,0.689189189189189,0.621170803695461,0.689189189189189,0.0376164176859815,0.0344950213371266
30,0.4,4,"B",0.4,0.402897405264078,0.472527472527473,0.473180346457825,0.549222797927461,0.43572476437519,0.51063829787234,-0.070282941193747,-0.0766953253999886
30,0.4,5,"A",0.6,0.61514416559707,0.681159420289855,0.57071438765875,0.636363636363636,0.552112739794699,0.621212121212121,0.0444297779383197,0.0447957839262187
30,0.4,5,"B",0.4,0.457220485134952,0.531914893617021,0.441911108632065,0.516129032258065,0.418456637714221,0.491803278688525,0.0153093765028868,0.0157858613589568
64,0.2,1,"A",0.6,0.636846325805328,0.666666666666667,0.582281900176818,0.619047619047619,0.618907552631614,0.651162790697674,0.0545644256285103,0.0476190476190477
64,0.2,1,"B",0.4,0.575363009993229,0.632352941176471,0.496785702284691,0.558139534883721,0.586168883238916,0.642335766423358,0.0785773077085376,0.0742134062927498
