"size","rate","rep","scenario","tau","n_pos","n_neg","tau_op","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
30,0.1,1,"B",0.4,30,470,0.21,0.5,0.951063829787234,0.394736842105263,0.967532467532468,0.725531914893617,0.451063829787234,0.689588221254987,0.441176470588235,0.474683544303797,0.404235800269561,0.401008827238336,0.78677304964539,0.521625412169365
30,0.1,2,"B",0.4,33,467,0.2,0.515151515151515,0.952890792291221,0.435897435897436,0.96529284164859,0.734021153721368,0.468042307442736,0.700630527041714,0.472222222222222,0.497076023391813,0.433329001136819,0.431580207024472,0.825708909220687,0.522581665488427
30,0.1,4,"B",0.4,30,470,0.17275,0.533333333333333,0.948936170212766,0.4,0.969565217391304,0.74113475177305,0.482269503546099,0.711406558010356,0.457142857142857,0.5,0.422172990513617,0.41717791411043,0.800602836879433,0.508584911654916
30,0.1,6,"B",0.4,30,470,0.22,0.466666666666667,0.951063829787234,0.378378378378378,0.965442764578834,0.70886524822695,0.417730496453901,0.66620551426271,0.417910447761194,0.445859872611465,0.37897833280923,0.376598465473146,0.801170212765957,0.466310371095092
30,0.1,7,"B",0.4,32,468,0.20825,0.5625,0.948717948717949,0.428571428571429,0.96943231441048,0.755608974358974,0.511217948717949,0.730516150508561,0.486486486486486,0.529411764705882,0.451072784669256,0.446257868967126,0.773838141025641,0.41080787242684
30,0.1,8,"B",0.4,32,468,0.19825,0.34375,0.948717948717949,0.314285714285714,0.954838709677419,0.646233974358974,0.292467948717949,0.571070744191816,0.328358208955224,0.337423312883436,0.280553503322267,0.280230326295586,0.71875,0.375855586572072
30,0.1,9,"B",0.4,32,468,0.185,0.34375,0.950854700854701,0.323529411764706,0.954935622317597,0.64730235042735,0.294604700854701,0.571713480179367,0.333333333333333,0.339506172839506,0.286421207427646,0.286270438619258,0.691539797008547,0.385938366516149
30,0.1,11,"B",0.4,31,469,0.168,0.451612903225806,0.948827292110874,0.368421052631579,0.963203463203463,0.70022009766834,0.400440195336681,0.654601136609212,0.405797101449275,0.432098765432099,0.364411561149501,0.362244897959184,0.657301052341977,0.430649655042433
30,0.2,1,"A",0.6,40,400,0.26025,0.475,0.95,0.487179487179487,0.947630922693267,0.7125,0.425,0.67175144212722,0.481012658227848,0.477386934673367,0.429877219908104,0.429835651074589,0.814625,0.53755998407989
30,0.2,1,"B",0.4,58,442,0.27975,0.413793103448276,0.947963800904977,0.51063829787234,0.924944812362031,0.680878452176627,0.361756904353253,0.626307339197853,0.457142857142857,0.43010752688172,0.396957425358121,0.394235674205067,0.746820876891871,0.495319161564898
30,0.2,2,"A",0.6,42,400,0.266749999999998,0.666666666666667,0.95,0.583333333333333,0.964467005076142,0.808333333333333,0.616666666666667,0.795822425754221,0.622222222222222,0.648148148148148,0.581214425737905,0.579612845473873,0.888958333333333,0.648669988889143
30,0.2,2,"B",0.4,63,437,0.381,0.444444444444444,0.949656750572082,0.56,0.922222222222222,0.697050597508263,0.394101195016527,0.649668890220954,0.495575221238938,0.463576158940397,0.435940768959847,0.432270916334661,0.829119901202281,0.547343112500615
30,0.2,3,"A",0.6,41,400,0.23025,0.48780487804878,0.95,0.5,0.947630922693267,0.71890243902439,0.43780487804878,0.680745645705018,0.493827160493827,0.490196078431373,0.442690638618651,0.442649733362104,0.850213414634146,0.584058995551668
30,0.2,3,"B",0.4,62,438,0.33575,0.451612903225806,0.949771689497717,0.56,0.924444444444444,0.700692296361762,0.401384592723523,0.654926828047029,0.5,0.469798657718121,0.440963191242202,0.437751004016064,0.836187214611872,0.568088471161142
30,0.2,4,"A",0.6,41,400,0.21525,0.51219512195122,0.95,0.51219512195122,0.95,0.73109756097561,0.462195121951219,0.697556711568069,0.51219512195122,0.51219512195122,0.46219512195122,0.462195121951219,0.718506097560976,0.540842302748369
30,0.2,4,"B",0.4,62,438,0.32,0.354838709677419,0.952054794520548,0.511627906976744,0.912472647702407,0.653446752098984,0.306893504197967,0.581227919864378,0.419047619047619,0.378006872852234,0.360768215559224,0.353375169606513,0.724756959787892,0.461566684784931
30,0.2,5,"A",0.6,42,400,0.25025,0.619047619047619,0.95,0.565217391304348,0.95959595959596,0.78452380952381,0.569047619047619,0.766873678056066,0.590909090909091,0.607476635514019,0.546483108407042,0.545786709294359,0.876845238095238,0.629614686441792
30,0.2,5,"B",0.4,62,438,0.3215,0.5,0.949771689497717,0.584905660377358,0.930648769574944,0.724885844748858,0.449771689497717,0.689119615704602,0.539130434782609,0.514950166112957,0.481541054311758,0.479657555765002,0.778244218588894,0.55221867146714
30,0.2,6,"A",0.6,43,400,0.24,0.651162790697674,0.9525,0.595744680851064,0.962121212121212,0.801831395348837,0.603662790697674,0.787548448122104,0.622222222222222,0.639269406392694,0.580312744808086,0.579602545495144,0.865639534883721,0.69679733855848
30,0.2,6,"B",0.4,60,440,0.3255,0.5,0.95,0.576923076923077,0.933035714285714,0.725,0.45,0.689202437604511,0.535714285714286,0.513698630136986,0.47904222782961,0.477491961414791,0.783712121212121,0.584403261805631
30,0.2,7,"A",0.6,41,400,0.300749999999999,0.48780487804878,0.95,0.5,0.947630922693267,0.71890243902439,0.43780487804878,0.680745645705018,0.493827160493827,0.490196078431373,0.442690638618651,0.442649733362104,0.808810975609756,0.517920079674262
