size,rate,rep,scenario,pattern,corruption,rate_full,rate_norr,delta
30,0.1,1,B,acquiescent,0.1,0.0,0.0,0.0
30,0.1,1,B,acquiescent,0.3,0.0,0.0,0.0
30,0.1,1,B,acquiescent,0.4,0.0,0.0,0.0
30,0.1,1,B,acquiescent,0.6,1.0,0.0,1.0
30,0.1,1,B,acquiescent,0.7,0.0,0.0,0.0
30,0.1,1,B,acquiescent,0.8,1.0,1.0,0.0
30,0.1,1,B,acquiescent,0.9,1.0,1.0,0.0
30,0.1,1,B,acquiescent,1.0,1.0,1.0,0.0
30,0.1,1,B,fatigue,0.1,0.0,0.0,0.0
30,0.1,1,B,fatigue,0.2,0.0,0.0,0.0
30,0.1,1,B,fatigue,0.3,0.0,0.0,0.0
30,0.1,1,B,fatigue,0.5,0.0,0.0,0.0
30,0.1,1,B,fatigue,0.6,0.0,0.0,0.0
30,0.1,1,B,fatigue,0.7,1.0,1.0,0.0
30,0.1,1,B,fatigue,0.9,1.0,1.0,0.0
30,0.1,1,B,fatigue,1.0,1.0,1.0,0.0
30,0.1,1,B,longstring,0.1,0.0,0.0,0.0
30,0.1,1,B,longstring,0.2,0.0,0.0,0.0
30,0.1,1,B,longstring,0.3,0.0,0.0,0.0
30,0.1,1,B,longstring,0.4,0.0,0.0,0.0
30,0.1,1,B,longstring,0.5,1.0,0.0,1.0
30,0.1,1,B,longstring,0.6,1.0,0.0,1.0
30,0.1,1,B,longstring,0.7,1.0,1.0,0.0
30,0.1,1,B,longstring,0.9,1.0,1.0,0.0
30,0.1,1,B,longstring,1.0,1.0,1.0,0.0
30,0.1,1,B,mixed,0.1,0.0,0.0,0.0
30,0.1,1,B,mixed,0.2,0.0,0.0,0.0
30,0.1,1,B,mixed,0.3,0.0,1.0,-1.0
30,0.1,1,B,mixed,0.5,0.0,0.0,0.0
30,0.1,1,B,mixed,0.6,0.0,0.0,0.0
30,0.1,1,B,mixed,0.7,0.0,0.0,0.0
30,0.1,1,B,mixed,0.9,1.0,1.0,0.0
30,0.1,1,B,mixed,1.0,0.0,0.0,0.0
30,0.1,1,B,pure_straight,0.1,0.0,0.0,0.0
30,0.1,1,B,pure_straight,0.2,0.0,0.0,0.0
30,0.1,1,B,pure_straight,0.3,1.0,1.0,0.0
30,0.1,1,B,pure_straight,0.4,0.0,0.0,0.0
30,0.1,1,B,pure_straight,0.5,0.0,0.0,0.0
30,0.1,1,B,pure_straight,0.7,1.0,1.0,0.0
30,0.1,1,B,pure_straight,0.8,1.0,1.0,0.0
30,0.1,1,B,pure_straight,0.9,1.0,1.0,0.0
30,0.1,1,B,random,0.1,0.0,0.0,0.0
