size,rate,condition,rep,mcc_full,mcc_norr,delta
30,0.2,clean,1,0.3371212121212121,0.3371212121212121,0.0
30,0.2,clean,2,0.40025252525252525,0.40025252525252525,0.0
30,0.2,clean,3,0.40025252525252525,0.3686868686868687,0.031565656565656575
30,0.2,clean,4,0.40025252525252525,0.40025252525252525,0.0
30,0.2,realistic,1,0.2631889183613322,0.2631889183613322,0.0
30,0.2,realistic,2,0.3076923076923077,0.25,0.05769230769230771
30,0.2,realistic,3,0.2804892672982372,0.24451373066314905,0.03597553663508815
30,0.2,realistic,4,0.3834138320830336,0.32175521529133694,0.06165861679169665
30,0.4,clean,1,0.3603801169590643,0.34210526315789475,0.018274853801169555
30,0.4,clean,2,0.4517543859649123,0.4517543859649123,0.0
30,0.4,clean,3,0.3969298245614035,0.3603801169590643,0.03654970760233922
30,0.4,clean,4,0.48830409356725146,0.3969298245614035,0.09137426900584794
30,0.4,realistic,1,0.2507309941520468,0.12280701754385964,0.12792397660818716
30,0.4,realistic,2,0.3055555555555556,0.2324561403508772,0.07309941520467839
30,0.4,realistic,3,0.2,0.16444444444444445,0.03555555555555556
30,0.4,realistic,4,0.34210526315789475,0.28728070175438597,0.054824561403508776
60,0.2,clean,1,0.5265151515151515,0.494949494949495,0.03156565656565652
60,0.2,clean,2,0.5580808080808081,0.5580808080808081,0.0
60,0.2,clean,3,0.494949494949495,0.4633838383838384,0.031565656565656575
60,0.2,clean,4,0.40025252525252525,0.3686868686868687,0.031565656565656575
60,0.2,realistic,1,0.4349750447311423,0.4349750447311423,0.0
60,0.2,realistic,2,0.42117807286346615,0.31903302689819546,0.10214504596527069
60,0.2,realistic,3,0.3055555555555556,0.21085858585858586,0.09469696969696972
60,0.2,realistic,4,0.2884097035040431,0.2560646900269542,0.0323450134770889
60,0.4,clean,1,0.48830409356725146,0.4152046783625731,0.07309941520467839
60,0.4,clean,2,0.3786549707602339,0.3969298245614035,-0.01827485380116961
60,0.4,clean,3,0.4517543859649123,0.506578947368421,-0.05482456140350872
60,0.4,clean,4,0.5614035087719298,0.5431286549707602,0.018274853801169555
60,0.4,realistic,1,0.3844668396596464,0.402570756140245,-0.018103916480598614
60,0.4,realistic,2,0.4152046783625731,0.4334795321637427,-0.01827485380116961
60,0.4,realistic,3,0.3482590066984491,0.33015509021785044,0.01810391648059867
60,0.4,realistic,4,0.34210526315789475,0.32383040935672514,0.01827485380116961
120,0.2,clean,1,0.6212121212121212,0.494949494949495,0.12626262626262624
120,0.2,clean,2,0.6843434343434344,0.6527777777777778,0.031565656565656575
120,0.2,clean,3,0.6527777777777778,0.494949494949495,0.15782828282828282
120,0.2,clean,4,0.4633838383838384,0.4633838383838384,0.0
120,0.2,realistic,1,0.5375603740622752,0.3834138320830336,0.1541465419792416
120,0.2,realistic,2,0.47590175727057854,0.5067310656664269,-0.030829308395848354
120,0.2,realistic,3,0.4633838383838384,0.4633838383838384,0.0
120,0.2,realistic,4,0.6254681647940075,0.5914198161389173,0.03404834865509021
120,0.4,clean,1,0.7624269005847953,0.5796783625730995,0.18274853801169588
120,0.4,clean,2,0.689327485380117,0.5796783625730995,0.10964912280701755
120,0.4,clean,3,0.6345029239766082,0.5248538011695907,0.10964912280701755
120,0.4,clean,4,0.597953216374269,0.47002923976608185,0.12792397660818716
120,0.4,realistic,1,0.5248538011695907,0.4517543859649123,0.07309941520467839
120,0.4,realistic,2,0.5377777777777778,0.4311111111111111,0.10666666666666669
120,0.4,realistic,3,0.5431286549707602,0.44527123261428,0.09785742235648026
120,0.4,realistic,4,0.6591724467830663,0.5515426931356134,0.10762975364745286
200,0.2,clean,1,0.7790404040404041,0.4633838383838384,0.3156565656565657
200,0.2,clean,2,0.7790404040404041,0.6212121212121212,0.15782828282828287
200,0.2,clean,3,0.5896464646464646,0.494949494949495,0.09469696969696967
200,0.2,clean,4,0.6843434343434344,0.6212121212121212,0.06313131313131315
200,0.2,realistic,1,0.8192044997991161,0.5480112494977902,0.2711932503013259
200,0.2,realistic,2,0.6986741663318602,0.5480112494977902,0.15066291683406996
200,0.2,realistic,3,0.7288067496986742,0.45761349939734836,0.27119325030132585
200,0.2,realistic,4,0.5802238805970149,0.40531716417910446,0.17490671641791045
200,0.4,clean,1,0.5614035087719298,0.48830409356725146,0.07309941520467833
200,0.4,clean,2,0.7076023391812866,0.5614035087719298,0.14619883040935677
200,0.4,clean,3,0.7989766081871345,0.506578947368421,0.29239766081871343
200,0.4,clean,4,0.6162280701754386,0.5796783625730995,0.03654970760233911
200,0.4,realistic,1,0.6591724467830663,0.4797895240373116,0.17938292274575468
200,0.4,realistic,2,0.6922334198298232,0.4930903385432382,0.19914308128658503
200,0.4,realistic,3,0.6922334198298232,0.4568825055820409,0.23535091424778232
200,0.4,realistic,4,0.5874192776847644,0.533604400861038,0.05381487682372643
