"size","rate","condition","rep","separation_ratio","first_eig_ratio","n_top_k_items","level"
30,0.2,"clean",1,2.62177516405523,3.47109663813803,14,"marginal"
30,0.2,"clean",2,2.85180729487662,4.26492936976599,13,"marginal"
30,0.2,"clean",3,3.6481684039136,3.06112979616142,12,"ok"
30,0.2,"clean",4,3.01461371905083,3.96533263803227,13,"ok"
30,0.2,"realistic",1,2.71199373323877,4.82400252117092,17,"marginal"
30,0.2,"realistic",2,2.47047961727319,4.76293661706823,15,"marginal"
30,0.2,"realistic",3,2.78509701571792,3.57403189299568,14,"marginal"
30,0.2,"realistic",4,2.43584711873519,3.86987662621837,15,"marginal"
30,0.4,"clean",1,2.65568477450475,3.58112069722185,16,"marginal"
30,0.4,"clean",2,2.75486023618028,3.83724428969571,13,"marginal"
30,0.4,"clean",3,2.82140706137233,3.82198781886526,16,"marginal"
30,0.4,"clean",4,2.72936168432252,3.23946518866164,14,"marginal"
30,0.4,"realistic",1,2.72926145632315,3.49177725577323,13,"marginal"
30,0.4,"realistic",2,2.23734629509566,3.90269818265288,16,"marginal"
30,0.4,"realistic",3,2.26310932123165,4.54862578733568,16,"marginal"
30,0.4,"realistic",4,2.43025591217596,4.5636049815574,16,"marginal"
60,0.2,"clean",1,3.36643474629722,6.65697886885369,43,"ok"
60,0.2,"clean",2,3.36777011060856,5.94637224010816,39,"ok"
60,0.2,"clean",3,3.84408195507926,5.49089377535341,37,"ok"
60,0.2,"clean",4,3.22475066863375,5.59638391091838,34,"ok"
60,0.2,"realistic",1,2.59092003705562,9.38579164936767,39,"marginal"
60,0.2,"realistic",2,2.8736515384463,7.71031536936896,39,"marginal"
60,0.2,"realistic",3,2.95607696503813,6.50912089779508,31,"marginal"
60,0.2,"realistic",4,2.93777650559218,6.97305958014921,35,"marginal"
60,0.4,"clean",1,2.92952847114482,6.53134701388885,41,"marginal"
60,0.4,"clean",2,2.54978714400737,7.49473378855199,42,"marginal"
60,0.4,"clean",3,2.60211846293612,7.11129957469965,36,"marginal"
60,0.4,"clean",4,2.99731581578098,6.35291965512667,37,"marginal"
60,0.4,"realistic",1,2.56449200310518,6.95980796987605,36,"marginal"
60,0.4,"realistic",2,2.82204812465057,6.01018348997882,35,"marginal"
60,0.4,"realistic",3,2.44407934236012,8.07492183231419,43,"marginal"
60,0.4,"realistic",4,2.55262514513946,7.20959692117857,36,"marginal"
120,0.2,"clean",1,3.5381048058384,11.4761155612187,90,"ok"
120,0.2,"clean",2,3.5198120683302,12.0589049267431,89,"ok"
120,0.2,"clean",3,3.86592322223011,11.3404580295776,93,"ok"
120,0.2,"clean",4,3.52194690753594,10.8969860105351,86,"ok"
120,0.2,"realistic",1,2.77728442637709,15.0123517697138,84,"marginal"
120,0.2,"realistic",2,2.67810139016866,16.3201413757061,87,"marginal"
120,0.2,"realistic",3,2.62839178770325,15.2622058743638,78,"marginal"
120,0.2,"realistic",4,2.88053147264578,14.8005833775148,85,"marginal"
120,0.4,"clean",1,3.25882401946261,13.187332590457,101,"ok"
120,0.4,"clean",2,2.81458823295866,13.2927328498531,89,"marginal"
120,0.4,"clean",3,3.05728628432776,12.8334322931321,93,"ok"
120,0.4,"clean",4,3.09890710122043,12.7686666083791,92,"ok"
120,0.4,"realistic",1,2.3062215293839,17.027842588448,87,"marginal"
120,0.4,"realistic",2,2.53321055583074,15.8281605843287,88,"marginal"
120,0.4,"realistic",3,2.61768432436888,14.4675990701929,89,"marginal"
120,0.4,"realistic",4,2.53259255097532,17.1655687120547,89,"marginal"
200,0.2,"clean",1,3.32016573118029,19.2939131907639,168,"ok"
200,0.2,"clean",2,3.36213944332252,18.1883684218709,178,"ok"
200,0.2,"clean",3,3.62997410879228,14.2987465301936,180,"ok"
200,0.2,"clean",4,3.51187415456496,17.4121146466985,184,"ok"
200,0.2,"realistic",1,2.46695125526396,29.6038569363287,172,"marginal"
200,0.2,"realistic",2,2.86634790837153,24.6332562400516,167,"marginal"
200,0.2,"realistic",3,2.84687013275932,24.6304408007211,170,"marginal"
200,0.2,"realistic",4,2.75413310433452,25.9216820456032,156,"marginal"
200,0.4,"clean",1,2.67939651030897,21.5474785327048,179,"marginal"
200,0.4,"clean",2,2.95759365880057,20.6590009475919,189,"marginal"
200,0.4,"clean",3,2.66214169249526,23.5014038373095,179,"marginal"
200,0.4,"clean",4,2.81005401106193,22.3513461872662,172,"marginal"
200,0.4,"realistic",1,2.53893681173781,26.2999337810687,177,"marginal"
200,0.4,"realistic",2,2.34458482981746,29.0379014122631,159,"marginal"
200,0.4,"realistic",3,2.36677070547064,29.3430836426029,177,"marginal"
200,0.4,"realistic",4,2.47825921862257,25.3323371247525,174,"marginal"
