size,rate,condition,rep,pattern,n,detection,detection_norr,mean_corruption
30,0.2,clean,1,acquiescent,10,0.5,0.5,0.55
30,0.2,clean,1,fatigue,10,0.4,0.4,0.55
30,0.2,clean,1,longstring,10,0.6,0.4,0.55
30,0.2,clean,1,mixed,10,0.1,0.1,0.55
30,0.2,clean,1,pure_straight,10,0.5,0.5,0.55
30,0.2,clean,1,random,10,0.2,0.2,0.5499999999999999
30,0.2,clean,2,acquiescent,10,0.5,0.5,0.55
30,0.2,clean,2,fatigue,10,0.2,0.2,0.55
30,0.2,clean,2,longstring,10,0.4,0.5,0.55
30,0.2,clean,2,mixed,10,0.3,0.0,0.55
30,0.2,clean,2,pure_straight,10,0.3,0.4,0.55
30,0.2,clean,2,random,10,0.3,0.3,0.55
30,0.2,clean,3,acquiescent,10,0.4,0.4,0.55
30,0.2,clean,3,fatigue,10,0.3,0.3,0.55
30,0.2,clean,3,longstring,10,0.3,0.4,0.55
30,0.2,clean,3,mixed,10,0.1,0.0,0.55
30,0.2,clean,3,pure_straight,10,0.6,0.6,0.55
30,0.2,clean,3,random,10,0.3,0.3,0.55
30,0.2,clean,4,acquiescent,10,0.4,0.4,0.55
30,0.2,clean,4,fatigue,10,0.2,0.3,0.55
30,0.2,clean,4,longstring,10,0.5,0.5,0.5499999999999999
30,0.2,clean,4,mixed,10,0.1,0.0,0.55
30,0.2,clean,4,pure_straight,10,0.4,0.5,0.55
30,0.2,clean,4,random,10,0.3,0.2,0.55
30,0.2,realistic,1,acquiescent,7,0.2857142857142857,0.0,0.5285714285714286
30,0.2,realistic,1,anchor_noise,6,0.3333333333333333,0.3333333333333333,0.5166666666666667
30,0.2,realistic,1,fatigue,7,0.42857142857142855,0.42857142857142855,0.45714285714285713
30,0.2,realistic,1,language_barrier,6,0.0,0.0,0.6833333333333332
30,0.2,realistic,1,longstring,7,0.14285714285714285,0.0,0.5285714285714286
30,0.2,realistic,1,mixed,7,0.14285714285714285,0.14285714285714285,0.5571428571428572
30,0.2,realistic,1,positional_fatigue,6,0.16666666666666666,0.6666666666666666,0.5888888888888888
30,0.2,realistic,1,pure_straight,7,0.42857142857142855,0.42857142857142855,0.5857142857142856
30,0.2,realistic,1,random,7,0.7142857142857143,0.42857142857142855,0.6571428571428571
30,0.2,realistic,2,acquiescent,7,0.2857142857142857,0.2857142857142857,0.5142857142857142
30,0.2,realistic,2,anchor_noise,6,0.3333333333333333,0.3333333333333333,0.5833333333333333
30,0.2,realistic,2,fatigue,7,0.14285714285714285,0.14285714285714285,0.5142857142857143
30,0.2,realistic,2,language_barrier,6,0.3333333333333333,0.16666666666666666,0.7055555555555556
30,0.2,realistic,2,longstring,7,0.2857142857142857,0.2857142857142857,0.6142857142857144
30,0.2,realistic,2,mixed,7,0.14285714285714285,0.14285714285714285,0.6571428571428571
30,0.2,realistic,2,positional_fatigue,6,0.3333333333333333,0.3333333333333333,0.42777777777777776
30,0.2,realistic,2,pure_straight,7,0.7142857142857143,0.5714285714285714,0.6857142857142857
30,0.2,realistic,2,random,7,0.2857142857142857,0.2857142857142857,0.5428571428571428
30,0.2,realistic,3,acquiescent,7,0.42857142857142855,0.42857142857142855,0.5714285714285714
30,0.2,realistic,3,anchor_noise,6,0.3333333333333333,0.5,0.55
30,0.2,realistic,3,fatigue,7,0.0,0.0,0.5000000000000001
30,0.2,realistic,3,language_barrier,6,0.3333333333333333,0.16666666666666666,0.4500000000000002
30,0.2,realistic,3,longstring,7,0.14285714285714285,0.2857142857142857,0.4857142857142857
30,0.2,realistic,3,mixed,7,0.14285714285714285,0.14285714285714285,0.41428571428571426
30,0.2,realistic,3,positional_fatigue,6,0.3333333333333333,0.16666666666666666,0.511111111111111
30,0.2,realistic,3,pure_straight,7,0.42857142857142855,0.42857142857142855,0.5285714285714286
30,0.2,realistic,3,random,7,0.0,0.2857142857142857,0.5857142857142856
30,0.2,realistic,4,acquiescent,7,0.42857142857142855,0.42857142857142855,0.48571428571428577
30,0.2,realistic,4,anchor_noise,6,0.6666666666666666,0.6666666666666666,0.6333333333333333
30,0.2,realistic,4,fatigue,7,0.14285714285714285,0.2857142857142857,0.4714285714285715
30,0.2,realistic,4,language_barrier,6,0.3333333333333333,0.16666666666666666,0.5166666666666667
30,0.2,realistic,4,longstring,7,0.0,0.0,0.5714285714285714
30,0.2,realistic,4,mixed,7,0.2857142857142857,0.0,0.5714285714285714
30,0.2,realistic,4,positional_fatigue,6,0.16666666666666666,0.16666666666666666,0.46666666666666673
30,0.2,realistic,4,pure_straight,7,0.42857142857142855,0.5714285714285714,0.6428571428571429
30,0.2,realistic,4,random,7,0.14285714285714285,0.0,0.5285714285714287
30,0.4,clean,1,acquiescent,20,0.55,0.65,0.55
30,0.4,clean,1,fatigue,20,0.45,0.55,0.55
30,0.4,clean,1,longstring,20,0.4,0.45,0.55
30,0.4,clean,1,mixed,20,0.25,0.2,0.5499999999999999
30,0.4,clean,1,pure_straight,20,0.8,0.75,0.5499999999999999
30,0.4,clean,1,random,20,0.15,0.1,0.55
30,0.4,clean,2,acquiescent,20,0.55,0.6,0.55
30,0.4,clean,2,fatigue,20,0.4,0.4,0.55
30,0.4,clean,2,longstring,20,0.4,0.35,0.55
30,0.4,clean,2,mixed,20,0.35,0.35,0.55
30,0.4,clean,2,pure_straight,20,0.65,0.7,0.55
30,0.4,clean,2,random,20,0.35,0.4,0.55
30,0.4,clean,3,acquiescent,20,0.65,0.65,0.5499999999999999
30,0.4,clean,3,fatigue,20,0.35,0.3,0.55
30,0.4,clean,3,longstring,20,0.25,0.3,0.55
30,0.4,clean,3,mixed,20,0.3,0.4,0.55
30,0.4,clean,3,pure_straight,20,0.65,0.6,0.55
30,0.4,clean,3,random,20,0.3,0.2,0.55
30,0.4,clean,4,acquiescent,20,0.45,0.45,0.55
30,0.4,clean,4,fatigue,20,0.3,0.35,0.55
30,0.4,clean,4,longstring,20,0.5,0.35,0.55
30,0.4,clean,4,mixed,20,0.3,0.25,0.5499999999999999
30,0.4,clean,4,pure_straight,20,0.7,0.65,0.5499999999999999
30,0.4,clean,4,random,20,0.25,0.3,0.5499999999999999
30,0.4,realistic,1,acquiescent,13,0.23076923076923078,0.38461538461538464,0.5538461538461539
30,0.4,realistic,1,anchor_noise,13,0.38461538461538464,0.23076923076923078,0.5230769230769232
30,0.4,realistic,1,fatigue,13,0.5384615384615384,0.6153846153846154,0.6230769230769231
30,0.4,realistic,1,language_barrier,13,0.23076923076923078,0.3076923076923077,0.5205128205128204
30,0.4,realistic,1,longstring,14,0.2857142857142857,0.14285714285714285,0.5285714285714286
30,0.4,realistic,1,mixed,13,0.46153846153846156,0.23076923076923078,0.5461538461538461
30,0.4,realistic,1,positional_fatigue,13,0.15384615384615385,0.23076923076923078,0.4666666666666668
30,0.4,realistic,1,pure_straight,14,0.6428571428571429,0.5,0.5357142857142857
30,0.4,realistic,1,random,14,0.2857142857142857,0.21428571428571427,0.6214285714285716
30,0.4,realistic,2,acquiescent,13,0.38461538461538464,0.38461538461538464,0.6
30,0.4,realistic,2,anchor_noise,13,0.38461538461538464,0.46153846153846156,0.5384615384615384
30,0.4,realistic,2,fatigue,13,0.23076923076923078,0.3076923076923077,0.5230769230769231
30,0.4,realistic,2,language_barrier,13,0.3076923076923077,0.3076923076923077,0.5512820512820513
30,0.4,realistic,2,longstring,14,0.35714285714285715,0.35714285714285715,0.6071428571428571
30,0.4,realistic,2,mixed,13,0.3076923076923077,0.23076923076923078,0.49999999999999994
30,0.4,realistic,2,positional_fatigue,13,0.15384615384615385,0.0,0.5487179487179487
30,0.4,realistic,2,pure_straight,14,0.5714285714285714,0.6428571428571429,0.5571428571428572
30,0.4,realistic,2,random,14,0.5714285714285714,0.21428571428571427,0.5642857142857143
30,0.4,realistic,3,acquiescent,13,0.46153846153846156,0.46153846153846156,0.5615384615384615
30,0.4,realistic,3,anchor_noise,13,0.46153846153846156,0.46153846153846156,0.6
30,0.4,realistic,3,fatigue,13,0.3076923076923077,0.38461538461538464,0.5384615384615385
30,0.4,realistic,3,language_barrier,13,0.23076923076923078,0.07692307692307693,0.6205128205128205
30,0.4,realistic,3,longstring,14,0.2857142857142857,0.21428571428571427,0.5642857142857143
30,0.4,realistic,3,mixed,13,0.07692307692307693,0.23076923076923078,0.5307692307692308
30,0.4,realistic,3,positional_fatigue,13,0.23076923076923078,0.23076923076923078,0.4641025641025642
30,0.4,realistic,3,pure_straight,14,0.6428571428571429,0.6428571428571429,0.5785714285714285
30,0.4,realistic,3,random,14,0.35714285714285715,0.2857142857142857,0.5357142857142857
30,0.4,realistic,4,acquiescent,13,0.46153846153846156,0.5384615384615384,0.5230769230769231
30,0.4,realistic,4,anchor_noise,13,0.46153846153846156,0.3076923076923077,0.5923076923076923
30,0.4,realistic,4,fatigue,13,0.23076923076923078,0.3076923076923077,0.5307692307692308
30,0.4,realistic,4,language_barrier,13,0.23076923076923078,0.3076923076923077,0.47435897435897434
30,0.4,realistic,4,longstring,14,0.6428571428571429,0.5714285714285714,0.55
30,0.4,realistic,4,mixed,13,0.3076923076923077,0.23076923076923078,0.5461538461538461
30,0.4,realistic,4,positional_fatigue,13,0.15384615384615385,0.23076923076923078,0.4589743589743589
30,0.4,realistic,4,pure_straight,14,0.5714285714285714,0.5714285714285714,0.5285714285714286
30,0.4,realistic,4,random,14,0.2857142857142857,0.2857142857142857,0.6
60,0.2,clean,1,acquiescent,10,0.7,0.6,0.55
60,0.2,clean,1,fatigue,10,0.5,0.5,0.55
60,0.2,clean,1,longstring,10,0.5,0.4,0.55
60,0.2,clean,1,mixed,10,0.2,0.1,0.55
60,0.2,clean,1,pure_straight,10,0.5,0.5,0.55
60,0.2,clean,1,random,10,0.1,0.2,0.55
60,0.2,clean,2,acquiescent,10,0.5,0.6,0.55
60,0.2,clean,2,fatigue,10,0.3,0.3,0.55
60,0.2,clean,2,longstring,10,0.6,0.6,0.55
60,0.2,clean,2,mixed,10,0.1,0.2,0.55
60,0.2,clean,2,pure_straight,10,0.8,0.8,0.55
60,0.2,clean,2,random,10,0.3,0.1,0.55
60,0.2,clean,3,acquiescent,10,0.5,0.5,0.55
60,0.2,clean,3,fatigue,10,0.5,0.5,0.55
60,0.2,clean,3,longstring,10,0.5,0.5,0.55
60,0.2,clean,3,mixed,10,0.2,0.2,0.55
60,0.2,clean,3,pure_straight,10,0.5,0.6,0.55
60,0.2,clean,3,random,10,0.1,0.0,0.55
60,0.2,clean,4,acquiescent,10,0.4,0.4,0.55
60,0.2,clean,4,fatigue,10,0.3,0.4,0.55
60,0.2,clean,4,longstring,10,0.3,0.3,0.55
60,0.2,clean,4,mixed,10,0.2,0.1,0.55
60,0.2,clean,4,pure_straight,10,0.6,0.6,0.55
60,0.2,clean,4,random,10,0.1,0.1,0.55
60,0.2,realistic,1,acquiescent,7,0.42857142857142855,0.42857142857142855,0.6
60,0.2,realistic,1,anchor_noise,6,0.16666666666666666,0.3333333333333333,0.5000000000000001
60,0.2,realistic,1,fatigue,7,0.5714285714285714,0.5714285714285714,0.4857142857142857
60,0.2,realistic,1,language_barrier,6,0.5,0.5,0.6833333333333336
60,0.2,realistic,1,longstring,7,0.2857142857142857,0.2857142857142857,0.5571428571428572
60,0.2,realistic,1,mixed,7,0.2857142857142857,0.2857142857142857,0.6285714285714287
60,0.2,realistic,1,positional_fatigue,6,0.3333333333333333,0.3333333333333333,0.5527777777777777
60,0.2,realistic,1,pure_straight,7,0.2857142857142857,0.5714285714285714,0.4714285714285714
60,0.2,realistic,1,random,7,0.42857142857142855,0.2857142857142857,0.6714285714285714
60,0.2,realistic,2,acquiescent,7,0.5714285714285714,0.2857142857142857,0.4857142857142857
60,0.2,realistic,2,anchor_noise,6,0.5,0.5,0.6
60,0.2,realistic,2,fatigue,7,0.2857142857142857,0.42857142857142855,0.4714285714285715
60,0.2,realistic,2,language_barrier,6,0.5,0.5,0.5777777777777778
60,0.2,realistic,2,longstring,7,0.14285714285714285,0.14285714285714285,0.4857142857142857
60,0.2,realistic,2,mixed,7,0.0,0.14285714285714285,0.41428571428571426
60,0.2,realistic,2,positional_fatigue,6,0.3333333333333333,0.3333333333333333,0.4583333333333334
60,0.2,realistic,2,pure_straight,7,0.2857142857142857,0.2857142857142857,0.4857142857142857
60,0.2,realistic,2,random,7,0.5714285714285714,0.42857142857142855,0.4428571428571429
60,0.2,realistic,3,acquiescent,7,0.14285714285714285,0.14285714285714285,0.49999999999999994
60,0.2,realistic,3,anchor_noise,6,0.5,0.6666666666666666,0.5
60,0.2,realistic,3,fatigue,7,0.0,0.14285714285714285,0.6285714285714284
60,0.2,realistic,3,language_barrier,6,0.0,0.0,0.6305555555555554
60,0.2,realistic,3,longstring,7,0.14285714285714285,0.2857142857142857,0.5285714285714287
60,0.2,realistic,3,mixed,7,0.2857142857142857,0.14285714285714285,0.5428571428571428
60,0.2,realistic,3,positional_fatigue,6,0.3333333333333333,0.0,0.5666666666666669
60,0.2,realistic,3,pure_straight,7,0.42857142857142855,0.42857142857142855,0.5142857142857142
60,0.2,realistic,3,random,7,0.2857142857142857,0.0,0.4714285714285714
60,0.2,realistic,4,acquiescent,7,0.2857142857142857,0.42857142857142855,0.5
60,0.2,realistic,4,anchor_noise,6,0.3333333333333333,0.3333333333333333,0.5833333333333334
60,0.2,realistic,4,fatigue,7,0.42857142857142855,0.42857142857142855,0.6571428571428571
60,0.2,realistic,4,language_barrier,6,0.16666666666666666,0.16666666666666666,0.44722222222222213
60,0.2,realistic,4,longstring,7,0.2857142857142857,0.2857142857142857,0.5714285714285714
60,0.2,realistic,4,mixed,7,0.14285714285714285,0.0,0.5285714285714286
60,0.2,realistic,4,positional_fatigue,6,0.6666666666666666,0.3333333333333333,0.5111111111111112
60,0.2,realistic,4,pure_straight,7,0.2857142857142857,0.14285714285714285,0.4428571428571428
60,0.2,realistic,4,random,7,0.14285714285714285,0.0,0.5714285714285714
60,0.4,clean,1,acquiescent,20,0.55,0.55,0.5499999999999999
60,0.4,clean,1,fatigue,20,0.45,0.35,0.55
60,0.4,clean,1,longstring,20,0.5,0.45,0.5499999999999999
60,0.4,clean,1,mixed,20,0.3,0.35,0.55
60,0.4,clean,1,pure_straight,20,0.7,0.65,0.55
60,0.4,clean,1,random,20,0.35,0.3,0.5500000000000002
60,0.4,clean,2,acquiescent,20,0.8,0.7,0.55
60,0.4,clean,2,fatigue,20,0.5,0.5,0.55
60,0.4,clean,2,longstring,20,0.3,0.35,0.55
