"nF","ipf","total_items","rep","z_threshold","n_true_careless","n_noise","n_clean","mcc_std","mcc_f","sens_std","spec_std","sens_f","spec_f","noise_flagged_std","noise_flagged_f","mode_std","mode_f","n_pairs_std","n_pairs_f"
4,3,12,1,0.1,22,23,255,0.165846420822307,0.152977671619547,0.590909090909091,0.705035971223022,0.636363636363636,0.647482014388489,0.391304347826087,0.608695652173913,"weighted","efa_d",66,21
4,3,12,1,0.3,22,23,255,0.103474038494309,0.115549236726063,0.590909090909091,0.60431654676259,0.681818181818182,0.539568345323741,0.478260869565217,0.695652173913043,"weighted","efa_d",66,21
4,3,12,1,0.5,22,23,255,0.0729772299715763,0.0837275393776081,0.636363636363636,0.503597122302158,0.681818181818182,0.47841726618705,0.521739130434783,0.695652173913043,"weighted","efa_d",66,21
4,3,12,1,0.7,22,23,255,0.137820897703325,0.0395609571332485,0.863636363636364,0.392086330935252,0.681818181818182,0.392086330935252,0.739130434782609,0.695652173913043,"weighted","efa_d",66,21
4,3,12,1,0.9,22,23,255,0.0987223985415831,0.0455747696759563,0.863636363636364,0.309352517985612,0.727272727272727,0.356115107913669,0.869565217391304,0.695652173913043,"weighted","efa_d",66,21
4,3,12,1,1.1,22,23,255,0.0528547454310001,0.0559199769267644,0.863636363636364,0.219424460431655,0.772727272727273,0.327338129496403,0.91304347826087,0.739130434782609,"weighted","efa_d",66,21
4,3,12,1,1.3,22,23,255,0.0351081239782335,0.0682635220076349,0.909090909090909,0.136690647482014,0.863636363636364,0.248201438848921,0.91304347826087,0.869565217391304,"weighted","efa_d",66,21
4,3,12,1,1.5,22,23,255,-0.0113119791552492,0.0384617427714361,0.909090909090909,0.079136690647482,0.863636363636364,0.194244604316547,1,0.869565217391304,"weighted","efa_d",66,21
4,3,12,1,1.7,22,23,255,-0.0902299796246607,0.0860702633911288,0.909090909090909,0.0287769784172662,0.954545454545455,0.165467625899281,1,0.869565217391304,"weighted","efa_d",66,21
4,3,12,1,1.9,22,23,255,0.0327019072605787,0.0686892235710211,1,0.0143884892086331,0.954545454545455,0.133093525179856,1,0.869565217391304,"weighted","efa_d",66,21
4,3,12,1,2.1,22,23,255,0.0230460133033402,0.0534900048931362,1,0.00719424460431655,0.954545454545455,0.107913669064748,1,0.869565217391304,"weighted","efa_d",66,21
