"nF","ipf","total_items","rep","method","z_threshold","mcc","sens","spec","noise_flagged","oracle_mcc"
4,3,12,1,"std",0.1,0.135962296841545,0.545454545454545,0.697841726618705,0.347826086956522,0.137504584825872
4,3,12,1,"std",0.3,0.0934170902007227,0.590909090909091,0.586330935251799,0.478260869565217,0.137504584825872
4,3,12,1,"std",0.5,0.0966885246344339,0.681818181818182,0.503597122302158,0.608695652173913,0.137504584825872
4,3,12,1,"std",0.7,0.136131378986265,0.863636363636364,0.388489208633094,0.739130434782609,0.137504584825872
4,3,12,1,"std",0.9,0.0987223985415831,0.863636363636364,0.309352517985612,0.826086956521739,0.137504584825872
4,3,12,1,"std",1.1,0.0606755990162353,0.863636363636364,0.233812949640288,0.91304347826087,0.137504584825872
4,3,12,1,"std",1.3,0.0443371485969076,0.909090909090909,0.151079136690647,0.956521739130435,0.137504584825872
4,3,12,1,"std",1.5,0.00234435176175077,0.909090909090909,0.0935251798561151,0.956521739130435,0.137504584825872
4,3,12,1,"std",1.7,-0.0590068021246365,0.909090909090909,0.0431654676258993,1,0.137504584825872
4,3,12,1,"std",1.9,-0.0189957851841391,0.954545454545455,0.0323741007194245,1,0.137504584825872
4,3,12,1,"std",2.1,-0.078781867491394,0.954545454545455,0.0107913669064748,1,0.137504584825872
4,3,12,1,"std",2.3,0.0230460133033402,1,0.00719424460431655,1,0.137504584825872
4,3,12,1,"std",2.5,0,1,0,1,0.137504584825872
4,3,12,1,"std",2.7,0,1,0,1,0.137504584825872
4,3,12,1,"std",2.9,0,1,0,1,0.137504584825872
4,3,12,1,"std_cf",0.1,0.110869706737565,0.5,0.697841726618705,0.391304347826087,0.153693171035307
4,3,12,1,"std_cf",0.3,0.150770735765591,0.636363636363636,0.643884892086331,0.478260869565217,0.153693171035307
4,3,12,1,"std_cf",0.5,0.0899474856050742,0.636363636363636,0.535971223021583,0.608695652173913,0.153693171035307
4,3,12,1,"std_cf",0.7,0.081886334774792,0.681818181818182,0.474820143884892,0.652173913043478,0.153693171035307
4,3,12,1,"std_cf",0.9,0.0956313128973063,0.772727272727273,0.406474820143885,0.739130434782609,0.153693171035307
4,3,12,1,"std_cf",1.1,0.0741883633487963,0.772727272727273,0.363309352517986,0.739130434782609,0.153693171035307
