"nF","ipf","total_items","rep","alpha","beta","pattern","mcc_pattern_z15"
8,6,48,1,0,0.3,"clean",NA
8,6,48,1,0,0.3,"random",0.1386
8,6,48,1,0,0.3,"longstring",0.0873
8,6,48,1,0,0.3,"pure_straight",-0.2308
8,6,48,1,0,0.3,"acquiescent",0.125
8,6,48,1,0,0.3,"mixed",0.0885
8,6,48,1,0,0.5,"clean",NA
8,6,48,1,0,0.5,"random",0.1386
8,6,48,1,0,0.5,"longstring",0.0873
8,6,48,1,0,0.5,"pure_straight",-0.2308
8,6,48,1,0,0.5,"acquiescent",0.125
8,6,48,1,0,0.5,"mixed",0.0885
8,6,48,1,0,0.8,"clean",NA
8,6,48,1,0,0.8,"random",0.1386
8,6,48,1,0,0.8,"longstring",0.0873
8,6,48,1,0,0.8,"pure_straight",-0.2308
8,6,48,1,0,0.8,"acquiescent",0.125
8,6,48,1,0,0.8,"mixed",0.0885
8,6,48,1,0,1,"clean",NA
8,6,48,1,0,1,"random",0.1386
8,6,48,1,0,1,"longstring",0.0873
8,6,48,1,0,1,"pure_straight",-0.2308
8,6,48,1,0,1,"acquiescent",0.125
8,6,48,1,0,1,"mixed",0.0885
8,6,48,1,0,1.5,"clean",NA
8,6,48,1,0,1.5,"random",0.1386
8,6,48,1,0,1.5,"longstring",0.0873
8,6,48,1,0,1.5,"pure_straight",-0.2308
8,6,48,1,0,1.5,"acquiescent",0.125
8,6,48,1,0,1.5,"mixed",0.0885
8,6,48,1,0.5,0.3,"clean",NA
8,6,48,1,0.5,0.3,"random",0.1386
8,6,48,1,0.5,0.3,"longstring",0.0873
8,6,48,1,0.5,0.3,"pure_straight",-0.1244
8,6,48,1,0.5,0.3,"acquiescent",0.125
8,6,48,1,0.5,0.3,"mixed",0.0885
8,6,48,1,0.5,0.5,"clean",NA
8,6,48,1,0.5,0.5,"random",0.1375
8,6,48,1,0.5,0.5,"longstring",0.0861
8,6,48,1,0.5,0.5,"pure_straight",-0.1263
8,6,48,1,0.5,0.5,"acquiescent",0.1592
8,6,48,1,0.5,0.5,"mixed",0.0873
8,6,48,1,0.5,0.8,"clean",NA
8,6,48,1,0.5,0.8,"random",0.1342
8,6,48,1,0.5,0.8,"longstring",0.0827
8,6,48,1,0.5,0.8,"pure_straight",-0.1318
8,6,48,1,0.5,0.8,"acquiescent",0.1544
8,6,48,1,0.5,0.8,"mixed",0.0838
8,6,48,1,0.5,1,"clean",NA
8,6,48,1,0.5,1,"random",0.1342
8,6,48,1,0.5,1,"longstring",0.0827
8,6,48,1,0.5,1,"pure_straight",-0.1318
8,6,48,1,0.5,1,"acquiescent",0.1544
8,6,48,1,0.5,1,"mixed",0.0838
8,6,48,1,0.5,1.5,"clean",NA
8,6,48,1,0.5,1.5,"random",0.1267
8,6,48,1,0.5,1.5,"longstring",0.1267
8,6,48,1,0.5,1.5,"pure_straight",-0.1452
8,6,48,1,0.5,1.5,"acquiescent",0.1433
8,6,48,1,0.5,1.5,"mixed",0.0758
8,6,48,1,1,0.3,"clean",NA
8,6,48,1,1,0.3,"random",0.1386
8,6,48,1,1,0.3,"longstring",0.0873
8,6,48,1,1,0.3,"pure_straight",-0.0178
8,6,48,1,1,0.3,"acquiescent",0.125
8,6,48,1,1,0.3,"mixed",0.0885
8,6,48,1,1,0.5,"clean",NA
8,6,48,1,1,0.5,"random",0.1353
8,6,48,1,1,0.5,"longstring",0.0838
8,6,48,1,1,0.5,"pure_straight",-0.0232
8,6,48,1,1,0.5,"acquiescent",0.156
8,6,48,1,1,0.5,"mixed",0.085
8,6,48,1,1,0.8,"clean",NA
8,6,48,1,1,0.8,"random",0.1309
8,6,48,1,1,0.8,"longstring",0.0792
8,6,48,1,1,0.8,"pure_straight",-0.0304
8,6,48,1,1,0.8,"acquiescent",0.1496
8,6,48,1,1,0.8,"mixed",0.0803
8,6,48,1,1,1,"clean",NA
8,6,48,1,1,1,"random",0.1235
8,6,48,1,1,1,"longstring",0.1235
8,6,48,1,1,1,"pure_straight",-0.0434
8,6,48,1,1,1,"acquiescent",0.1386
8,6,48,1,1,1,"mixed",0.0723
8,6,48,1,1,1.5,"clean",NA
8,6,48,1,1,1.5,"random",0.1134
8,6,48,1,1,1.5,"longstring",0.1134
8,6,48,1,1,1.5,"pure_straight",-0.0627
8,6,48,1,1,1.5,"acquiescent",0.1232
8,6,48,1,1,1.5,"mixed",0.0609
8,6,48,1,1.5,0.3,"clean",NA
8,6,48,1,1.5,0.3,"random",0.1386
8,6,48,1,1.5,0.3,"longstring",0.0873
8,6,48,1,1.5,0.3,"pure_straight",-0.0178
8,6,48,1,1.5,0.3,"acquiescent",0.1609
8,6,48,1,1.5,0.3,"mixed",0.0885
8,6,48,1,1.5,0.5,"clean",NA
8,6,48,1,1.5,0.5,"random",0.1353
8,6,48,1,1.5,0.5,"longstring",0.0838
8,6,48,1,1.5,0.5,"pure_straight",-0.0232
8,6,48,1,1.5,0.5,"acquiescent",0.156
8,6,48,1,1.5,0.5,"mixed",0.085
8,6,48,1,1.5,0.8,"clean",NA
8,6,48,1,1.5,0.8,"random",0.1288
8,6,48,1,1.5,0.8,"longstring",0.1288
8,6,48,1,1.5,0.8,"pure_straight",-0.0341
8,6,48,1,1.5,0.8,"acquiescent",0.1464
8,6,48,1,1.5,0.8,"mixed",0.078
8,6,48,1,1.5,1,"clean",NA
8,6,48,1,1.5,1,"random",0.1184
8,6,48,1,1.5,1,"longstring",0.1184
8,6,48,1,1.5,1,"pure_straight",-0.0529
8,6,48,1,1.5,1,"acquiescent",0.1309
8,6,48,1,1.5,1,"mixed",0.0666
8,6,48,1,1.5,1.5,"clean",NA
8,6,48,1,1.5,1.5,"random",0.1046
8,6,48,1,1.5,1.5,"longstring",0.1046
8,6,48,1,1.5,1.5,"pure_straight",-0.0812
8,6,48,1,1.5,1.5,"acquiescent",0.1094
8,6,48,1,1.5,1.5,"mixed",0.0506
8,6,48,1,2,0.3,"clean",NA
8,6,48,1,2,0.3,"random",0.1386
8,6,48,1,2,0.3,"longstring",0.0873
8,6,48,1,2,0.3,"pure_straight",0.1968
8,6,48,1,2,0.3,"acquiescent",0.1609
8,6,48,1,2,0.3,"mixed",0.0885
8,6,48,1,2,0.5,"clean",NA
8,6,48,1,2,0.5,"random",0.1342
8,6,48,1,2,0.5,"longstring",0.0827
8,6,48,1,2,0.5,"pure_straight",0.1905
8,6,48,1,2,0.5,"acquiescent",0.1544
8,6,48,1,2,0.5,"mixed",0.0838
8,6,48,1,2,0.8,"clean",NA
8,6,48,1,2,0.8,"random",0.1215
8,6,48,1,2,0.8,"longstring",0.1215
8,6,48,1,2,0.8,"pure_straight",0.1725
8,6,48,1,2,0.8,"acquiescent",0.1355
8,6,48,1,2,0.8,"mixed",0.0701
8,6,48,1,2,1,"clean",NA
8,6,48,1,2,1,"random",0.1124
8,6,48,1,2,1,"longstring",0.1124
8,6,48,1,2,1,"pure_straight",0.1595
8,6,48,1,2,1,"acquiescent",0.1216
8,6,48,1,2,1,"mixed",0.0598
8,6,48,1,2,1.5,"clean",NA
8,6,48,1,2,1.5,"random",0.094
8,6,48,1,2,1.5,"longstring",0.094
8,6,48,1,2,1.5,"pure_straight",0.1332
8,6,48,1,2,1.5,"acquiescent",0.0924
8,6,48,1,2,1.5,"mixed",0.0375
8,6,48,1,2.5,0.3,"clean",NA
8,6,48,1,2.5,0.3,"random",0.1386
8,6,48,1,2.5,0.3,"longstring",0.0873
8,6,48,1,2.5,0.3,"pure_straight",0.1968
8,6,48,1,2.5,0.3,"acquiescent",0.1609
8,6,48,1,2.5,0.3,"mixed",0.0885
8,6,48,1,2.5,0.5,"clean",NA
8,6,48,1,2.5,0.5,"random",0.1342
8,6,48,1,2.5,0.5,"longstring",0.0827
8,6,48,1,2.5,0.5,"pure_straight",0.1905
8,6,48,1,2.5,0.5,"acquiescent",0.1544
8,6,48,1,2.5,0.5,"mixed",0.0838
8,6,48,1,2.5,0.8,"clean",NA
8,6,48,1,2.5,0.8,"random",0.1174
8,6,48,1,2.5,0.8,"longstring",0.1174
8,6,48,1,2.5,0.8,"pure_straight",0.1667
8,6,48,1,2.5,0.8,"acquiescent",0.1293
8,6,48,1,2.5,0.8,"mixed",0.0655
8,6,48,1,2.5,1,"clean",NA
8,6,48,1,2.5,1,"random",0.1065
8,6,48,1,2.5,1,"longstring",0.1065
8,6,48,1,2.5,1,"pure_straight",0.1511
8,6,48,1,2.5,1,"acquiescent",0.1125
8,6,48,1,2.5,1,"mixed",0.0529
8,6,48,1,2.5,1.5,"clean",NA
8,6,48,1,2.5,1.5,"random",0.0892
8,6,48,1,2.5,1.5,"longstring",0.0892
8,6,48,1,2.5,1.5,"pure_straight",0.1264
8,6,48,1,2.5,1.5,"acquiescent",0.0845
8,6,48,1,2.5,1.5,"mixed",0.0892
8,6,48,1,3,0.3,"clean",NA
8,6,48,1,3,0.3,"random",0.1386
8,6,48,1,3,0.3,"longstring",0.0873
8,6,48,1,3,0.3,"pure_straight",0.1968
8,6,48,1,3,0.3,"acquiescent",0.1609
8,6,48,1,3,0.3,"mixed",0.0885
