"nF","ipf","total_items","rep","alpha","beta","mcc_z15","mcc_oracle"
8,6,48,1,0,0.3,0.0426,0.1076
8,6,48,1,0,0.5,0.0426,0.1076
8,6,48,1,0,0.8,0.0426,0.1076
8,6,48,1,0,1,0.0426,0.1076
8,6,48,1,0,1.5,0.0426,0.1076
8,6,48,1,0.5,0.3,0.0929,0.1269
8,6,48,1,0.5,0.5,0.1072,0.1269
8,6,48,1,0.5,0.8,0.0993,0.1353
8,6,48,1,0.5,1,0.0993,0.1408
8,6,48,1,0.5,1.5,0.0982,0.1416
8,6,48,1,1,0.3,0.1436,0.1668
8,6,48,1,1,0.5,0.153,0.1881
8,6,48,1,1,0.8,0.1428,0.1864
8,6,48,1,1,1,0.1425,0.1881
8,6,48,1,1,1.5,0.1172,0.1735
8,6,48,1,1.5,0.3,0.1606,0.2201
8,6,48,1,1.5,0.5,0.153,0.2376
8,6,48,1,1.5,0.8,0.155,0.2544
8,6,48,1,1.5,1,0.1299,0.2544
8,6,48,1,1.5,1.5,0.0938,0.2268
8,6,48,1,2,0.3,0.2635,0.2635
8,6,48,1,2,0.5,0.2542,0.2727
8,6,48,1,2,0.8,0.2445,0.313
8,6,48,1,2,1,0.2244,0.3178
8,6,48,1,2,1.5,0.1817,0.2452
8,6,48,1,2.5,0.3,0.2635,0.3186
8,6,48,1,2.5,0.5,0.2542,0.341
8,6,48,1,2.5,0.8,0.2356,0.3439
8,6,48,1,2.5,1,0.2111,0.3533
8,6,48,1,2.5,1.5,0.1889,0.2659
8,6,48,1,3,0.3,0.2635,0.3708
8,6,48,1,3,0.5,0.2542,0.4116
8,6,48,1,3,0.8,0.2267,0.4227
8,6,48,1,3,1,0.1999,0.3992
8,6,48,1,3,1.5,0.1933,0.3109
8,6,48,2,0,0.3,0.1218,0.219
8,6,48,2,0,0.5,0.1218,0.219
8,6,48,2,0,0.8,0.1218,0.219
8,6,48,2,0,1,0.1218,0.219
8,6,48,2,0,1.5,0.1218,0.219
8,6,48,2,0.5,0.3,0.2559,0.2908
8,6,48,2,0.5,0.5,0.2509,0.2998
8,6,48,2,0.5,0.8,0.2534,0.2952
8,6,48,2,0.5,1,0.2462,0.304
8,6,48,2,0.5,1.5,0.2343,0.2771
8,6,48,2,1,0.3,0.2559,0.3686
8,6,48,2,1,0.5,0.2631,0.3543
8,6,48,2,1,0.8,0.2391,0.3452
8,6,48,2,1,1,0.2495,0.3263
8,6,48,2,1,1.5,0.2173,0.3294
8,6,48,2,1.5,0.3,0.2559,0.4524
8,6,48,2,1.5,0.5,0.2582,0.4526
8,6,48,2,1.5,0.8,0.2518,0.447
8,6,48,2,1.5,1,0.2288,0.4308
8,6,48,2,1.5,1.5,0.1976,0.3775
8,6,48,2,2,0.3,0.2559,0.4921
8,6,48,2,2,0.5,0.2582,0.464
8,6,48,2,2,0.8,0.2379,0.4714
8,6,48,2,2,1,0.2081,0.464
8,6,48,2,2,1.5,0.1933,0.4415
8,6,48,2,2.5,0.3,0.2559,0.4818
8,6,48,2,2.5,0.5,0.2682,0.474
8,6,48,2,2.5,0.8,0.2288,0.479
8,6,48,2,2.5,1,0.1897,0.4584
8,6,48,2,2.5,1.5,0.1975,0.3913
8,6,48,2,3,0.3,0.2704,0.4818
8,6,48,2,3,0.5,0.2635,0.4818
8,6,48,2,3,0.8,0.2127,0.4714
8,6,48,2,3,1,0.2064,0.4584
8,6,48,2,3,1.5,0.1717,0.3645
8,6,48,3,0,0.3,-0.0546,0.1687
8,6,48,3,0,0.5,-0.0546,0.1687
8,6,48,3,0,0.8,-0.0546,0.1687
8,6,48,3,0,1,-0.0546,0.1687
8,6,48,3,0,1.5,-0.0546,0.1687
8,6,48,3,0.5,0.3,0.0322,0.1687
8,6,48,3,0.5,0.5,0.0497,0.1583
8,6,48,3,0.5,0.8,0.0444,0.1691
8,6,48,3,0.5,1,0.0286,0.145
8,6,48,3,0.5,1.5,0.0168,0.1809
8,6,48,3,1,0.3,0.156,0.1707
8,6,48,3,1,0.5,0.1716,0.1754
8,6,48,3,1,0.8,0.1663,0.1813
8,6,48,3,1,1,0.1666,0.1768
8,6,48,3,1,1.5,0.1407,0.1494
8,6,48,3,1.5,0.3,0.174,0.2704
8,6,48,3,1.5,0.5,0.1897,0.2939
8,6,48,3,1.5,0.8,0.1903,0.2686
8,6,48,3,1.5,1,0.1768,0.2591
8,6,48,3,1.5,1.5,0.1587,0.2239
8,6,48,3,2,0.3,0.192,0.3784
8,6,48,3,2,0.5,0.2261,0.3756
8,6,48,3,2,0.8,0.2009,0.3504
8,6,48,3,2,1,0.1767,0.3406
8,6,48,3,2,1.5,0.1376,0.29
8,6,48,3,2.5,0.3,0.192,0.469
8,6,48,3,2.5,0.5,0.2194,0.4467
8,6,48,3,2.5,0.8,0.1987,0.4543
8,6,48,3,2.5,1,0.1655,0.4474
8,6,48,3,2.5,1.5,0.13,0.3578
8,6,48,3,3,0.3,0.192,0.469
8,6,48,3,3,0.5,0.2127,0.4467
8,6,48,3,3,0.8,0.19,0.4474
8,6,48,3,3,1,0.1782,0.4276
8,6,48,3,3,1.5,0.1225,0.3435
8,6,48,4,0,0.3,-0.0376,0.0935
8,6,48,4,0,0.5,-0.0376,0.0935
8,6,48,4,0,0.8,-0.0376,0.0935
8,6,48,4,0,1,-0.0376,0.0935
8,6,48,4,0,1.5,-0.0376,0.0935
8,6,48,4,0.5,0.3,-0.0376,0.0935
8,6,48,4,0.5,0.5,-0.0292,0.1095
8,6,48,4,0.5,0.8,-0.0067,0.1004
8,6,48,4,0.5,1,-0.0178,0.0935
8,6,48,4,0.5,1.5,-0.0581,0.1004
8,6,48,4,1,0.3,-0.0237,0.1217
8,6,48,4,1,0.5,0.0016,0.1285
8,6,48,4,1,0.8,0.0052,0.1155
8,6,48,4,1,1,-0.0233,0.1116
8,6,48,4,1,1.5,-0.0534,0.0788
8,6,48,4,1.5,0.3,-0.0097,0.1217
8,6,48,4,1.5,0.5,0.013,0.1289
8,6,48,4,1.5,0.8,-0.0233,0.1116
8,6,48,4,1.5,1,-0.0442,0.1147
8,6,48,4,1.5,1.5,-0.0708,0.1066
8,6,48,4,2,0.3,-0.0097,0.1217
8,6,48,4,2,0.5,0.0272,0.1289
8,6,48,4,2,0.8,-0.0321,0.1416
8,6,48,4,2,1,-0.0354,0.1416
8,6,48,4,2,1.5,-0.0909,0.1499
8,6,48,4,2.5,0.3,0.0745,0.1612
8,6,48,4,2.5,0.5,0.1128,0.1732
8,6,48,4,2.5,0.8,0.0646,0.1632
8,6,48,4,2.5,1,0.0391,0.1664
8,6,48,4,2.5,1.5,0.0071,0.1621
8,6,48,4,3,0.3,0.1923,0.2288
8,6,48,4,3,0.5,0.2108,0.2827
8,6,48,4,3,0.8,0.1711,0.2728
8,6,48,4,3,1,0.1585,0.2309
8,6,48,4,3,1.5,0.1194,0.1768
8,6,48,5,0,0.3,0.085,0.1378
8,6,48,5,0,0.5,0.085,0.1378
8,6,48,5,0,0.8,0.085,0.1378
8,6,48,5,0,1,0.085,0.1378
8,6,48,5,0,1.5,0.085,0.1378
8,6,48,5,0.5,0.3,0.085,0.1809
8,6,48,5,0.5,0.5,0.1088,0.1809
8,6,48,5,0.5,0.8,0.1183,0.2197
8,6,48,5,0.5,1,0.1005,0.193
8,6,48,5,0.5,1.5,0.0775,0.1595
8,6,48,5,1,0.3,0.1021,0.2097
8,6,48,5,1,0.5,0.1234,0.2383
8,6,48,5,1,0.8,0.0928,0.2313
8,6,48,5,1,1,0.0749,0.2339
8,6,48,5,1,1.5,0.0277,0.2313
8,6,48,5,1.5,0.3,0.1191,0.2097
8,6,48,5,1.5,0.5,0.1234,0.2383
8,6,48,5,1.5,0.8,0.0749,0.2474
8,6,48,5,1.5,1,0.0617,0.2413
8,6,48,5,1.5,1.5,0.0101,0.2413
8,6,48,5,2,0.3,0.2562,0.2562
8,6,48,5,2,0.5,0.2567,0.2567
8,6,48,5,2,0.8,0.2172,0.2556
8,6,48,5,2,1,0.1926,0.2472
8,6,48,5,2,1.5,0.161,0.2038
8,6,48,5,2.5,0.3,0.2687,0.3016
8,6,48,5,2.5,0.5,0.2519,0.3153
8,6,48,5,2.5,0.8,0.2082,0.3279
8,6,48,5,2.5,1,0.1836,0.2873
8,6,48,5,2.5,1.5,0.19,0.2556
8,6,48,5,3,0.3,0.2687,0.3903
8,6,48,5,3,0.5,0.2695,0.3968
8,6,48,5,3,0.8,0.1926,0.3921
8,6,48,5,3,1,0.1975,0.3904
8,6,48,5,3,1.5,0.1691,0.3182
16,6,96,1,0,0.3,0.528,0.6479
16,6,96,1,0,0.5,0.528,0.6479
16,6,96,1,0,0.8,0.528,0.6479
16,6,96,1,0,1,0.528,0.6479
16,6,96,1,0,1.5,0.528,0.6479
16,6,96,1,0.5,0.3,0.528,0.6479
16,6,96,1,0.5,0.5,0.5236,0.6479
16,6,96,1,0.5,0.8,0.5236,0.6398
16,6,96,1,0.5,1,0.5148,0.6558
16,6,96,1,0.5,1.5,0.5022,0.6398
16,6,96,1,1,0.3,0.528,0.6479
16,6,96,1,1,0.5,0.5236,0.6479
16,6,96,1,1,0.8,0.5306,0.6398
16,6,96,1,1,1,0.5179,0.6398
16,6,96,1,1,1.5,0.5057,0.6398
16,6,96,1,1.5,0.3,0.5236,0.6479
16,6,96,1,1.5,0.5,0.5236,0.6479
16,6,96,1,1.5,0.8,0.5179,0.6398
16,6,96,1,1.5,1,0.5138,0.6398
16,6,96,1,1.5,1.5,0.5058,0.6178
16,6,96,1,2,0.3,0.5236,0.6479
16,6,96,1,2,0.5,0.5393,0.6398
16,6,96,1,2,0.8,0.5179,0.6398
16,6,96,1,2,1,0.5017,0.6245
16,6,96,1,2,1.5,0.5139,0.6115
16,6,96,1,2.5,0.3,0.5236,0.6479
16,6,96,1,2.5,0.5,0.5306,0.6398
16,6,96,1,2.5,0.8,0.5097,0.6398
16,6,96,1,2.5,1,0.5253,0.6245
16,6,96,1,2.5,1.5,0.5064,0.6178
16,6,96,1,3,0.3,0.5236,0.6479
16,6,96,1,3,0.5,0.5306,0.6398
16,6,96,1,3,0.8,0.5214,0.6398
16,6,96,1,3,1,0.5176,0.6172
16,6,96,1,3,1.5,0.4885,0.6192
16,6,96,2,0,0.3,0.4482,0.5556
16,6,96,2,0,0.5,0.4482,0.5556
16,6,96,2,0,0.8,0.4482,0.5556
16,6,96,2,0,1,0.4482,0.5556
16,6,96,2,0,1.5,0.4482,0.5556
16,6,96,2,0.5,0.3,0.4482,0.5878
