"nF","ipf","total_items","rep","std","efa_d","iterative","weighted_v2"
4,3,12,1,0.199,0.222,0.231,0.087
4,3,12,2,0.153,0.158,0.135,0.052
4,3,12,3,0.083,0.085,0.056,0.07
8,3,24,1,0.211,0.181,0.171,0.123
8,3,24,2,0.207,0.145,0.142,0.075
8,3,24,3,0.146,0.135,0.142,0.057
12,3,36,1,0.218,0.176,0.189,0.202
12,3,36,2,0.171,0.17,0.234,0.1
12,3,36,3,0.143,0.09,0.084,0.166
20,3,60,1,0.181,0.277,0.245,0.211
20,3,60,2,0.187,0.242,0.299,0.27
20,3,60,3,0.35,0.406,0.292,0.284
30,3,90,1,0.221,0.194,0.249,0.297
30,3,90,2,0.271,0.346,0.276,0.4
30,3,90,3,0.287,0.318,0.301,0.496
4,6,24,1,0.197,0.167,0.162,0.137
4,6,24,2,0.18,0.166,0.136,0.184
4,6,24,3,0.155,0.174,0.174,0.133
8,6,48,1,0.226,0.155,0.166,0.151
8,6,48,2,0.177,0.184,0.168,0.211
8,6,48,3,0.328,0.231,0.288,0.218
12,6,72,1,0.24,0.398,0.374,0.339
12,6,72,2,0.302,0.411,0.395,0.415
12,6,72,3,0.252,0.268,0.251,0.395
20,6,120,1,0.469,0.471,0.492,0.396
20,6,120,2,0.388,0.45,0.475,0.395
20,6,120,3,0.456,0.403,0.383,0.425
30,6,180,1,0.597,0.576,0.526,0.52
30,6,180,2,0.692,0.619,0.641,0.594
30,6,180,3,0.631,0.484,0.504,0.454
4,10,40,1,0.221,0.225,0.22,0.214
4,10,40,2,0.147,0.177,0.171,0.232
4,10,40,3,0.173,0.209,0.229,0.185
8,10,80,1,0.353,0.378,0.393,0.366
8,10,80,2,0.374,0.235,0.259,0.306
8,10,80,3,0.395,0.575,0.535,0.314
12,10,120,1,0.405,0.343,0.417,0.341
12,10,120,2,0.487,0.551,0.54,0.418
12,10,120,3,0.47,0.567,0.529,0.441
20,10,200,1,0.566,0.736,0.64,0.485
20,10,200,2,0.591,0.481,0.498,0.656
20,10,200,3,0.741,0.516,0.528,0.721
30,10,300,1,0.741,0.712,0.719,0.576
30,10,300,2,0.768,0.79,0.838,0.595
30,10,300,3,0.796,0.694,0.698,0.705
