id,domain,scale,reverse,rmax,rmin
BFI2_01,E,BFI-2,0,5,1
BFI2_02,A,BFI-2,0,5,1
BFI2_03,C,BFI-2,1,5,1
BFI2_04,N,BFI-2,1,5,1
BFI2_05,O,BFI-2,1,5,1
BFI2_06,E,BFI-2,0,5,1
BFI2_07,A,BFI-2,0,5,1
BFI2_08,C,BFI-2,1,5,1
BFI2_09,N,BFI-2,1,5,1
BFI2_10,O,BFI-2,0,5,1
BFI2_11,E,BFI-2,1,5,1
BFI2_12,A,BFI-2,1,5,1
BFI2_13,C,BFI-2,0,5,1
BFI2_14,N,BFI-2,0,5,1
BFI2_15,O,BFI-2,0,5,1
BFI2_16,E,BFI-2,1,5,1
BFI2_17,A,BFI-2,1,5,1
BFI2_18,C,BFI-2,0,5,1
BFI2_19,N,BFI-2,0,5,1
BFI2_20,O,BFI-2,0,5,1
BFI2_21,E,BFI-2,0,5,1
BFI2_22,A,BFI-2,1,5,1
BFI2_23,C,BFI-2,1,5,1
BFI2_24,N,BFI-2,1,5,1
BFI2_25,O,BFI-2,1,5,1
BFI2_26,E,BFI-2,1,5,1
BFI2_27,A,BFI-2,0,5,1
BFI2_28,C,BFI-2,1,5,1
BFI2_29,N,BFI-2,1,5,1
BFI2_30,O,BFI-2,1,5,1
BFI2_31,E,BFI-2,1,5,1
BFI2_32,A,BFI-2,0,5,1
BFI2_33,C,BFI-2,0,5,1
BFI2_34,N,BFI-2,0,5,1
BFI2_35,O,BFI-2,0,5,1
BFI2_36,E,BFI-2,1,5,1
BFI2_37,A,BFI-2,1,5,1
BFI2_38,C,BFI-2,0,5,1
BFI2_39,N,BFI-2,0,5,1
BFI2_40,O,BFI-2,0,5,1
BFI2_41,E,BFI-2,0,5,1
BFI2_42,A,BFI-2,1,5,1
BFI2_43,C,BFI-2,0,5,1
BFI2_44,N,BFI-2,1,5,1
BFI2_45,O,BFI-2,1,5,1
BFI2_46,E,BFI-2,0,5,1
BFI2_47,A,BFI-2,1,5,1
BFI2_48,C,BFI-2,1,5,1
BFI2_49,N,BFI-2,1,5,1
BFI2_50,O,BFI-2,1,5,1
BFI2_51,E,BFI-2,1,5,1
BFI2_52,A,BFI-2,0,5,1
BFI2_53,C,BFI-2,0,5,1
BFI2_54,N,BFI-2,0,5,1
BFI2_55,O,BFI-2,1,5,1
BFI2_56,E,BFI-2,0,5,1
BFI2_57,A,BFI-2,0,5,1
BFI2_58,C,BFI-2,1,5,1
BFI2_59,N,BFI-2,0,5,1
BFI2_60,O,BFI-2,0,5,1
PANAS_01,PA,PANAS,0,5,1
PANAS_02,NA,PANAS,0,5,1
PANAS_03,PA,PANAS,0,5,1
PANAS_04,NA,PANAS,0,5,1
PANAS_05,PA,PANAS,0,5,1
PANAS_06,NA,PANAS,0,5,1
PANAS_07,NA,PANAS,0,5,1
PANAS_08,NA,PANAS,0,5,1
PANAS_09,PA,PANAS,0,5,1
PANAS_10,PA,PANAS,0,5,1
PANAS_11,NA,PANAS,0,5,1
PANAS_12,PA,PANAS,0,5,1
PANAS_13,NA,PANAS,0,5,1
PANAS_14,PA,PANAS,0,5,1
PANAS_15,NA,PANAS,0,5,1
PANAS_16,PA,PANAS,0,5,1
PANAS_17,PA,PANAS,0,5,1
PANAS_18,NA,PANAS,0,5,1
PANAS_19,PA,PANAS,0,5,1
PANAS_20,NA,PANAS,0,5,1
RSES_01,Self-Esteem,RSES,0,4,1
RSES_02,Self-Esteem,RSES,0,4,1
RSES_03,Self-Esteem,RSES,1,4,1
RSES_04,Self-Esteem,RSES,0,4,1
RSES_05,Self-Esteem,RSES,1,4,1
RSES_06,Self-Esteem,RSES,0,4,1
RSES_07,Self-Esteem,RSES,0,4,1
RSES_08,Self-Esteem,RSES,1,4,1
RSES_09,Self-Esteem,RSES,1,4,1
RSES_10,Self-Esteem,RSES,1,4,1
SWLS_01,Life-Satisfaction,SWLS,0,7,1
SWLS_02,Life-Satisfaction,SWLS,0,7,1
SWLS_03,Life-Satisfaction,SWLS,0,7,1
SWLS_04,Life-Satisfaction,SWLS,0,7,1
SWLS_05,Life-Satisfaction,SWLS,0,7,1
PSS4_01,Perceived-Stress,PSS-4,0,4,0
PSS4_02,Perceived-Stress,PSS-4,1,4,0
PSS4_03,Perceived-Stress,PSS-4,1,4,0
PSS4_04,Perceived-Stress,PSS-4,0,4,0
RAND_01,Random,Random,0,5,1
RAND_02,Random,Random,0,5,1
RAND_03,Random,Random,0,5,1
RAND_04,Random,Random,0,5,1
RAND_05,Random,Random,0,5,1
RAND_06,Random,Random,0,5,1
RAND_07,Random,Random,0,5,1
RAND_08,Random,Random,0,5,1
RAND_09,Random,Random,0,5,1
RAND_10,Random,Random,0,5,1
