"careless","group"
1,"careless_50"
1,"careless_100"
1,"careless_50"
1,"careless_100"
1,"careless_100"
0,"careful"
0,"careful"
1,"careless_50"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
1,"careless_50"
1,"careless_75"
1,"careless_100"
0,"careful"
1,"careless_100"
1,"careless_50"
1,"careless_50"
0,"careful"
0,"careful"
0,"careful"
1,"careless_100"
1,"careless_75"
1,"careless_100"
1,"careless_100"
1,"careless_100"
0,"careful"
1,"careless_50"
0,"careful"
1,"careless_100"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
1,"careless_100"
0,"careful"
0,"careful"
1,"careless_50"
0,"careful"
0,"careful"
1,"careless_75"
1,"careless_75"
1,"careless_75"
0,"careful"
1,"careless_50"
0,"careful"
0,"careful"
0,"careful"
1,"careless_100"
1,"careless_100"
0,"careful"
0,"careful"
0,"careful"
1,"careless_75"
1,"careless_75"
1,"careless_50"
1,"careless_100"
1,"careless_100"
1,"careless_100"
0,"careful"
1,"careless_50"
1,"careless_50"
1,"careless_100"
1,"careless_50"
0,"careful"
1,"careless_75"
0,"careful"
1,"careless_50"
0,"careful"
0,"careful"
1,"careless_50"
1,"careless_75"
1,"careless_100"
1,"careless_50"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
1,"careless_100"
0,"careful"
0,"careful"
0,"careful"
1,"careless_50"
1,"careless_75"
0,"careful"
0,"careful"
1,"careless_50"
0,"careful"
0,"careful"
0,"careful"
1,"careless_50"
0,"careful"
1,"careless_75"
0,"careful"
0,"careful"
1,"careless_75"
1,"careless_75"
0,"careful"
1,"careless_50"
1,"careless_100"
1,"careless_100"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
1,"careless_50"
1,"careless_75"
1,"careless_100"
1,"careless_75"
1,"careless_100"
1,"careless_75"
1,"careless_75"
1,"careless_75"
0,"careful"
1,"careless_75"
0,"careful"
1,"careless_100"
0,"careful"
1,"careless_100"
0,"careful"
1,"careless_100"
1,"careless_50"
0,"careful"
1,"careless_50"
0,"careful"
0,"careful"
1,"careless_50"
1,"careless_100"
0,"careful"
1,"careless_50"
1,"careless_75"
1,"careless_75"
1,"careless_50"
1,"careless_50"
1,"careless_50"
1,"careless_100"
0,"careful"
1,"careless_75"
0,"careful"
0,"careful"
1,"careless_75"
1,"careless_75"
1,"careless_75"
1,"careless_75"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
0,"careful"
1,"careless_50"
1,"careless_75"
0,"careful"
1,"careless_50"
1,"careless_50"
1,"careless_100"
