"Full","Shipped","NoRR","rr_alone"
0.946217,0.988091,0.948748,0.761126
0.999955,0.999881,0.997642,0.924038
0.996972,0.99677,0.648125,0.972165
0.773983,0.768629,0.586474,0.767903
0.999266,0.998669,0.94796,0.959066
0.189643,0.205287,0.023175,0.854563
0.028972,0.033096,0.086585,0.416753
0.89974,0.863671,0.844822,0.666582
0.981396,0.980134,0.110257,0.957837
0.08948,0.062857,0.550609,0.417026
0.004765,0.006215,0.016049,0.25428
0.03308,0.041547,0.03937,0.646645
0.997841,0.995823,0.95098,0.923347
0.999674,0.999718,0.948325,0.887111
0.999264,0.998592,0.937408,0.972956
0.017361,0.016496,0.11824,0.485328
1,1,1,0.87674
1,1,1,0.067476
0.885118,0.919451,0.488255,0.872196
0.007781,0.007215,0.042753,0.412481
0.016931,0.012066,0.820361,0.159354
0.001043,0.001245,0.035085,0.147622
1,1,1,0.247365
0.991613,0.987083,0.866695,0.952601
1,1,1,0.997997
1,1,1,0.875012
0.999455,0.999395,0.91608,0.973081
0.004298,0.004343,0.053493,0.330147
0.999909,0.999829,0.948922,0.970044
0.002274,0.003088,0.012013,0.287776
1,1,0.999999,0.224361
0.036489,0.025529,0.497366,0.202973
0.021916,0.029197,0.369713,0.156511
0.007157,0.011428,0.019184,0.484538
0.029159,0.022114,0.388195,0.246879
0.99969,0.999454,0.973564,0.98159
0.016629,0.013648,0.168902,0.342363
0.004394,0.004272,0.073729,0.161348
0.013753,0.014932,0.252202,0.158892
0.0108,0.012959,0.734628,0.105558
0.300852,0.242867,0.166971,0.572718
1,1,1,0.347157
0.999273,0.998409,0.978054,0.960633
0.999968,0.999946,0.982423,0.978803
0.094481,0.072919,0.54015,0.255582
0.950191,0.947057,0.590775,0.834047
0.000159,0.000203,0.013895,0.08641
0.48329,0.479531,0.295976,0.63712
0.019708,0.020221,0.065949,0.372238
0.999979,0.999964,0.989313,0.983233
1,0.999999,0.999516,0.950413
0.01008,0.010857,0.290281,0.137062
0.003414,0.004674,0.015799,0.233367
0.00187,0.003325,0.014221,0.365236
0.999951,0.999886,0.992043,0.923243
0.999979,0.999989,0.998357,0.89128
0.872983,0.824261,0.691513,0.719598
0.998974,0.998295,0.967396,0.958698
1,1,1,0.87674
0.99996,0.999899,0.993437,0.975232
0.098608,0.09383,0.321879,0.444385
0.0421,0.067445,0.200276,0.200479
0.936944,0.960531,0.752928,0.833556
1,1,1,0.875012
0.904294,0.88377,0.740837,0.553734
0.004341,0.004662,0.127567,0.140125
0.999999,1,0.999968,0.92449
0.000498,0.000871,0.006391,0.183085
0.99102,0.988809,0.515895,0.902564
0.009594,0.010062,0.182862,0.294395
0.013231,0.017854,0.024117,0.521665
0.993733,0.991717,0.178295,0.978587
0.95993,0.953349,0.890065,0.739756
0.999521,0.999023,0.962603,0.953963
0.934045,0.910401,0.294888,0.935439
0.000331,0.000563,0.006377,0.267742
0.001164,0.002016,0.03757,0.098835
0.122386,0.10835,0.310503,0.369665
0.000633,0.001058,0.00504,0.290121
0.018997,0.026777,0.196331,0.143914
0.999621,0.99915,0.992399,0.898011
0.280522,0.172948,0.887388,0.356576
0.006996,0.007234,0.205053,0.214813
0.008555,0.010191,0.032206,0.408878
0.994182,0.997685,0.959051,0.731231
0.999987,0.999964,0.999363,0.879135
0.105781,0.082503,0.177439,0.603735
0.00013,0.000229,0.008414,0.130408
0.255487,0.227148,0.750284,0.43011
0.001206,0.001317,0.095315,0.09854
0.076049,0.110249,0.282057,0.174608
0.029742,0.026478,0.234545,0.21762
0.546686,0.632908,0.439578,0.60518
0.011821,0.015236,0.020905,0.492935
0.999962,0.999907,0.995688,0.968667
0.924754,0.919194,0.978388,0.24056
0.319629,0.229613,0.743632,0.362735
0.999995,0.999987,0.999463,0.913224
0.999999,0.999999,0.999833,0.966456
0.007176,0.009406,0.051981,0.294515
