y,rr,longstring,person_total
1,0.377006,1.348982,0.071797
1,0.912214,1.348982,1.137812
1,1.332712,-0.674491,0.494167
1,0.392075,-0.674491,0.437962
1,1.173536,-0.674491,1.307357
0,0.575294,-1.348982,-0.723015
0,-0.237172,-0.674491,-0.442170
1,0.190433,0.000000,0.554448
0,1.057550,-0.674491,-0.437756
0,-0.236724,-0.674491,-0.110540
0,-0.533000,0.000000,-1.263865
0,0.133760,-1.348982,-0.528596
1,0.908303,0.000000,0.687763
1,0.737888,2.697963,-0.212850
1,1.344518,-0.674491,0.882559
0,-0.126824,-1.348982,-0.391731
1,0.698103,50.586807,0.509237
1,-1.074779,50.586807,1.105134
1,0.681570,-1.348982,1.043894
0,-0.244191,-1.348982,-0.535304
0,-0.767904,-1.348982,0.933268
0,-0.804007,-0.674491,-0.778987
1,-0.518795,50.586807,0.372193
1,1.112378,-1.348982,0.973235
1,2.394465,70.147039,1.477959
1,0.691753,50.586807,0.277465
1,1.346431,-0.674491,1.301552
0,-0.385543,-1.348982,-0.461963
1,1.302552,1.348982,0.050741
0,-0.465060,-0.674491,-1.110242
1,-0.567251,10.117361,0.640554
0,-0.649833,0.000000,-0.279527
0,-0.776449,0.000000,0.080545
0,-0.128078,-1.348982,-0.573769
0,-0.548777,-0.674491,0.073927
1,1.501440,-0.674491,0.993399
0,-0.363646,-0.674491,-0.598668
0,-0.761982,0.000000,-0.920327
1,-0.726815,0.674491,-0.565203
0,-0.957183,-0.674491,0.747441
0,0.012065,0.000000,-0.587303
1,-0.333742,12.140834,0.682457
1,1.189746,-0.674491,1.180616
1,1.444076,0.674491,0.960736
0,-0.530254,0.000000,-0.014150
1,0.559330,0.000000,0.210437
0,-1.045495,-0.674491,-1.127544
0,0.117645,0.000000,-0.318341
0,-0.311618,-0.674491,-0.520518
1,1.539416,0.000000,1.603062
1,1.093473,3.372454,1.025527
0,-0.838579,0.000000,-0.274285
0,-0.578427,0.000000,-1.301369
0,-0.323638,-1.348982,-0.739542
1,0.907719,2.023472,0.509978
1,0.754779,3.372454,0.711774
1,0.290374,0.674491,-0.467541
1,1.169808,-1.348982,1.854462
1,0.698103,50.586807,0.509237
1,1.380513,0.674491,0.795160
0,-0.192265,-0.674491,0.000000
1,-0.621118,1.348982,-0.759354
1,0.557914,0.000000,0.365403
1,0.691753,50.586807,0.277465
1,0.000000,1.348982,-0.221421
0,-0.828330,0.000000,-0.722526
1,0.914787,4.721435,0.908571
0,-0.700945,-0.674491,-1.197435
1,0.803527,0.674491,-0.224273
0,-0.452220,-0.674491,-0.546692
0,-0.069231,-1.348982,-0.485596
1,1.439932,-1.348982,0.436722
1,0.331302,0.000000,0.805541
1,1.124569,0.000000,0.914211
1,0.981945,-0.674491,-0.365171
0,-0.505053,-1.348982,-1.208704
0,-0.986430,0.000000,-0.775916
0,-0.316023,0.000000,-0.293775
0,-0.460491,-1.348982,-0.995752
0,-0.815906,0.674491,-0.533452
1,0.783286,0.674491,1.113906
0,-0.338646,-0.674491,0.661232
