rr,longstring,person_total,irv,d2,eta
0.377006,1.348982,0.071797,-0.691098,2.527794,2.752017
0.912214,1.348982,1.137812,-1.256145,-0.784265,5.772204
1.332712,-0.674491,0.494167,0.111872,0.700515,3.436892
0.392075,-0.674491,0.437962,0.208691,0.699850,0.755273
1.173536,-0.674491,1.307357,0.049184,0.316491,4.172073
0.575294,-1.348982,-0.723015,0.041389,-0.302592,-1.271923
-0.237172,-0.674491,-0.442170,0.376162,0.244767,-2.256247
0.190433,0.000000,0.554448,-0.108816,0.062881,1.222041
1.057550,-0.674491,-0.437756,0.085400,-0.009035,1.329391
-0.236724,-0.674491,-0.110540,-1.225259,-0.948400,-1.775738
-0.533000,0.000000,-1.263865,0.520818,-0.119999,-3.405714
0.133760,-1.348982,-0.528596,0.162289,0.202975,-2.211569
0.908303,0.000000,0.687763,-1.096830,-0.730298,3.399259
0.737888,2.697963,-0.212850,-0.037843,0.965389,5.050026
1.344518,-0.674491,0.882559,-1.080078,-0.601973,4.030833
-0.126824,-1.348982,-0.391731,-0.722706,-0.599106,-2.734157
0.698103,50.586807,0.509237,-3.503423,-2.081460,66.749754
-1.074779,50.586807,1.105134,-0.600070,3.712531,62.709812
0.681570,-1.348982,1.043894,1.611280,2.469910,1.575414
-0.244191,-1.348982,-0.535304,-0.111322,-0.593151,-3.266110
-0.767904,-1.348982,0.933268,-0.146245,0.242125,-2.591533
-0.804007,-0.674491,-0.778987,0.311706,-0.047266,-4.310031
-0.518795,50.586807,0.372193,-3.441479,3.499307,63.187584
1.112378,-1.348982,0.973235,-0.732571,-0.062271,2.664267
2.394465,70.147039,1.477959,-4.992773,5.977314,97.659323
0.691753,50.586807,0.277465,-4.086109,4.219273,66.397243
1.346431,-0.674491,1.301552,0.802487,1.645197,4.641649
-0.385543,-1.348982,-0.461963,-0.078628,-0.333070,-3.550884
1.302552,1.348982,0.050741,-1.302976,-1.095756,5.280260
-0.465060,-0.674491,-1.110242,0.459634,-0.021891,-3.851741
-0.567251,10.117361,0.640554,0.454155,1.688504,12.089783
-0.649833,0.000000,-0.279527,-0.812242,-0.974386,-2.306136
-0.776449,0.000000,0.080545,1.123128,1.445189,-2.135788
-0.128078,-1.348982,-0.573769,0.877493,0.904951,-3.000703
-0.548777,-0.674491,0.073927,-0.107698,-0.327714,-2.371817
1.501440,-0.674491,0.993399,-1.593119,-0.492759,4.624829
-0.363646,-0.674491,-0.598668,-1.007236,-1.115457,-2.832057
-0.761982,0.000000,-0.920327,-0.158126,-0.674491,-3.542255
-0.726815,0.674491,-0.565203,0.171308,-0.019710,-2.075951
-0.957183,-0.674491,0.747441,0.818852,1.620375,-2.527492
0.012065,0.000000,-0.587303,-0.115018,-0.656869,-0.921115
-0.333742,12.140834,0.682457,-1.715612,-1.174212,15.363462
1.189746,-0.674491,1.180616,-1.317467,-0.695905,4.033716
1.444076,0.674491,0.960736,-0.392488,0.189520,6.130766
-0.530254,0.000000,-0.014150,-0.129995,-0.272523,-1.592037
0.559330,0.000000,0.210437,0.333679,0.574333,1.744692
-1.045495,-0.674491,-1.127544,0.221802,-0.279204,-5.481358
0.117645,0.000000,-0.318341,0.043959,0.063968,-0.240537
-0.311618,-0.674491,-0.520518,0.376322,-0.067961,-2.575281
