variant,weights,rate,mcc,precision,recall,pi_hat,pi_bias
V0 shipped (first-local mode, left MAD),shipped,0.05,0.6193,0.7271,0.5875,0.0585,0.0085
V0 shipped (first-local mode, left MAD),shipped,0.1,0.7250,0.8332,0.6833,0.0922,-0.0078
V0 shipped (first-local mode, left MAD),shipped,0.15,0.7893,0.9106,0.7500,0.1448,-0.0052
V0 shipped (first-local mode, left MAD),shipped,0.2,0.8305,0.9340,0.8019,0.2002,0.0002
V0 shipped (first-local mode, left MAD),shipped,0.25,0.8187,0.9241,0.8065,0.2607,0.0107
V0 shipped (first-local mode, left MAD),shipped,0.3,0.8269,0.9286,0.8278,0.3092,0.0092
V0 shipped (first-local mode, left MAD),shipped,0.4,0.8115,0.9586,0.8064,0.3895,-0.0105
V0 shipped (first-local mode, left MAD),shipped,0.5,0.8042,0.9784,0.8088,0.4714,-0.0286
V1 global mode, left MAD,shipped,0.05,0.6410,0.7537,0.5792,0.0320,-0.0180
V1 global mode, left MAD,shipped,0.1,0.7250,0.8332,0.6833,0.0922,-0.0078
V1 global mode, left MAD,shipped,0.15,0.7893,0.9106,0.7500,0.1448,-0.0052
V1 global mode, left MAD,shipped,0.2,0.8305,0.9340,0.8019,0.2002,0.0002
V1 global mode, left MAD,shipped,0.25,0.8187,0.9241,0.8065,0.2607,0.0107
V1 global mode, left MAD,shipped,0.3,0.8269,0.9286,0.8278,0.3092,0.0092
V1 global mode, left MAD,shipped,0.4,0.8115,0.9586,0.8064,0.3895,-0.0105
V1 global mode, left MAD,shipped,0.5,0.8042,0.9784,0.8088,0.4714,-0.0286
V2 global mode, central-quantile scale,shipped,0.05,0.6650,0.7867,0.5875,0.0187,-0.0313
V2 global mode, central-quantile scale,shipped,0.1,0.7607,0.8896,0.6813,0.0703,-0.0297
V2 global mode, central-quantile scale,shipped,0.15,0.8118,0.9805,0.7153,0.1214,-0.0286
V2 global mode, central-quantile scale,shipped,0.2,0.8188,0.9886,0.7315,0.1700,-0.0300
V2 global mode, central-quantile scale,shipped,0.25,0.7825,0.9891,0.6884,0.2097,-0.0403
V2 global mode, central-quantile scale,shipped,0.3,0.7393,0.9979,0.6361,0.2344,-0.0656
V2 global mode, central-quantile scale,shipped,0.4,0.5719,1.0000,0.4496,0.2836,-0.1164
V2 global mode, central-quantile scale,shipped,0.5,0.4136,1.0000,0.2926,0.3255,-0.1745
V3 global mode, max(left, central),shipped,0.05,0.6560,0.8000,0.5625,0.0159,-0.0341
V3 global mode, max(left, central),shipped,0.1,0.7392,0.8917,0.6479,0.0654,-0.0346
V3 global mode, max(left, central),shipped,0.15,0.7959,0.9844,0.6889,0.1151,-0.0349
V3 global mode, max(left, central),shipped,0.2,0.8163,0.9896,0.7269,0.1680,-0.0320
V3 global mode, max(left, central),shipped,0.25,0.7821,0.9918,0.6855,0.2078,-0.0422
V3 global mode, max(left, central),shipped,0.3,0.7377,0.9986,0.6333,0.2340,-0.0660
V3 global mode, max(left, central),shipped,0.4,0.5719,1.0000,0.4496,0.2836,-0.1164
V3 global mode, max(left, central),shipped,0.5,0.4136,1.0000,0.2926,0.3255,-0.1745
V4 global mode, central below 30% else left,shipped,0.05,0.6650,0.7867,0.5875,0.0187,-0.0313
V4 global mode, central below 30% else left,shipped,0.1,0.7503,0.8701,0.6854,0.0772,-0.0228
V4 global mode, central below 30% else left,shipped,0.15,0.8045,0.9618,0.7236,0.1303,-0.0197
V4 global mode, central below 30% else left,shipped,0.2,0.8221,0.9809,0.7444,0.1750,-0.0250
V4 global mode, central below 30% else left,shipped,0.25,0.7883,0.9463,0.7413,0.2391,-0.0109
