study,true_rate,q,delta0_pp,delta1_pp,purity_lo,purity_hi,Delta_true
Study1,0.0541,0.05,4.658,0.432,1.000,0.750,16.437
Study1,0.0541,0.1,4.345,-4.593,1.000,0.429,16.437
Study1,0.0541,0.2,3.404,-9.064,1.000,0.267,16.437
Study1,0.0541,0.3,2.855,-10.770,1.000,0.182,16.437
Study1,0.1026,0.05,4.959,7.810,1.000,1.000,14.383
Study1,0.1026,0.1,4.480,0.118,1.000,0.875,14.383
Study1,0.1026,0.2,3.572,-4.968,1.000,0.500,14.383
Study1,0.1026,0.3,2.961,-7.085,1.000,0.348,14.383
Study1,0.1463,0.05,4.346,7.014,1.000,1.000,11.178
Study1,0.1463,0.1,3.883,2.564,1.000,1.000,11.178
Study1,0.1463,0.2,3.209,-1.605,1.000,0.750,11.178
Study1,0.1463,0.3,2.565,-3.989,1.000,0.480,11.178
Study1,0.2045,0.05,4.198,12.892,1.000,1.000,11.517
Study1,0.2045,0.1,3.522,5.584,1.000,1.000,11.517
Study1,0.2045,0.2,2.745,0.533,1.000,0.833,11.517
Study1,0.2045,0.3,2.200,-2.208,1.000,0.654,11.517
Study1,0.2553,0.05,3.971,12.228,1.000,1.000,11.388
Study1,0.2553,0.1,3.485,6.526,1.000,1.000,11.388
Study1,0.2553,0.2,2.575,1.477,1.000,1.000,11.388
Study1,0.2553,0.3,2.056,-0.849,1.000,0.821,11.388
Study1,0.3204,0.05,3.796,54.618,1.000,1.000,18.351
Study1,0.3204,0.1,3.236,25.643,1.000,1.000,18.351
Study1,0.3204,0.2,2.517,7.999,1.000,1.000,18.351
Study1,0.3204,0.3,2.021,1.401,0.968,0.871,18.351
Study1,0.4017,0.05,3.606,16.828,1.000,1.000,9.906
Study1,0.4017,0.1,2.750,10.630,1.000,1.000,9.906
Study1,0.4017,0.2,1.954,5.223,1.000,1.000,9.906
Study1,0.4017,0.3,1.474,2.222,1.000,1.000,9.906
Study1,0.4531,0.05,3.069,60.062,1.000,1.000,15.893
Study1,0.4531,0.1,2.498,33.250,1.000,1.000,15.893
Study1,0.4531,0.2,1.800,13.445,0.962,1.000,15.893
Study1,0.4531,0.3,1.354,6.456,0.974,1.000,15.893
Study3_J60,0.0500,0.05,5.700,0.878,1.000,0.650,7.389
Study3_J60,0.0500,0.1,4.870,-0.909,1.000,0.450,7.389
Study3_J60,0.0500,0.2,3.905,-2.346,1.000,0.225,7.389
Study3_J60,0.0500,0.3,3.262,-3.193,0.992,0.150,7.389
Study3_J60,0.1000,0.05,5.355,7.609,1.000,1.000,12.437
Study3_J60,0.1000,0.1,4.635,0.839,1.000,0.800,12.437
Study3_J60,0.1000,0.2,3.586,-3.828,0.975,0.438,12.437
Study3_J60,0.1000,0.3,2.890,-5.851,0.983,0.308,12.437
Study3_J60,0.1500,0.05,5.611,6.413,1.000,1.000,8.750
