true,pi_eta,pi_eta_p5,pi_eta_p95,gate_eta,auc_eta,pi_rc,pi_rc_p5,pi_rc_p95,gate_rc,auc_rc,pi_longstring,pi_longstring_p5,pi_longstring_p95,gate_longstring,auc_longstring,pi_person_total,pi_person_total_p5,pi_person_total_p95,gate_person_total,auc_person_total,frac_rcraw_le1_5,frac_rcraw_le0,sep_eta
0.0541,0.0291,0.0000,0.0696,0.707,0.9725,0.0091,0.0000,0.0676,0.233,0.8338,0.0807,0.0000,0.1603,0.947,0.7931,0.1524,0.1273,0.1757,1.000,0.9109,0.0351,0.0097,4.459
0.0789,0.0530,0.0000,0.1041,0.847,0.9747,0.0127,0.0000,0.0761,0.273,0.8494,0.0886,0.0263,0.1609,0.980,0.8058,0.1718,0.1397,0.2032,1.000,0.9105,0.0439,0.0129,3.739
0.1026,0.0816,0.0000,0.1560,0.913,0.9802,0.0248,0.0000,0.1421,0.360,0.8546,0.0904,0.0289,0.1453,0.993,0.7843,0.1925,0.1503,0.2434,1.000,0.9135,0.0539,0.0186,3.200
0.1250,0.1081,0.0244,0.1918,0.960,0.9755,0.0452,0.0000,0.2188,0.427,0.8545,0.0897,0.0259,0.1507,0.993,0.7999,0.2036,0.1659,0.2569,1.000,0.9095,0.0623,0.0238,2.300
0.1463,0.1331,0.0371,0.2272,0.987,0.9761,0.0545,0.0000,0.2868,0.400,0.8411,0.0921,0.0244,0.1626,0.973,0.8032,0.2155,0.1675,0.2664,1.000,0.9101,0.0696,0.0269,2.243
0.1765,0.1613,0.0362,0.2655,0.993,0.9798,0.1058,0.0000,0.3342,0.580,0.8628,0.1011,0.0361,0.1823,1.000,0.8024,0.2435,0.1952,0.2977,1.000,0.9096,0.0832,0.0363,2.058
0.2045,0.1696,0.0244,0.2929,1.000,0.9782,0.1419,0.0000,0.3998,0.600,0.8576,0.0967,0.0341,0.1732,0.967,0.7904,0.2634,0.2169,0.3245,1.000,0.9087,0.0958,0.0399,2.691
0.2308,0.1750,0.0330,0.3355,1.000,0.9789,0.1456,0.0000,0.3916,0.593,0.8534,0.1046,0.0440,0.1778,0.987,0.7949,0.2809,0.2229,0.3483,1.000,0.9108,0.1027,0.0445,2.415
0.2553,0.1674,0.0262,0.3553,1.000,0.9803,0.2044,0.0000,0.5215,0.687,0.8620,0.0983,0.0426,0.1810,0.973,0.7957,0.2986,0.2414,0.3690,1.000,0.9108,0.1112,0.0455,3.142
0.2857,0.1491,0.0293,0.3802,1.000,0.9800,0.2613,0.0000,0.5376,0.713,0.8620,0.1029,0.0371,0.1893,0.980,0.7901,0.3218,0.2609,0.4110,1.000,0.9085,0.1229,0.0552,3.164
0.3204,0.1377,0.0291,0.3949,0.993,0.9791,0.2628,0.0000,0.5390,0.687,0.8577,0.1112,0.0511,0.2033,0.993,0.8011,0.3488,0.2702,0.4345,1.000,0.9075,0.1298,0.0575,3.509
0.3636,0.0826,0.0279,0.3540,1.000,0.9803,0.2955,0.0000,0.5480,0.727,0.8497,0.1042,0.0588,0.1815,1.000,0.7982,0.3723,0.3059,0.4485,0.993,0.9053,0.1501,0.0673,4.162
0.4017,0.0723,0.0403,0.0984,1.000,0.9805,0.3200,0.0000,0.6367,0.740,0.8510,0.1017,0.0682,0.1656,1.000,0.7924,0.4024,0.3367,0.4837,1.000,0.9046,0.1603,0.0750,4.262
0.4531,0.0698,0.0396,0.0879,1.000,0.9822,0.3090,0.0000,0.6371,0.700,0.8500,0.1000,0.0703,0.1735,1.000,0.7944,0.4243,0.3651,0.4939,0.980,0.9023,0.1770,0.0804,4.826
