J,n,reps,mean,p50,p90,p95,max,share_over_5pct
30,100,30,0.02467,0.00000,0.10000,0.20000,0.24000,0.100
30,150,30,0.00467,0.00000,0.01333,0.02000,0.04000,0.000
30,200,30,0.00250,0.00000,0.00500,0.01000,0.05000,0.000
30,300,30,0.00733,0.00000,0.03667,0.05000,0.08000,0.033
30,500,30,0.01013,0.00000,0.02400,0.08800,0.13000,0.067
30,1000,30,0.00397,0.00100,0.01100,0.02500,0.03200,0.000
48,100,30,0.02933,0.01000,0.12000,0.13000,0.14000,0.200
48,150,30,0.01844,0.00000,0.06000,0.09333,0.10667,0.133
48,200,30,0.00350,0.00000,0.02500,0.03000,0.03500,0.000
48,300,30,0.01278,0.00333,0.03667,0.04000,0.13000,0.033
48,500,30,0.00387,0.00000,0.01600,0.02000,0.03800,0.000
48,1000,30,0.00333,0.00100,0.01200,0.01300,0.03100,0.000
60,100,30,0.03700,0.04000,0.10000,0.16000,0.19000,0.200
60,150,30,0.01956,0.00000,0.06000,0.15333,0.15333,0.100
60,200,30,0.01433,0.00000,0.06000,0.07000,0.07500,0.100
60,300,30,0.01644,0.00333,0.05333,0.11667,0.12000,0.100
60,500,30,0.01387,0.00200,0.05400,0.06400,0.10000,0.133
60,1000,30,0.00633,0.00300,0.02400,0.02400,0.03900,0.000
90,100,30,0.06200,0.03000,0.22000,0.24000,0.29000,0.300
90,150,30,0.02489,0.00667,0.06667,0.14000,0.19333,0.167
90,200,30,0.03167,0.00500,0.08500,0.12000,0.15000,0.233
90,300,30,0.02056,0.00333,0.08000,0.13333,0.14000,0.133
90,500,30,0.01267,0.00200,0.04200,0.06600,0.09000,0.067
90,1000,30,0.00647,0.00200,0.02100,0.04800,0.05900,0.033
120,100,30,0.03800,0.01000,0.15000,0.15000,0.20000,0.267
120,150,30,0.02556,0.00667,0.06667,0.10667,0.20667,0.200
120,200,30,0.01183,0.00500,0.04500,0.05000,0.07000,0.033
120,300,30,0.01478,0.00000,0.04000,0.08333,0.13000,0.067
120,500,30,0.01593,0.00200,0.06400,0.06800,0.06800,0.167
120,1000,30,0.00527,0.00200,0.01600,0.02300,0.02400,0.000
180,100,30,0.05433,0.02000,0.17000,0.19000,0.31000,0.300
180,150,30,0.03111,0.00667,0.15333,0.15333,0.16000,0.233
180,200,30,0.02550,0.00500,0.11500,0.12000,0.12000,0.167
180,300,30,0.00744,0.00333,0.02333,0.03333,0.04000,0.000
180,500,30,0.01347,0.00200,0.05200,0.09200,0.11200,0.100
180,1000,30,0.01033,0.00300,0.03100,0.06500,0.08300,0.067
240,100,30,0.03033,0.00000,0.08000,0.17000,0.22000,0.233
240,150,30,0.03044,0.02000,0.07333,0.12000,0.18000,0.200
240,200,30,0.02867,0.01000,0.07500,0.07500,0.24500,0.200
240,300,30,0.01378,0.00333,0.05000,0.06333,0.06333,0.067
240,500,30,0.01673,0.00200,0.05200,0.06800,0.09800,0.100
240,1000,30,0.01237,0.00500,0.03600,0.04000,0.07800,0.033
300,100,30,0.03933,0.02000,0.13000,0.13000,0.14000,0.267
300,150,30,0.03578,0.01333,0.08667,0.11333,0.29333,0.233
300,200,30,0.02150,0.00500,0.08500,0.09500,0.10000,0.167
300,300,30,0.01889,0.01000,0.07667,0.09000,0.10333,0.100
300,500,30,0.01433,0.00800,0.04200,0.05200,0.07400,0.067
300,1000,30,0.01220,0.00600,0.03500,0.03700,0.06300,0.033
