dataset,n,score,auc,dBIC,pi_mix,sep,bic_gate,k_tail,exp_tail,tail_p,tail_gate,gate,n_flagged,mcc_auto,best_cut_z,best_mcc,careless_median_z
kay_s2,701,ens,0.9199,1299.9,0.0982,1.087,true,183,4.35,1.175e-232,true,true,183,0.3409,5.193,0.5223,8.050
kay_s2,701,rc,0.9139,101.7,0.2289,1.428,true,65,4.35,3.812e-53,true,true,65,0.4461,2.637,0.4934,3.136
kay_s2,701,PT,0.8933,263.7,0.3098,1.838,true,206,4.35,8.340e-274,true,true,206,0.2978,4.858,0.4124,6.448
warning300,812,ens,0.7303,1657.0,0.0468,0.767,false,33,5.03,8.338e-17,true,true,33,0.1759,-0.986,0.3202,0.233
warning300,812,rc,0.6174,584.6,0.7170,1.264,false,3,5.03,8.796e-1,false,false,0,0.0000,-1.891,0.1970,-0.308
warning300,812,PT,0.7341,524.6,0.5711,3.104,true,2,5.03,9.614e-1,false,true,2,-0.0295,-2.399,0.3459,0.027
kay_s1,500,ens,0.5562,902.7,0.0817,1.470,true,64,3.10,2.488e-61,true,true,64,0.1397,4.047,0.1615,0.259
kay_s1,500,rc,0.5356,6.6,0.3181,0.330,false,0,3.10,1.000e+0,false,false,0,0.0000,1.429,0.1858,0.032
kay_s1,500,PT,0.6281,116.9,0.2782,2.003,true,98,3.10,5.530e-112,true,true,98,0.1644,2.936,0.2164,1.079
opsy_16pf,35381,ens,0.6448,73708.6,0.0093,1.499,false,926,219.36,2.178e-277,true,true,926,0.0782,3.224,0.0934,0.578
opsy_16pf,35381,rc,0.6310,478.1,0.0332,0.477,false,173,219.36,9.995e-1,false,false,0,0.0000,1.910,0.0868,0.382
opsy_16pf,35381,PT,0.6402,3879.1,0.4053,1.467,true,5158,219.36,0.000e+0,true,true,5158,0.0505,4.161,0.0771,1.593
smarvus,10234,ens,0.8257,4672.6,0.0623,1.526,true,1571,63.45,0.000e+0,true,true,1571,0.4141,2.975,0.4290,3.085
smarvus,10234,rc,0.7828,527.9,0.3954,1.773,true,543,63.45,4.237e-305,true,true,543,0.4161,2.450,0.4202,1.830
smarvus,10234,PT,0.8242,1478.1,0.3482,1.718,true,1126,63.45,0.000e+0,true,true,1126,0.4143,2.811,0.4267,2.445
kay_s6,562,ens,0.6881,624.2,0.1220,0.538,false,30,3.48,1.343e-18,true,true,30,-0.0500,-0.397,0.3338,0.100
kay_s6,562,rc,0.5733,180.7,0.8367,1.530,false,0,3.48,1.000e+0,false,false,0,0.0000,-1.432,0.2051,-0.234
kay_s6,562,PT,0.7582,145.9,0.6216,3.409,true,0,3.48,1.000e+0,false,true,0,0.0000,-1.955,0.4513,-0.022
kay_s5,629,ens,0.7398,172.2,0.0354,1.307,true,85,3.90,6.440e-83,true,true,85,0.1904,2.194,0.2773,2.264
kay_s5,629,rc,0.6289,8.3,0.1768,1.826,true,3,3.90,7.487e-1,false,true,3,-0.0214,1.225,0.1505,0.682
kay_s5,629,PT,0.7139,272.7,0.2736,1.754,true,148,3.90,4.970e-181,true,true,148,0.2263,4.108,0.2872,2.926
douglas,2071,ens,0.5071,1369.5,0.0204,1.785,true,582,12.84,0.000e+0,true,true,582,0.0290,5.999,0.0596,0.925
douglas,2071,rc,0.4897,-15.4,0.1809,1.905,false,408,12.84,0.000e+0,true,true,408,0.0066,4.249,0.0577,0.540
douglas,2071,PT,0.5419,702.6,0.5480,2.286,true,949,12.84,0.000e+0,true,true,949,0.0529,1.040,0.0717,2.249
krause,1783,ens,0.7508,1022.6,0.1774,1.791,true,266,11.05,3.318e-267,true,true,266,0.3956,1.505,0.4214,1.324
krause,1783,rc,0.5640,104.8,0.1679,2.138,true,0,11.05,1.000e+0,false,true,0,0.0000,0.423,0.1707,-0.042
krause,1783,PT,0.7487,184.2,0.4388,1.621,true,239,11.05,8.348e-229,true,true,239,0.3444,1.266,0.4147,1.366
duckworth,3874,ens,0.4642,1050.5,0.0039,2.121,false,370,24.02,2.914e-298,true,true,370,-0.0488,-4.024,0.0000,0.250
duckworth,3874,rc,0.4993,-11.5,0.3807,1.196,false,5,24.02,1.000e+0,false,false,0,0.0000,-0.379,0.0316,-0.041
duckworth,3874,PT,0.4252,601.4,0.4444,1.617,true,731,24.02,0.000e+0,true,true,731,-0.0667,8.140,0.0119,0.326
