dataset,n,rate,score,auc,oracle_mcc,gate_open,n_flagged,flag_share,auto_mcc,auto_prec,auto_rec,pi_hat
kay_s2,701,0.050,ens,0.920,0.522,true,183,0.2611,0.341,0.175,0.914,0.439
kay_s2,701,0.050,rc,0.914,0.493,true,65,0.0927,0.446,0.354,0.657,0.125
kay_s2,701,0.050,PT,0.893,0.412,true,206,0.2939,0.298,0.150,0.886,0.390
warning300,812,0.261,ens,0.730,0.320,true,33,0.0406,0.176,0.636,0.099,0.000
warning300,812,0.261,rc,0.617,0.197,false,0,0.0000,0.000,0.000,0.000,0.000
warning300,812,0.261,PT,0.734,0.346,true,2,0.0025,-0.030,0.000,0.000,0.000
kay_s1,500,0.288,ens,0.556,0.162,true,64,0.1280,0.140,0.453,0.201,0.120
kay_s1,500,0.288,rc,0.536,0.186,false,0,0.0000,0.000,0.000,0.000,0.000
kay_s1,500,0.288,PT,0.628,0.216,true,98,0.1960,0.164,0.439,0.299,0.294
opsy_16pf,35381,0.007,ens,0.645,0.093,true,926,0.0262,0.078,0.049,0.170,0.014
opsy_16pf,35381,0.007,rc,0.631,0.087,false,0,0.0000,0.000,0.000,0.000,0.000
opsy_16pf,35381,0.007,PT,0.640,0.077,true,5158,0.1458,0.051,0.018,0.351,0.293
smarvus,10234,0.105,ens,0.826,0.429,true,1571,0.1535,0.414,0.402,0.590,0.277
smarvus,10234,0.105,rc,0.783,0.420,true,543,0.0531,0.416,0.643,0.326,0.143
smarvus,10234,0.105,PT,0.824,0.427,true,1126,0.1100,0.414,0.465,0.489,0.210
kay_s6,562,0.368,ens,0.688,0.334,true,30,0.0534,-0.050,0.267,0.039,0.000
kay_s6,562,0.368,rc,0.573,0.205,false,0,0.0000,0.000,0.000,0.000,0.000
kay_s6,562,0.368,PT,0.758,0.451,true,0,0.0000,0.000,0.000,0.000,0.000
kay_s5,629,0.087,ens,0.740,0.277,true,85,0.1351,0.190,0.224,0.345,0.290
kay_s5,629,0.087,rc,0.629,0.151,true,3,0.0048,-0.021,0.000,0.000,0.119
kay_s5,629,0.087,PT,0.714,0.287,true,148,0.2353,0.226,0.203,0.545,0.341
douglas,2071,0.801,ens,0.507,0.060,true,582,0.2810,0.029,0.820,0.288,0.387
douglas,2071,0.801,rc,0.490,0.058,true,408,0.1970,0.007,0.806,0.198,0.297
douglas,2071,0.801,PT,0.542,0.072,true,949,0.4582,0.053,0.824,0.471,0.543
krause,1783,0.448,ens,0.751,0.421,true,266,0.1492,0.396,0.917,0.306,0.231
krause,1783,0.448,rc,0.564,0.171,true,0,0.0000,0.000,0.000,0.000,0.000
krause,1783,0.448,PT,0.749,0.415,true,239,0.1340,0.344,0.883,0.264,0.257
duckworth,3874,0.260,ens,0.464,0.000,true,370,0.0955,-0.049,0.195,0.071,0.212
duckworth,3874,0.260,rc,0.499,0.032,false,0,0.0000,0.000,0.000,0.000,0.000
duckworth,3874,0.260,PT,0.425,0.012,true,731,0.1887,-0.067,0.200,0.145,0.317
