y,rr,eta
0,0.910883,6.116871
1,0.910883,6.116871
0,-1.020281,-2.368254
0,-1.310518,-1.888305
0,-0.554072,-3.222751
0,0.910883,6.116871
0,-1.145541,-2.512727
0,0.910883,0.976268
0,0.910883,1.112489
0,0.910883,6.116871
0,-1.599071,-2.724754
0,-0.974710,-2.630816
0,0.910883,1.112489
0,-1.240269,-2.180465
0,0.910883,2.524659
0,-1.083074,-5.485217
0,-0.486922,-1.714486
0,0.910883,6.116871
0,0.910883,4.259868
0,0.910883,6.116871
0,0.910883,1.883730
0,0.910883,2.761460
0,0.910883,5.035248
0,0.910883,4.253370
0,0.910883,3.394645
0,0.910883,3.364243
0,0.910883,6.116871
0,-1.020281,-2.368254
0,-1.045246,-2.109039
0,-0.645801,-1.854069
0,-1.306516,-2.651052
0,0.910883,4.253370
0,-1.020281,-2.368254
1,0.910883,4.133567
0,-0.063247,-1.669416
0,0.910883,6.116871
0,-0.486922,-1.714486
0,-1.143630,-3.108036
1,0.910883,6.116871
0,0.910883,2.350073
0,-1.198944,-4.435502
0,0.910883,2.317555
0,-1.200522,-3.662751
0,-1.394761,-5.348056
0,-0.928881,-0.743360
0,0.910883,1.633286
0,-1.306516,-2.651052
0,-0.740538,-3.960834
0,-1.876467,-5.432352
0,0.910883,2.524659
1,0.910883,2.524659
0,0.910883,4.253370
0,0.910883,3.836984
0,-1.254259,-2.915281
1,0.910883,6.116871
0,0.910883,2.563967
0,0.910883,6.116871
0,0.910883,1.633286
0,0.910883,3.950291
0,-1.501933,-3.883955
0,-1.095177,-3.838860
0,-1.254259,-2.915281
0,-0.346217,-3.498731
0,0.910883,0.496775
0,-1.020281,-2.368254
0,0.910883,6.116871
1,0.910883,6.116871
0,-0.121529,1.016978
0,0.910883,4.253370
1,0.910883,6.116871
0,-0.716853,-0.945484
0,0.910883,2.277273
0,-1.181349,-4.205591
0,-1.226601,-4.532810
1,-0.877858,-4.703897
0,-1.306516,-2.651052
0,0.910883,6.116871
0,0.910883,6.116871
0,0.910883,6.116871
0,0.910883,6.116871
0,0.910883,4.253370
0,-1.203979,-3.853046
0,-1.104443,-4.017325
1,0.910883,4.133567
0,0.910883,6.116871
0,-1.206271,-5.690724
0,0.910883,1.467440
0,0.910883,1.633286
0,0.910883,3.472822
0,0.910883,2.745433
0,-1.022893,-1.699526
0,-1.201875,-3.082071
0,0.910883,1.104398
0,0.910883,6.116871
