y,rr,eta
1,0.486072,0.018433
1,-1.188885,-3.647676
1,-0.319840,-1.957713
0,1.943606,5.735950
0,-0.151692,-1.085884
1,1.457111,5.245324
1,0.111955,-0.312067
1,-0.422296,-3.629790
1,-1.026779,-0.994748
1,-2.620583,-6.749708
1,-0.625292,-2.391792
1,0.250435,1.736527
1,-0.527350,-1.081122
1,-0.147422,-1.269579
0,-0.299411,-2.693009
1,-0.693013,-1.918272
1,-0.151110,-1.426267
1,-0.146926,-0.314160
1,-1.697095,-3.661964
1,1.288233,1.454111
1,-2.375231,-6.830077
1,0.944604,2.776451
1,-0.219077,-2.264696
1,-0.080777,0.998943
1,-0.252823,-1.950597
0,-0.197926,0.509656
0,-0.188451,-1.276938
0,-0.387316,-1.348879
1,-1.171420,-3.472315
0,0.566768,-0.486448
0,0.503411,-0.000387
1,-0.331901,0.663921
1,-0.763486,-2.336340
1,-0.805787,-2.843081
1,-0.282895,1.302131
0,-1.644635,-5.032440
1,-0.508538,3.473751
0,-1.140414,-5.015920
1,-2.011951,-4.565629
1,-0.351791,-3.057848
0,1.578345,4.180193
1,-0.380977,-2.486223
0,0.241916,1.421141
0,0.219678,-0.856637
1,-1.373786,-4.370321
1,-0.122556,-0.942931
0,-0.643762,3.944521
1,0.924945,1.132884
0,-0.422435,-2.963592
0,1.755594,1.723997
1,0.313814,-0.606327
1,1.016143,1.484989
0,-1.491169,-4.829297
1,-1.700673,-4.890346
1,-0.653283,-0.624555
1,-0.427033,-3.574690
1,-1.379144,-4.278345
1,-0.454613,-1.339117
1,-0.875117,-2.990277
1,0.881456,3.074563
0,-0.865261,-3.481497
1,0.273111,1.016591
1,0.001474,-0.098602
1,1.787369,3.472820
0,-0.124043,0.780119
0,-0.006431,-1.623260
0,-1.520656,-3.453754
1,-0.385183,-2.429732
1,-0.329369,-3.870503
1,-0.431048,-1.493521
1,-0.611333,-2.602283
1,-0.189577,0.430305
1,1.742672,5.273631
1,0.385258,-0.475734
1,-0.183133,-2.039129
0,0.908196,2.075399
1,-0.096564,-0.606119
1,-0.100859,-1.453573
1,-2.196477,-5.352123
1,-0.293994,-2.093810
1,-1.492971,-3.703992
1,-0.659917,-3.267416
0,-0.631122,5.707918
1,-1.169404,-3.016335
1,0.178779,-0.973198
0,-0.050706,-1.480958
1,0.655922,2.832400
0,-0.278106,-2.205919
1,-1.119140,-4.008853
0,-0.246851,-2.109565
1,1.309264,3.083714
1,-0.446020,-2.783865
1,0.115527,-1.271885
0,-2.924038,-6.370183
0,-0.432036,-2.072580
1,-0.996347,-3.467089
1,-0.610588,-0.115464
0,1.700894,5.567984
1,-1.824906,-3.266370
0,2.112965,10.402371
1,0.712408,0.392262
1,1.828515,6.879055
1,0.560481,0.797911
1,1.917934,5.944067
1,1.257097,10.749374
1,-0.842071,-3.096528
0,-0.689866,-2.744989
1,-0.097319,0.177690
1,-0.303625,-2.522428
1,2.125859,6.934794
0,1.161779,2.518494
1,0.251221,0.078607
0,-0.609334,-1.861047
1,0.427532,0.971743
0,-0.667372,0.518282
1,-0.157534,-2.705324
1,-1.063263,-0.152860
1,-0.504693,-0.580309
0,-0.194859,4.533751
1,-0.084497,-1.551312
1,-0.706436,-2.856572
1,1.393065,7.227810
1,-0.566111,0.265144
0,-0.246157,-2.089457
1,-0.529080,-2.814910
1,-0.562736,-2.439879
1,0.069832,-2.139767
0,-0.028392,-0.249166
1,-0.131795,-1.676111
1,-0.236490,-1.665063
0,-0.131862,-2.154593
1,1.204002,9.442401
1,-0.872670,-4.082501
1,0.637809,-0.785709
1,-1.210794,-0.775441
1,0.238578,3.846618
0,-0.747942,-1.756171
0,-1.661269,-4.525534
1,-0.257958,4.473986
0,0.032887,-0.615556
0,-0.888017,-1.296281
0,-0.714889,-2.754355
1,-1.530787,-0.854478
0,0.100367,-0.651682
1,-0.526862,-1.581367
0,-0.322746,-0.184012
0,-0.104665,-2.720182
0,-0.216157,-0.380165
1,-0.149304,-1.940075
1,-0.081286,3.478427
1,-0.576142,-2.842736
0,-0.690231,-3.049792
1,1.888300,5.461006
1,0.818329,3.289952
0,-0.342406,-2.055226
0,0.025552,0.000538
1,-1.989385,-2.090118
0,-2.596713,-6.427693
1,2.060745,5.863369
0,-0.488684,-1.017567
1,1.257246,3.466787
1,-0.398354,-2.773698
1,1.492814,20.709959
0,-0.292580,-2.808655
1,1.601320,10.643762
1,-0.378880,-2.003717
1,-0.557600,-3.362454
0,0.496292,0.457420
1,1.552271,4.105993
0,1.212647,3.995196
1,-1.143152,-1.596715
1,-0.356848,-1.589261
1,1.420997,5.981890
0,0.390876,-0.264246
1,0.461706,10.630267
0,-1.826241,-5.104738
1,-1.922361,-4.990295
0,-0.422485,-2.819791
1,0.763195,4.149460
1,-0.127509,3.691672
1,-0.389588,-1.560260
1,1.013825,1.636363
1,-0.826279,0.815364
0,-2.090951,-3.155736
1,-0.052532,-0.791717
1,0.368436,0.909694
1,-0.231293,-2.357840
0,-0.226988,-2.030490
1,-0.380665,-2.535080
1,1.049877,5.428533
1,-0.756701,-3.542275
0,-0.871610,-3.283738
1,1.931077,9.126967
1,0.569328,2.087313
0,-0.297207,-2.383072
1,-1.976011,-2.656743
0,-0.457187,-2.975697
0,0.027173,1.778396
1,-1.167921,-4.600064
1,-0.910295,-4.071840
0,-0.385216,-1.855431
1,-0.623167,-2.579580
0,-1.946937,-4.496172
1,-0.589472,-2.653218
1,-0.978868,-3.469411
0,-0.517382,-4.610486
1,0.413116,1.598323
0,-0.368901,-0.289263
0,0.810420,1.952520
1,-0.097227,-1.075487
1,1.240236,2.140649
1,-0.137562,-2.020923
1,-0.171268,-1.120498
0,-0.279488,-1.935297
1,-0.239329,-1.516988
1,-1.222179,-3.215484
1,-2.150349,-3.822898
1,-0.991660,-2.745054
0,-1.036284,-4.017240
1,0.073995,-0.265010
1,0.356103,-0.673585
1,0.729760,1.817813
1,-0.545103,-1.724346
1,-0.549360,-2.580240
1,0.723640,0.346466
0,0.643009,0.271161
1,0.133665,1.653578
1,0.095270,-1.139288
1,-0.349446,-2.551161
1,-2.050583,-5.846621
1,0.396423,6.255598
1,0.885624,3.197481
1,0.813248,1.221420
0,0.679538,1.405007
1,-0.451744,-2.760174
1,0.230689,2.407236
0,-2.253428,-6.554907
1,0.366040,-0.852547
1,-0.357176,-1.824748
1,-1.453853,-4.489432
0,-0.493630,-0.428130
1,-0.024680,-0.366819
1,1.850629,5.030355
1,0.438574,-0.091342
1,-1.598350,-2.496621
1,1.544900,5.773747
1,-0.261873,-3.141234
0,-0.188742,-1.962510
1,-0.019288,-0.830951
1,1.184127,6.769318
1,0.179006,-2.246960
1,-0.828972,-3.311528
0,1.054256,5.210346
1,-0.956409,-1.987731
1,-0.319532,-2.014168
1,1.423695,4.128214
1,0.827208,1.165170
1,1.207633,5.128074
1,2.049189,10.760848
1,0.216754,-1.664924
1,0.875042,5.830803
0,-1.962390,-2.785985
1,1.456946,11.672598
0,-0.324787,-0.844858
1,1.529907,4.794046
1,-0.613948,2.751779
1,1.465597,3.117023
1,1.646939,3.020360
1,-0.436684,-2.998027
0,-0.126362,-1.952655
1,0.135787,2.269286
1,-0.511309,-1.142768
1,0.789234,0.799222
0,-0.803479,-2.467956
0,-0.360359,-2.451452
1,-0.348436,-0.444987
1,-0.646239,-3.702837
1,-2.230704,-5.872888
0,-1.982374,-5.552565
1,0.458381,1.546447
1,-2.401280,-5.373405
1,0.567977,0.272290
0,0.537369,0.826668
1,1.891716,6.084603
1,-0.924193,-3.264449
1,-1.132216,-4.084484
1,-0.509007,-2.229762
1,1.029983,2.794454
1,2.211365,46.185349
0,-0.473277,-1.912267
1,0.185541,-0.529035
1,0.506077,2.056494
0,0.197823,-1.336597
1,-0.314682,-2.244658
1,-0.037564,-0.128842
1,-0.396235,-2.396606
0,-1.447431,-4.971228
1,-0.527858,-1.982977
1,2.052890,11.872743
1,0.427757,0.679625
1,-0.145130,0.473305
1,-0.057028,-1.298979
1,-1.007385,-2.646944
0,0.403208,0.701311
1,0.495336,-1.405275
1,-0.281644,-0.595268
1,-1.104880,-2.576509
1,-2.521287,-6.534740
1,0.865371,1.737318
1,-0.565695,-0.524190
1,-0.107253,-1.490155
1,-0.508762,-3.057589
0,0.758110,3.901116
1,-0.981529,-3.676333
1,-2.377697,-2.354783
1,-0.118398,-0.419899
1,-0.968992,-3.542552
1,-0.489403,-2.867964
1,-1.088883,-1.869370
1,-0.471304,-2.703244
1,0.073256,0.043726
1,-1.857264,-4.448179
0,-1.165350,-3.242602
1,0.374606,2.689059
1,-0.119880,-1.723673
0,-0.275912,1.152076
0,-0.072830,2.246125
1,-1.323878,-2.456362
1,-0.520895,-2.360970
1,-0.781661,-3.567140
0,-0.529172,-2.322985
1,0.073466,1.066498
1,2.142888,7.325964
1,0.021077,-1.516716
1,-0.204531,-1.980189
0,-0.575044,-3.017551
1,1.394526,7.478750
1,-2.366805,-4.084999
1,-1.462061,-3.530643
1,-0.290014,-1.622591
1,-0.094783,-1.196564
0,-0.695533,-3.683030
1,-0.777041,-0.935333
1,-0.422432,-3.273173
1,1.435480,3.254005
1,-0.687693,-2.931165
1,-0.886303,5.972078
1,-0.665150,-2.299733
1,-1.079053,0.705852
0,-2.164142,-1.338096
1,-0.427540,-2.883148
1,-0.153170,-3.361162
1,-1.056110,-1.676919
1,-0.267085,-1.151598
1,1.026320,3.217939
1,-0.317682,-1.990307
1,-0.278397,-2.405187
1,-0.294104,-1.252027
1,0.644516,-0.386920
1,-0.166406,-1.981441
1,1.116336,2.419065
1,-0.093183,-1.656062
1,-1.406788,-3.104902
1,0.873951,3.362072
1,1.974662,5.044452
0,-1.225001,-4.033720
1,-0.339218,-1.238494
1,0.840666,2.703496
1,-2.596616,-2.855923
1,-0.687531,-3.152526
1,0.369579,1.398786
1,1.408371,2.702103
1,0.895498,3.979488
0,-0.157232,-2.034207
1,1.119287,1.544419
1,0.035720,-2.175319
0,-0.151291,6.713077
1,2.082802,8.707388
1,-0.475169,-1.093927
1,-1.030474,-2.757316
0,0.060778,-0.397098
0,0.497861,0.467845
1,1.451586,11.485621
0,1.019109,1.546963
1,-0.406707,-2.709214
1,-0.796724,-3.036572
1,-1.222156,-4.527776
1,-0.680335,-3.190055
0,-0.047385,1.738613
0,0.419507,-0.427229
1,-1.886925,-5.828706
1,-0.671866,-2.881618
1,-0.639287,-3.396511
1,0.265892,-1.542914
0,-0.388914,-0.899703
1,-1.085398,-2.730422
1,-1.347369,-2.972634
1,0.406606,-1.114159
0,-0.784384,-1.459086
1,-0.288051,-2.793341
1,0.320709,-0.644133
1,-1.297740,-5.433226
1,0.447174,2.201437
0,0.858633,-0.192540
1,1.454250,4.888225
0,-0.089932,-1.125951
1,0.318573,1.795185
1,-0.367397,-2.419107
1,-0.306523,-2.404336
0,-0.719516,-3.162543
1,1.797365,5.502292
0,0.493192,0.292894
0,-0.415361,-1.763580
0,0.786133,5.221330
1,-0.443826,0.619883
1,-1.523095,-4.608391
1,1.154972,4.120756
1,-1.699563,-5.698540
1,-1.440495,-3.331681
1,-0.486054,1.777700
1,1.960826,5.882115
0,0.785527,-0.664794
0,0.340998,-1.131354
0,0.368340,-0.495823
1,-0.238962,-0.125908
0,0.393449,0.297945
1,1.840160,7.485742
1,1.287636,2.846375
0,-0.185780,-1.399403
0,-0.203588,-1.368793
1,-0.512911,-2.066761
0,-0.658153,-3.055672
0,-0.361989,-1.648017
1,-0.163795,-1.032192
1,1.569018,4.659777
1,0.081012,-1.261800
1,-0.201871,-0.920940
1,-0.723094,-2.975190
1,-1.260622,-4.462626
1,-0.179943,-2.020617
1,1.691396,5.620059
1,-0.511898,-2.302157
1,0.691997,0.360259
1,-0.425407,0.145960
1,0.067797,-0.416451
1,0.148622,-1.563728
0,-0.644089,-3.185452
1,-0.387128,-1.847650
1,0.566873,2.306453
1,-0.996500,-3.148722
1,-0.400976,-2.299328
1,-0.094136,-1.869226
1,-0.120720,-1.146814
1,-0.765642,-2.872615
1,0.280278,-0.827931
1,-0.154727,3.064356
0,-1.910317,-4.001915
0,0.525870,-1.331495
1,-0.769569,-2.608018
1,0.196310,-0.061282
1,0.084718,-0.913917
1,0.925162,1.771247
1,-0.346064,2.727167
1,1.264988,3.982462
1,-0.741538,-0.271123
1,-0.059201,-1.684547
1,0.790432,1.684116
1,-0.087056,0.912756
1,0.990302,2.474361
1,-0.374555,-1.646186
0,0.156715,1.464801
0,-0.185416,-2.559276
1,-0.213487,-1.085982
1,-0.537410,-2.747278
0,-0.288901,-1.617675
1,-1.014447,-3.443940
0,0.910577,2.935037
0,-0.306746,-1.896339
0,0.552306,0.432026
1,-0.534353,-3.773969
1,0.098024,0.992218
1,-1.474532,-2.615849
0,-0.325302,-2.127151
1,-2.533589,-4.445339
1,-2.014055,-3.591191
1,-0.474854,-3.520066
1,-2.008005,-2.677782
1,-1.022786,0.510028
0,-0.472362,4.173918
1,1.397494,7.975270
1,0.427546,0.412227
0,0.243379,0.108606
1,1.974684,5.417044
1,-0.786206,-3.300906
1,-0.150574,-1.999036
1,-1.359441,-3.382947
0,0.278462,-0.615498
1,-1.149492,-2.036524
1,1.214627,7.292925
0,-0.195525,-2.651680
