y,rr,eta
0,1.070184,0.036736
1,-0.628410,-3.471558
0,-0.502029,-2.078142
0,0.084187,-2.159669
0,-0.756744,-0.748377
0,0.441766,-1.466831
0,-0.017419,-1.050072
1,-1.356752,-4.345563
0,0.553965,2.330551
0,-0.383063,-3.246535
0,0.641029,4.108370
0,-1.923734,-2.890633
0,0.706942,-1.011096
0,1.632108,5.344739
0,0.441766,-1.466831
0,0.925306,1.078338
1,0.892201,0.006578
0,1.733186,4.075660
0,-0.393591,1.490015
0,-0.729100,-2.359234
0,0.811276,1.197655
0,-2.496804,-5.945946
0,1.608736,4.646479
0,1.152863,1.361677
0,-0.926156,2.308137
0,0.441974,2.653691
0,-0.852898,1.623805
0,1.020888,3.409071
1,-1.498030,-3.626767
0,-0.530061,-2.885618
0,-0.285324,-0.980289
0,-1.720350,-1.349180
0,-0.795646,-2.685242
0,-0.948834,0.495795
0,0.274736,0.289437
0,-0.757056,-3.537918
0,0.573323,1.963749
0,0.797789,3.925879
0,1.255834,1.330619
0,0.389794,-0.157260
1,0.313573,0.538105
0,-2.418936,-2.421808
1,-0.892423,-4.562828
0,-0.717002,-2.108053
0,2.182778,11.184003
1,0.186157,1.443848
0,0.853551,1.577289
0,1.048376,2.248963
1,-0.921790,0.324450
0,-0.440811,0.724378
1,2.106171,8.160811
0,-0.903849,-4.467714
0,-0.205760,-0.942692
0,0.204590,-0.182879
0,1.133505,9.553906
0,-0.899662,-2.391962
0,0.472472,0.257000
1,0.912257,0.868535
0,0.281253,0.849431
0,-0.782580,0.334803
0,0.022945,-1.256102
0,0.146935,-0.402198
1,-0.318644,-2.175829
0,-0.712342,1.583137
0,-0.548499,-1.225951
0,0.973222,2.909318
0,-0.240644,-3.508012
0,-0.959546,-2.227195
1,0.200836,-1.587254
1,0.827470,1.784256
0,-0.854078,2.974782
0,1.107702,3.140160
0,0.018126,-1.133544
1,-0.717518,-2.774265
0,0.668878,1.934594
0,-0.788739,0.847141
0,0.854189,-0.481382
0,1.925429,6.350293
1,-0.523130,-1.806498
1,-0.992570,-1.858381
0,0.421097,2.765542
0,1.467564,7.017932
1,0.076534,2.671254
1,1.101601,0.225103
0,-0.232248,-2.182669
0,0.666152,-0.188990
0,-0.374776,-1.680861
0,-0.882115,-3.541973
0,1.592677,4.027276
0,0.965072,0.964600
0,0.148859,-1.723638
