y,rr,eta
1,0.700833,2.698289
0,-0.114085,-1.848378
0,1.067897,-0.267948
0,-0.649557,-4.199938
0,1.526731,3.186500
0,1.715616,3.391202
0,-0.470451,-1.218962
0,0.751873,1.736509
1,-0.968755,11.629997
0,0.197283,2.644945
0,-0.444385,-3.335490
0,-0.094498,-1.798491
1,-0.641945,-1.811008
0,-1.882345,-4.932724
0,0.026245,-2.043713
0,0.697059,-0.671747
0,-0.977305,-2.614761
0,1.000850,1.698138
1,1.053590,4.422236
1,-0.503207,3.082106
0,0.301475,1.479282
1,1.080131,3.826672
0,-1.253400,-4.415521
0,-0.402139,0.251446
1,0.267331,2.392497
1,1.617536,5.377476
0,-0.259203,1.131098
1,0.728771,3.353267
1,1.451141,5.581787
0,0.063181,0.434617
0,1.658781,3.768372
0,-0.334073,-0.846891
0,-1.041763,-0.889618
0,-0.305546,-1.669732
0,-1.113890,-2.356356
0,-0.235621,-1.069792
0,0.081897,0.289006
1,-0.632551,-0.794271
0,0.423008,0.691726
0,-0.788040,-1.597972
0,-1.695647,-4.236533
0,0.460307,-0.597525
1,0.449194,0.579616
0,-1.433401,-6.118686
0,-3.130085,0.683456
0,-0.206059,2.655881
0,-1.156659,-0.552628
1,-0.455323,2.780807
0,-0.623291,-3.162346
0,0.893447,4.061342
0,-0.562248,-2.503354
0,-0.794410,-2.691914
0,-0.656138,-1.788233
1,1.479663,6.288830
0,-0.323011,-1.060796
0,-0.342817,0.580709
0,1.167247,1.468207
0,-0.027005,0.474024
0,0.010087,-0.568574
0,-0.292452,-1.582982
0,-0.077371,-1.073295
0,-0.389276,-3.165882
0,-0.270721,1.508083
1,-0.235512,-0.321975
0,0.026627,-2.520981
0,0.725117,-0.275878
0,-0.205772,-1.705595
0,-0.779402,3.259478
0,1.551702,5.040183
0,0.858968,-0.256148
1,0.355265,0.317059
0,-1.041171,-0.324347
1,-0.265626,-0.685766
0,-1.583265,-1.152774
0,0.834303,1.219323
1,0.082442,3.257350
0,-1.343528,-3.051347
0,-0.280387,-0.373432
0,0.299677,3.066305
0,0.636789,0.168565
0,-0.502584,-2.362563
0,0.539214,4.198422
0,0.930447,1.367423
0,-0.320108,-1.631722
1,0.835255,1.373698
0,1.776974,3.783574
0,-0.566021,3.238219
0,0.751823,2.675342
0,-0.746945,-1.999891
0,1.805172,3.020277
1,1.515577,6.057020
0,-0.815085,-3.483138
0,-1.172366,-3.304206
0,1.819577,5.690072
0,-0.995083,-3.961001
0,1.009675,1.529032
0,0.655366,-0.494435
0,-0.847196,-2.627749
0,1.006123,1.334975
0,0.396924,0.534402
0,1.302195,2.692902
0,1.748476,4.237112
0,1.432476,3.123804
0,0.116808,6.430956
0,0.312169,0.189581
0,0.555331,0.106441
0,-0.821119,-1.435892
0,-0.668363,0.928577
0,-0.734096,-1.718609
0,-0.845927,-2.585815
1,-0.109655,7.911353
1,-1.527441,-2.524268
0,-0.145313,0.354622
0,0.670616,0.100279
0,0.389741,3.529183
0,0.780932,-0.307502
0,-0.486154,-2.490669
0,0.346107,-1.311286
1,-0.475873,-0.689129
1,-0.193715,1.996472
0,1.061536,2.403663
0,0.500545,-1.146374
0,1.751863,2.358910
1,-0.149400,-1.366171
0,0.575190,1.450002
0,-1.962676,-5.181479
0,0.428773,0.966815
1,-0.259275,-0.625901
0,-0.085578,-2.500622
0,-0.209648,0.316821
0,-0.880980,-1.441398
0,-1.215719,-3.055231
1,-0.259890,-1.653748
0,-0.822715,-3.323363
0,-0.422122,-4.035140
1,1.616913,4.127525
0,0.645612,1.458067
0,-0.456988,1.098084
0,0.476262,-0.842144
0,0.729822,0.533841
0,-0.276796,-2.861035
1,-0.955696,-0.216588
1,-1.158964,-0.888932
0,-0.497662,-0.396394
0,0.241699,0.792774
0,-0.939037,-4.219440
0,-1.730041,-3.185264
1,0.833197,3.892234
0,1.876418,7.392313
0,-0.746727,-0.067969
0,-0.836238,-4.621954
0,0.762114,1.226505
1,-0.735110,-1.312415
0,-1.159230,-1.572005
0,-1.253461,-4.684091
0,-0.294567,-2.450635
0,0.980254,0.674968
0,1.369077,3.434276
0,-0.471489,0.780402
0,0.254667,-0.845039
0,0.150089,1.993144
1,1.517568,3.424719
0,-0.797937,-2.147601
0,0.940051,4.764143
0,0.139177,-1.537877
0,0.457732,-0.123322
0,0.877060,2.546779
1,-1.272349,-3.538642
0,1.500632,1.953099
1,-1.945430,-6.673740
0,-0.683453,-2.040297
0,-1.346251,-3.875110
1,0.783503,1.830723
0,1.631485,2.508309
0,-0.459725,1.483715
0,-0.578059,-1.545408
0,0.569969,0.078938
1,1.817784,4.603194
1,0.454380,2.601961
0,-0.440540,-2.785202
0,-0.660002,-2.373197
0,0.319279,-1.057334
0,0.317831,0.738343
0,1.135572,-0.366848
0,0.276803,-1.419376
0,-0.946218,-5.109740
1,-0.558444,-0.261390
0,-0.881790,-2.334697
1,0.629600,4.238688
0,-0.919572,-1.059002
1,1.885588,4.645388
0,0.988601,-0.306586
0,1.512675,5.688614
0,-1.411949,-2.615100
0,1.120972,3.468493
0,-1.276224,-1.862080
0,-1.670377,-3.983779
0,-0.601850,0.677007
0,-0.723073,-1.760225
1,0.848772,4.077343
0,0.016453,-1.043235
0,1.387313,8.056485
0,0.807111,1.774063
0,-0.670682,-1.887950
1,-1.909187,-6.186712
1,-0.556788,-2.572089
0,-1.232938,-4.701045
0,-0.932763,0.017638
1,0.843548,3.454059
0,-0.366014,-0.935265
0,-1.606830,-5.046093
0,1.838326,5.238294
0,-0.585748,-2.283080
1,0.141588,-0.751457
0,-0.388547,-0.841443
0,1.540670,2.854905
0,-0.025730,-1.245326
0,-0.096402,4.341313
1,0.165162,0.707200
0,0.608199,1.161506
0,-0.062638,-1.779161
1,-1.932707,-4.473793
0,-1.116305,-4.682600
0,0.861412,-1.195476
0,0.781211,0.841806
1,1.447292,2.541859
0,-0.158873,0.469547
0,-2.127110,-1.080976
0,-0.932051,-3.335018
0,0.101312,-1.722634
1,-1.114176,-1.066149
0,1.363426,3.900477
1,-1.034827,-1.254787
0,0.039605,3.809276
0,-0.259249,-1.814296
0,0.368306,2.335909
0,0.287861,2.364946
0,1.089282,3.594343
0,-0.664771,-1.668186
0,0.633256,2.803807
0,0.592139,2.189876
0,-0.294022,0.068403
0,-0.106309,-0.876196
0,-0.843706,-3.010621
0,-1.577173,-5.508621
0,-0.836785,-1.977967
0,0.133759,-1.491200
0,-1.509240,-5.324095
0,-0.429997,0.278246
0,0.493564,-1.041509
0,-0.146106,4.020831
0,-1.140761,-2.920317
0,-0.443497,-1.916986
0,0.359222,6.713523
0,-0.116480,-0.604984
0,-1.074626,-2.798457
0,-1.008837,-2.802809
0,1.287207,5.161227
0,0.746509,3.243900
0,-0.693229,-3.148805
0,-1.265839,-2.894317
0,-0.327321,-0.897493
0,0.170397,-2.287288
0,-0.746612,-2.232744
0,-0.529054,-2.087021
0,-1.492981,-3.302396
1,1.869686,5.842583
1,-0.175028,-0.336984
1,1.607129,5.968276
0,-0.235541,-2.835822
0,0.463886,1.129413
0,-0.632542,-3.150774
0,-0.709411,-2.872945
1,0.557215,6.547535
0,0.236462,-0.651481
0,-0.271586,-0.035580
0,0.321202,0.003083
0,0.422060,0.901981
0,0.140186,0.099976
0,-1.531475,-7.055378
0,0.599120,2.612160
1,-0.431543,-1.294293
0,1.146501,4.361336
0,-0.868221,-0.585032
0,-0.023140,1.311175
0,-0.893249,-1.325745
1,0.202623,2.321667
0,1.253275,1.534672
1,1.685741,8.545220
0,1.622047,2.359114
0,1.651485,5.413617
1,0.251015,1.133558
1,-0.916561,-0.148826
0,0.029089,-2.988279
1,1.815788,4.934869
0,0.461139,-1.490804
1,-0.734709,0.390812
0,-0.530525,-1.318200
0,0.276643,-1.391347
0,0.186233,2.097617
1,0.595657,1.661119
0,-0.383141,-1.282617
0,-0.327496,-2.443002
1,0.181945,1.826484
0,-0.869689,-3.902595
0,-0.043690,-0.330509
0,0.798855,2.432615
0,0.646755,0.158631
1,1.235362,8.866830
0,-0.661911,-4.726888
1,1.435306,6.263629
0,0.124795,5.536936
1,0.770360,3.429616
0,-0.923855,0.248565
0,1.767558,4.564592
0,-0.342736,-4.544257
1,0.730831,3.186867
0,0.130762,-2.154297
0,0.179637,-1.536213
0,-0.448063,-3.259584
0,1.854670,3.240948
0,-0.564479,-3.621218
0,-1.325330,-4.947077
0,-0.727454,-0.326085
0,-0.789880,-0.365102
0,-0.030996,-1.205062
0,-0.677067,-2.004310
0,-0.136191,-1.681453
0,-0.525007,-2.855739
0,-0.080120,0.897428
0,0.315437,1.646869
0,-0.703071,0.022361
1,1.272967,7.587191
0,1.373574,3.187772
0,-0.700588,-1.927252
0,1.186585,3.958895
0,1.672471,4.300278
0,-0.314676,-1.925916
1,-0.351386,0.293917
1,1.511667,5.770414
1,0.335665,4.312117
0,0.922900,0.853444
0,-0.530506,-1.338422
0,-0.221017,-1.505813
0,-1.531008,-4.816461
0,0.024229,3.059303
0,1.074676,0.768808
0,0.542609,1.637549
0,-0.001464,0.660702
0,0.205538,3.721339
0,-0.614395,-2.805428
0,0.193108,0.024652
0,-0.687011,-1.551205
0,1.515160,3.201834
0,0.365990,-0.147845
0,-1.263755,-1.275374
0,-0.526956,-0.662265
0,1.444422,4.481124
0,0.774809,3.423619
0,-0.790383,-2.451281
0,-0.302187,-1.448947
0,1.201267,0.590439
0,0.148470,0.777061
0,-0.366661,-1.704978
0,0.180926,0.681436
1,0.453176,2.893178
1,0.495145,1.234792
0,0.556982,-0.691572
1,1.950257,21.534784
1,0.743555,0.879605
0,-0.067809,-1.152281
1,0.801403,3.117962
0,-0.008406,0.377490
0,1.192522,0.738607
0,-0.598424,-1.666687
0,-0.555016,-2.670698
0,-0.778277,-3.272165
0,-0.130730,0.054929
0,0.275828,1.632087
0,1.189372,3.474768
0,-1.619868,-5.555673
1,1.278031,4.249139
0,-0.325710,-1.035296
0,1.302587,1.590644
1,1.273293,4.088589
0,-0.461806,-2.980702
0,-1.090113,-0.127394
0,0.457619,1.806777
0,-1.405134,-1.653259
0,-1.699227,-2.443808
1,-0.678960,-1.971998
0,0.372028,-2.015318
1,0.552654,0.650473
1,-0.154713,1.750961
0,0.685765,2.682449
1,1.601802,4.152045
0,-0.195885,-2.501354
1,0.410808,3.394173
1,1.155423,2.937100
1,1.555937,6.338213
0,0.209401,2.438535
0,-0.886311,-3.735818
0,1.493688,2.625552
0,-1.311681,-4.595375
1,1.119019,6.059551
0,-0.804961,-3.631724
0,0.597057,-1.119259
1,1.950257,21.534784
1,1.383123,4.372965
1,1.444895,3.327966
0,0.061238,-1.076856
0,0.561287,1.428029
0,0.320798,-1.499522
0,-0.668094,-2.971393
0,-0.642864,-2.518079
1,1.007099,0.545487
0,-0.036134,-0.617214
0,-0.936459,-4.744796
0,1.180936,0.457276
1,0.601103,4.189421
0,1.195116,4.427796
0,0.709580,1.950325
0,-0.223807,1.349404
0,-0.869503,-4.997805
0,0.412270,-0.656677
0,1.803454,3.639324
0,-1.081063,-2.115062
0,-0.578184,-2.072303
0,1.766423,4.736816
0,0.770761,-0.478895
0,0.675676,-0.042592
0,0.386501,-0.527681
0,-1.163979,-3.452169
0,-1.175454,-3.547520
0,-0.277485,-1.330107
0,0.361366,1.139465
0,-0.053714,0.473798
1,1.079236,3.360545
1,1.427871,3.167779
0,-0.708132,0.025096
0,0.484587,0.537481
0,1.043885,-0.328367
1,1.486779,7.970568
0,-1.147296,-1.619837
0,-0.285711,-2.402239
0,-0.257637,0.488004
0,0.159999,-1.589020
0,-0.679732,-0.299347
0,-0.059414,-2.688277
0,0.314605,-0.666087
0,-0.069346,-2.011787
0,0.145946,-1.013050
0,1.060634,2.565491
1,-1.496764,-3.909626
0,-0.257557,-3.575812
0,-0.427881,-2.171656
0,1.090703,0.431898
0,-0.732956,-0.326388
0,0.788417,1.528164
0,-1.621110,-4.797761
0,0.235152,2.905615
0,-0.333123,-1.197509
0,-0.490405,-2.350573
0,-0.242711,-2.413298
0,0.255597,5.199691
0,-0.464187,5.274891
0,-0.778329,-2.159039
0,-0.468971,-0.255541
0,1.126943,8.011508
0,0.788169,1.691061
0,-0.608398,-3.106453
0,0.679757,-0.370873
1,0.567253,1.844184
0,1.305691,1.703116
0,-0.120004,1.101451
0,-0.480244,-1.095768
0,-0.093202,-0.758649
0,0.241495,0.603649
0,1.590899,1.461319
1,1.526203,3.519515
0,-0.282446,-2.282507
1,1.243854,3.987773
0,0.147268,0.920572
0,1.514446,5.236221
0,-0.177492,-3.311304
0,0.003860,-0.528519
1,-1.245802,0.732140
0,0.802483,0.445964
0,-0.597744,-3.027227
0,-0.141608,-1.888020
1,1.028701,3.781999
0,-0.814847,-0.977557
0,-1.589730,-5.958900
0,-0.336926,0.742320
0,0.324099,3.306296
0,-0.329605,-3.180931
0,1.255732,1.771617
0,1.339627,3.708518
0,-0.553763,-1.132153
1,0.426802,-0.182481
1,1.578198,5.807949
0,-0.023635,-2.342188
0,-0.382253,-1.296548
0,1.137842,1.869038
0,0.553739,-0.351397
1,0.708961,3.567755
0,-0.524342,-3.445278
0,-0.475479,-0.278728
1,1.838070,5.572656
0,-0.222528,-2.656699
0,0.824215,-0.246680
0,-1.331272,-2.207565
1,1.770836,4.259144
0,1.578837,2.558766
0,0.329828,5.358354
0,-1.196837,-2.789170
1,-0.846655,-0.534254
0,0.739610,1.310288
0,0.561410,1.755909
0,0.320420,1.441124
0,-0.924252,-0.475397
0,-0.004241,-0.057419
1,-0.944685,-0.986773
0,-1.742172,-3.474235
0,-0.951882,-4.580501
0,-0.993154,-2.292034
0,1.868529,2.134725
0,-0.678100,-3.044515
0,-0.404845,-1.273569
0,1.708533,2.365531
1,0.914453,3.309919
0,0.121707,1.337131
0,-0.660486,5.359470
0,1.192351,3.677541
0,-1.957645,-4.848645
0,1.443428,4.773975
0,-0.030495,0.575158
0,-1.294403,-5.679049
0,-0.644387,-2.940695
0,-0.962150,-0.547729
1,1.539360,10.275158
1,1.539989,6.158042
0,0.069730,0.123799
0,0.920911,1.208385
0,-0.723229,1.683547
0,-0.510007,-1.397989
0,-0.469068,-0.964497
0,-0.645099,-3.255360
1,-0.704556,7.529420
0,0.087689,-1.191123
0,1.761078,5.034950
0,-1.129179,2.571276
0,0.784950,3.779370
1,1.184172,4.040808
0,-0.589697,-1.041711
1,0.244899,-0.195232
0,-0.842485,-5.005214
0,-0.530816,-0.291016
0,0.119824,2.003793
0,-0.233332,0.906657
0,-0.425552,-2.734704
1,0.632720,2.047801
0,-0.061186,0.820856
0,0.252405,-0.207844
0,1.449838,3.041600
0,0.457242,1.796217
1,0.327456,2.108934
0,-1.136293,-3.636611
0,1.227030,2.787913
0,-0.499490,-2.152975
0,-1.542563,-1.497848
0,-0.049513,-1.436648
0,0.870673,3.731437
1,1.545147,6.729968
0,-1.182344,0.953777
0,-1.774324,7.304230
0,-0.070035,0.670421
1,0.342365,0.572242
0,-0.389106,-2.526584
1,0.623363,4.038425
0,-0.434121,2.570095
0,-1.464092,-5.609503
0,-1.390707,-2.080600
0,-0.610176,-0.669852
0,0.394568,2.959981
0,0.206061,-2.067413
0,0.324771,0.351878
1,0.653277,1.933749
0,0.855461,0.788751
0,-1.181236,-3.312643
0,-0.894839,2.253091
0,-0.651827,-2.321063
0,-0.487606,-2.623838
1,1.353816,3.796116
0,-0.194602,-2.537136
0,0.224430,-1.074897
0,-0.390212,-0.125109
0,-0.459288,-3.583098
0,0.379698,-1.528751
0,-0.639032,-2.394949
0,-1.568459,-4.349950
0,0.706084,-0.376164
0,0.424716,0.411030
1,1.174050,3.533558
1,-0.730462,-1.012001
0,0.454500,-0.356112
0,-0.288595,-2.036260
0,-1.086666,-2.394434
0,-1.691781,-4.151698
0,0.648424,2.372164
0,-0.559620,0.706886
0,-0.559679,-2.540330
0,-0.346874,-4.385358
1,0.732382,3.658808
0,-0.201716,3.802574
0,-1.406380,-2.823937
0,0.657335,5.125827
0,-0.007861,0.503175
0,-0.697370,-3.479409
0,1.354001,3.462074
1,1.705774,5.074852
0,-0.616137,-3.445492
1,1.360033,6.309269
0,-0.105867,-2.902253
0,0.756220,1.390525
0,-1.038647,-3.511682
0,-0.247153,1.171244
1,1.511492,4.647015
1,0.959054,4.093288
0,0.830775,-0.256767
1,1.034571,5.072150
0,1.488466,4.308377
0,-0.238681,-3.339011
0,-0.797805,-2.483951
0,1.917346,8.335722
1,1.117350,3.837892
0,1.731143,2.226773
1,1.789360,4.818716
1,1.373816,4.970370
0,-0.482464,-2.241030
0,0.141264,-0.623978
0,-2.054837,-5.698536
0,0.309405,4.344110
0,-0.222243,-2.740171
0,-0.393244,-0.509517
1,1.253861,4.168197
0,-0.837668,-2.643475
0,-0.330340,-1.049278
0,1.737183,2.031762
1,0.168695,1.177331
0,1.483249,6.497436
0,1.055123,1.142270
0,0.192489,2.222156
1,0.286841,0.262543
0,0.049420,-0.949449
1,0.700715,3.983872
0,0.087044,-2.117586
1,-1.001246,-1.717184
0,-0.500664,-1.829862
0,0.028902,-0.195607
0,-0.887483,-1.615927
0,-0.141014,1.563701
0,-1.285092,-4.404417
1,-0.388245,2.289361
0,0.290103,-0.917125
0,-0.600082,-1.629538
0,-0.337003,-1.433422
0,0.133423,-1.186092
0,-0.585525,-2.019428
0,-1.223923,-4.218914
0,-0.282492,3.853814
0,0.438663,-1.865120
0,0.172342,4.661305
0,-0.640928,-4.435724
0,0.074448,-0.831692
1,1.699552,6.242467
0,1.056151,0.268489
0,-0.726631,-2.897095
