y,rr,eta
1,0.701002,3.827799
1,1.118645,8.137949
0,0.528027,4.590307
1,-0.824516,2.542986
0,0.091006,-1.701525
0,1.394113,7.484518
1,0.190513,1.403632
0,1.395319,3.775499
1,1.512603,20.623331
1,0.985107,20.890118
1,1.120131,21.331109
1,1.136349,21.434488
1,-0.107173,18.456053
1,1.189985,7.573716
1,1.049173,18.218731
0,0.189543,-1.333115
1,-0.159859,17.937713
0,-0.678411,-3.346879
1,0.409046,3.462067
1,0.908820,1.850705
1,0.909540,1.261045
1,0.544878,-0.390261
1,1.155085,2.754180
0,0.555360,-1.068347
0,-0.052014,0.997001
1,-1.239541,-0.000343
1,-0.424964,-3.740959
1,-0.834765,15.340483
0,1.290611,2.974948
1,-2.219423,-2.563375
1,-0.760464,3.268897
0,1.170910,2.954096
1,-0.961907,-1.225765
1,-1.552070,-5.581347
0,0.313447,-0.178527
0,-0.087350,0.449593
0,0.079671,1.905496
0,-0.169204,5.807617
1,0.434703,13.206213
0,-0.683124,-3.004528
1,1.300686,0.359984
0,0.801375,-0.691135
1,0.118970,-1.506972
0,0.495553,-0.717582
0,-0.296132,-2.109750
0,-0.700316,-4.115771
0,-1.383135,-2.926431
0,-0.034446,-1.749282
0,1.200434,3.437781
0,-0.994794,-3.466906
0,-0.106697,-2.242093
0,-0.851417,-2.174028
1,0.976417,0.732051
0,0.568900,0.031190
0,0.149089,-3.080535
0,-1.631837,-6.597037
1,-0.728941,-4.578172
0,0.099484,-2.246954
0,-0.512124,-1.102254
1,0.800012,2.667413
1,-0.586541,-0.449852
1,1.122645,19.979618
0,0.207713,-2.909506
1,-2.202776,2.768516
1,0.104656,-2.901559
1,-1.473584,-2.560546
1,0.425011,2.378445
1,0.109310,1.084140
0,-1.057981,-5.301478
1,1.154488,21.063932
0,-1.369980,-2.238389
1,1.436767,3.413897
0,0.426680,-0.133666
0,1.257693,2.635602
0,-1.159930,-2.530161
0,0.108650,0.692087
1,0.458986,11.915900
0,-0.683339,-2.015660
1,1.019439,4.294411
1,-2.012290,8.885217
1,-1.175670,9.589260
1,0.022888,-1.598280
1,-2.104872,14.377072
1,0.845971,8.787052
0,0.190324,0.099093
1,1.033107,2.619086
1,-1.373343,14.793461
0,-0.222045,-2.494230
0,1.158473,2.514908
0,0.923767,3.060645
0,0.480320,1.694827
0,-0.339120,2.229470
0,-0.604753,-3.693177
1,-0.663859,-3.735199
0,-1.049459,-4.118601
0,0.843832,2.049358
1,-1.181420,-4.015146
0,-0.493114,-2.839125
0,0.599870,0.888327
0,0.337757,1.801372
0,-0.221268,-0.852084
0,-0.847862,-3.269427
0,-0.396396,-2.170790
0,0.067237,1.833498
1,0.144022,1.681592
0,0.114242,-0.545773
0,0.266216,0.330111
0,-0.452321,-2.910971
0,0.114844,-0.683110
0,-0.831117,-1.270451
1,0.255556,0.862682
1,1.074099,2.048066
0,0.402688,2.105491
0,-0.237511,-2.629628
1,-1.410841,-5.208224
0,0.952786,3.716546
0,-1.127821,-2.514604
0,-0.181790,-0.052461
1,1.038645,1.762958
1,1.354862,4.378754
1,1.381801,7.142595
0,-0.104325,-2.628102
1,0.072139,0.133011
1,-0.599530,-1.287478
0,0.860595,3.616680
0,-0.353827,-2.111804
0,-0.891146,-3.007536
0,-0.546795,2.740305
0,-0.019497,-1.941395
0,-1.456030,-3.866249
0,1.365652,4.082686
0,-0.009218,3.592254
0,-0.998161,-5.448714
0,0.441116,0.151070
0,-0.356797,-0.011292
1,0.193752,19.555604
0,-1.071119,-0.523578
0,0.125409,0.035128
1,-0.830992,-2.997279
0,1.035745,1.191162
0,0.109087,0.665109
0,0.176772,1.599433
0,-2.141164,-5.127450
0,1.199037,2.483551
1,-1.255667,-6.036416
0,0.984988,2.742755
0,-1.563498,-3.687400
1,1.204967,2.368502
0,-1.270247,-2.777814
1,0.253499,11.798454
1,-0.809177,-2.054299
1,-1.204365,-3.348552
1,0.380372,0.095975
1,-0.078845,1.612376
1,-0.376234,1.104045
0,-1.503356,0.148451
1,0.432928,6.375485
1,0.790583,3.161361
0,-0.157755,-0.413398
0,0.137194,-1.108950
1,-1.726199,2.666861
1,-1.093770,0.538110
1,-0.582771,-2.526664
0,-0.375194,-2.940220
0,-0.849936,0.627395
1,0.380678,0.322607
1,-0.187887,0.090566
0,0.258723,-1.045274
0,0.776197,1.337139
0,-0.748122,-4.208565
0,0.519369,3.553814
0,0.296901,-0.236003
0,-0.566446,-2.438238
0,-0.240854,5.350534
0,0.051592,-1.310505
0,0.134549,-2.153225
0,-1.137499,0.035833
1,0.035457,5.242376
0,0.115638,-1.944067
0,-0.299851,-2.215058
0,1.201804,4.347592
1,0.621624,-0.792432
0,0.144190,2.397256
0,-1.299902,-3.782248
0,-0.471098,2.797359
0,0.120211,-0.697098
0,-1.258091,-1.639692
0,0.841268,5.147476
1,0.888050,15.853456
1,1.335218,20.935593
0,0.347153,0.050521
0,0.722594,1.109875
0,0.421118,2.919968
0,-1.160676,-2.494617
0,-0.233646,-2.102489
0,0.211388,-0.807988
0,0.374222,1.544335
0,0.991756,3.208006
0,-0.908820,-2.788331
1,0.991956,3.352952
0,0.348324,-1.274040
1,0.784373,2.736085
0,-1.296528,-5.409965
1,-0.149839,0.441978
1,0.883014,1.900312
1,0.436221,2.758636
1,1.114482,7.636619
1,0.187688,4.053093
1,0.833096,19.785009
0,0.958650,3.528232
0,-0.642976,0.475951
1,-0.009428,3.288335
1,-1.301585,5.437123
1,-1.380434,-2.623441
1,-0.887735,-0.657510
1,1.132911,0.334061
1,0.761344,8.094993
0,-0.838970,-0.442281
1,-1.178916,3.311150
0,-1.454814,-3.842661
1,0.127753,-1.857670
1,0.721293,7.679257
0,-1.558459,-3.417331
0,-0.521881,-2.939649
0,-0.020050,-1.127594
0,0.219435,-0.974699
0,-0.796731,-2.322321
1,-0.974906,-2.737169
0,-1.266421,-4.553722
0,-1.895897,-2.812532
1,0.828858,3.137289
0,-0.583154,-1.735892
0,0.495554,-1.905759
0,-0.298202,-2.448813
0,0.125302,0.460078
0,0.786391,-0.002565
1,-1.492834,-6.114715
0,-0.442791,-3.469229
0,0.314666,-1.343784
0,0.280345,-0.323993
0,-1.099111,-2.054227
0,0.251339,0.154596
0,1.219585,5.048969
0,-0.633700,-3.127074
1,0.023742,0.186814
1,0.394963,3.604836
0,-0.033260,-2.131573
0,0.661171,2.324235
1,0.267013,-0.463883
0,-1.356150,-4.848648
1,1.169237,5.390492
0,-2.595110,5.653043
0,0.365630,4.165143
1,-0.155963,-2.376724
0,0.067080,0.314365
1,-0.331659,-4.465273
0,0.824827,1.973591
1,0.189584,13.720312
1,-0.184148,-3.629159
0,0.942207,-0.268834
