y,rr,eta
0,1.993465,8.275705
0,2.083794,6.246107
0,3.424813,19.932684
0,0.793396,0.367861
0,-0.327216,-0.046229
0,-0.790120,-2.622002
0,-1.342965,0.167679
0,0.980626,0.661661
0,2.901333,13.015468
0,0.343778,0.068194
0,0.182317,0.136055
0,0.014979,-2.129963
0,1.144493,1.644499
0,0.646935,2.688121
0,-0.077616,-1.549997
0,1.634245,4.821876
0,1.207727,4.930375
0,1.978141,6.295871
0,1.564269,5.623957
0,-0.218511,-1.996982
0,-1.414596,-2.484163
0,2.964458,12.537549
0,1.866205,7.952172
0,-0.861705,1.336378
0,-0.114271,-0.579807
0,-1.534799,-5.206359
0,-1.815776,-1.145440
0,1.034386,6.297553
0,-0.757877,-1.880269
0,-0.097845,-2.098482
0,0.975786,3.357979
0,-0.393898,1.253070
0,0.200978,0.472683
0,2.390754,8.795593
0,-0.961475,0.516338
0,-1.459448,-1.358175
0,-0.958151,-3.209203
1,1.200572,4.116948
0,2.181872,4.708779
0,-0.232347,-3.055414
0,-0.608475,0.490808
0,2.537443,12.769133
0,0.325409,-0.924539
0,0.595793,1.431505
0,-0.505950,-1.985685
1,0.114479,2.256526
0,0.200145,-1.543493
0,-0.190502,-1.505430
0,-0.410540,-2.386924
0,2.556638,9.624324
0,3.274260,11.305383
0,-0.052378,-0.784177
0,-0.543252,2.932701
0,-1.644160,-3.889644
0,3.071624,12.233995
0,-0.775437,-2.949979
0,-1.354104,-2.990099
0,-2.032817,-5.101623
0,2.857329,10.238369
0,0.514174,0.870508
0,0.210239,-1.264645
0,-0.424047,-1.632356
0,0.387531,-0.605487
1,-0.399524,0.489312
0,-0.186904,-2.315286
0,1.023545,2.438706
0,-0.471630,-3.709362
0,1.515416,3.465158
0,-1.415947,-3.583607
0,2.074407,4.770041
0,-1.780442,-1.446494
0,0.899158,2.470915
0,1.004777,0.627387
0,-1.071342,-0.700981
0,-0.308190,-0.994850
0,2.185915,5.881507
1,-1.278490,-2.520969
0,-0.256070,-1.771274
0,1.938911,6.623448
0,0.956561,3.758696
0,0.373442,0.749432
0,0.200180,-0.371576
0,-0.319892,-1.121864
0,-0.891407,-0.396784
0,0.115537,-1.420422
0,-0.330307,-1.256423
0,2.832616,17.964052
0,1.273879,1.905735
0,1.309744,3.080888
0,1.326388,1.245699
0,2.578671,11.435122
0,3.128878,14.382954
0,-0.852586,-3.926387
0,0.977785,4.245961
0,-0.617308,-2.408889
0,-2.284517,-3.912082
0,0.073261,-0.035389
0,2.512889,9.663792
0,1.222715,5.393794
0,0.316307,-0.668675
0,0.758152,5.029033
0,-0.469272,-0.854548
0,2.418434,13.713487
0,-0.056423,1.249681
0,-0.677584,-3.556266
0,0.416110,3.369556
0,-1.622485,-3.572909
0,-0.462508,-1.772309
0,0.378968,-0.248643
0,3.133289,13.442490
0,-0.092484,-1.632594
0,-0.602526,-4.003338
0,2.535030,8.637052
0,-0.460901,-3.288713
0,1.811669,5.158770
0,1.529143,3.692195
0,0.596325,2.286894
0,-1.292541,-6.734385
0,3.309136,11.134109
0,-0.131937,-2.797430
0,-0.725249,-2.054034
0,2.209485,5.417721
0,1.016614,3.431597
0,1.825655,7.131280
0,-0.357567,-2.594353
0,0.112431,-2.118855
0,0.227957,0.048514
0,-0.573965,4.305485
0,-0.136428,1.276087
0,0.715610,1.946932
0,2.491536,8.254869
0,2.922285,10.857391
0,-0.836354,-3.093466
1,-1.936036,-0.281120
0,-0.330592,-1.955167
0,0.643181,1.916006
0,2.491782,8.387067
0,-1.250530,-2.308427
0,0.768003,1.369858
0,0.710968,3.999229
0,-0.488687,-3.579514
0,-0.164509,1.612604
0,1.594995,3.051440
0,1.017735,2.375051
0,-0.687312,-2.167235
0,-0.056517,-1.830900
0,-0.337436,-2.229397
0,0.667692,1.434067
0,-0.390453,0.391157
0,-1.197109,-2.842900
0,0.738964,4.806683
0,0.246221,0.746008
0,-0.576498,-1.204592
0,0.333664,-0.465707
0,-0.264847,1.583820
0,0.225053,-0.283633
0,-0.127596,-1.809307
0,0.678944,2.028926
0,-0.111678,-2.693122
0,1.035058,6.147219
0,-0.481487,-3.063038
0,0.290749,-0.469118
0,-0.456181,-1.695671
0,3.145277,11.223686
0,-0.541409,-1.840894
0,3.129631,11.098027
0,0.440633,-0.680607
0,1.296159,2.130946
0,-0.627375,-2.925892
0,0.804160,0.908124
0,0.822483,-0.243571
0,-0.787049,-1.355364
0,0.599513,0.192568
0,-1.077901,-2.528117
0,0.471338,0.592569
0,-0.245148,-2.345376
0,0.819622,1.188848
0,0.932924,0.120339
0,0.498464,-1.612786
0,0.110170,-1.284796
0,0.367983,1.820342
0,0.622319,0.603123
0,-0.775687,-2.212043
0,-0.333748,-1.385160
0,-1.005291,-1.341261
0,-0.778417,-2.342034
0,-0.229124,-2.439963
0,2.404151,6.021551
0,1.239711,4.030722
0,1.716380,4.112528
0,2.859671,6.869925
0,-1.157006,-1.364590
0,-0.538192,-1.767455
0,2.703969,8.023042
0,-0.774165,-2.890397
0,0.404846,0.593493
0,0.316501,-0.717645
0,-1.049880,-1.471973
0,-0.254157,-0.797874
0,0.684522,0.484618
0,2.167762,5.229730
0,0.425852,-0.582567
0,2.087195,20.018371
0,-0.265851,-0.429574
0,-1.171795,-0.986240
0,-0.495600,-1.588056
0,-0.359373,-1.399825
0,0.426602,0.921363
0,0.519769,1.400033
0,2.022646,10.960423
0,0.311962,0.094943
0,0.176515,0.661046
0,0.611558,2.852787
0,-0.064730,-1.920659
0,-0.846374,1.163867
0,1.208840,5.562693
0,0.533439,-0.464770
0,-0.252918,-2.881580
0,-1.054846,-2.666920
0,0.075138,-2.374723
0,-0.917170,-2.499752
0,-0.478761,-2.775729
0,-0.783749,-2.547631
0,-1.445679,-4.513590
0,-0.361662,0.900279
0,1.369901,6.221741
0,0.965488,2.066227
0,0.103838,-1.605084
0,-0.502626,-2.123605
0,0.306081,1.679501
0,0.987197,4.121937
0,1.089940,2.576709
1,-0.898820,-3.527103
0,0.992163,0.381879
0,-0.603412,-1.937857
0,1.621783,12.298879
0,-1.468766,-3.831376
0,-0.329324,-1.453117
0,1.414494,3.296190
0,-0.830451,0.424193
0,0.787751,1.240588
0,0.274829,0.338190
0,-0.584899,-3.474878
