y,rr,eta
0,-0.196318,6.178893
1,-4.057156,-2.096251
1,-1.994659,0.937060
1,-1.973442,1.334069
1,-0.372775,5.231943
1,-4.316632,-3.813300
1,-4.057156,-2.096251
1,-1.630755,1.899001
1,-0.510164,5.961993
1,-3.792762,-6.129977
0,-0.811607,0.312374
0,-4.239237,-3.780003
0,-3.773554,-1.495957
0,-0.549662,1.338666
0,-1.211231,-1.150546
0,-1.345112,1.629620
0,-2.949960,-7.762094
0,0.522359,6.120785
0,0.040154,6.065678
0,-2.927188,2.330499
0,-2.109456,-2.829351
0,0.029407,5.860808
1,0.788231,11.085866
1,-4.314678,-1.935381
1,-5.425829,-5.117213
1,-2.507277,0.123393
1,-4.057156,-2.096251
1,-3.182856,1.343608
1,-2.927188,2.330499
1,-4.057156,-2.096251
1,0.588104,5.849347
1,-2.712178,0.792584
1,-4.239237,-3.780003
1,-3.852447,-1.064260
1,-3.773554,-1.495957
1,-3.363149,-2.511060
0,-0.362438,3.708457
0,-4.289565,-3.042938
0,-1.660661,1.823374
0,-0.045318,3.876711
0,-1.169738,4.062578
0,-0.246665,1.136515
0,-0.731249,8.854592
0,-3.485999,-0.132908
0,0.169584,10.981534
0,-1.131365,-0.782851
1,-1.609880,4.502403
1,-2.435411,1.447681
1,-3.852447,-1.064260
1,-3.485999,-0.132908
1,-3.773554,-1.495957
1,-1.449766,4.705685
1,-4.057156,-2.096251
1,0.572319,8.060578
1,-3.773554,-1.495957
1,-4.553040,-4.376440
1,-4.057156,-2.096251
1,-4.594591,-4.189714
1,-4.453466,-0.702953
1,-3.313134,-4.673949
1,-5.316581,-4.637440
0,-2.949960,-7.762094
0,-3.773554,-1.495957
0,-1.398909,2.548909
0,-1.414747,-1.512868
0,-3.971022,-1.787426
0,-3.095426,-9.698767
0,-1.452717,4.417026
0,-2.183694,0.530964
1,-2.194204,1.777893
1,-1.174256,5.806794
1,-3.861568,-0.032880
1,-2.338655,10.629810
1,-2.646605,-0.039600
1,-4.914329,-5.203646
1,-2.031376,-2.511251
1,-4.293769,-1.560106
0,-3.363149,-2.511060
0,-3.802499,-5.608606
0,-2.515823,1.861001
0,-3.199046,-3.706393
1,-0.269891,4.919401
1,-2.405391,0.772881
1,0.691355,1.903725
1,0.339100,5.000305
1,-1.728491,-0.925246
0,-2.769891,-0.184437
0,-1.954996,-0.378279
0,-1.856138,-2.936095
0,-0.166811,5.276802
0,-0.092450,-1.701547
0,-0.417378,-2.769001
0,-3.803978,-8.412268
0,-1.187450,4.550914
0,1.000282,1.792488
0,1.167649,2.419276
0,-0.824123,-2.399057
0,-2.631662,-4.631433
0,0.912797,0.097499
0,1.140889,1.543261
0,-0.415335,-2.130506
0,0.091498,-0.687934
0,-0.219885,-1.580425
0,-0.133422,0.406037
0,0.691355,1.903725
0,0.254223,2.435056
0,0.571961,-0.823485
0,-0.004438,-2.986130
0,-0.859902,-3.414558
0,1.515633,3.557100
0,-0.651407,-2.198929
0,-0.219885,-1.580425
0,-1.351964,-5.327623
0,-1.602810,-4.492505
0,1.374964,4.714419
0,1.480048,3.455265
0,-1.468053,-5.790384
0,0.533172,-0.505657
0,-0.661398,-2.699229
1,-1.933717,-1.493885
1,0.390029,2.478419
1,-0.090403,4.292869
1,-0.364834,-0.266999
1,-0.357455,7.653749
0,0.628055,0.561864
0,-2.010300,-5.248269
0,0.691355,1.903725
0,1.468173,5.075821
0,-0.253505,0.943858
0,-0.634470,-5.083130
0,1.222103,2.073991
0,0.471644,-0.255170
0,0.132373,4.527879
0,-1.817101,-0.274968
0,-4.203947,-7.559128
0,0.786478,4.034763
0,0.460554,1.833063
0,-1.966890,2.324121
0,-0.004383,0.593540
0,0.042615,1.621271
0,0.038854,-0.444077
0,-2.480802,0.512623
0,-0.581628,2.686629
0,1.374964,4.714419
1,-2.480802,0.512623
1,0.051748,4.237789
1,-1.358592,-3.389811
0,0.926180,1.321305
0,-0.859011,1.477709
0,1.025510,1.647067
0,-0.850722,-0.117826
0,-0.417378,-2.769001
0,-0.518574,-0.003887
0,0.996223,2.110807
0,-1.461541,-6.169037
0,0.367769,8.947571
0,0.629172,0.694703
0,-2.032627,-5.115816
0,1.515633,3.557100
0,-0.775874,-2.986894
0,-0.042376,0.344139
1,0.970134,0.433034
1,-2.022484,-0.321766
0,-0.781486,-3.481221
0,0.691355,1.903725
0,0.460554,1.833063
0,1.480048,3.455265
0,0.302065,1.993754
0,-0.080998,-1.853529
0,0.765310,11.374945
0,-0.224978,0.755727
0,0.578839,0.977497
0,0.938663,4.991386
0,0.182241,-1.875481
0,1.510679,3.442059
0,-0.578299,-2.058919
0,0.758519,0.498583
