y,rr,eta
0,-0.189515,3.353489
0,0.739972,2.788265
0,0.846218,5.289041
0,1.293563,4.428088
0,0.101345,0.540602
0,-1.719097,-2.951421
0,-0.143110,0.237727
0,-0.312326,0.247617
0,1.419741,3.781341
0,-0.215113,-1.917354
0,0.378640,0.091295
0,0.649651,1.918702
0,-0.716353,-2.040887
0,0.301849,0.090851
0,-1.318665,-4.067320
0,1.334067,3.322524
0,0.114222,-2.465770
0,-0.200780,-3.060952
0,0.905322,1.885957
0,-1.086694,-5.159214
0,-0.639735,-2.258885
0,-1.099415,-3.860356
0,-0.773293,-4.555742
0,-0.923410,1.133556
0,1.043291,3.788714
0,-0.492099,-1.211237
0,-1.556803,-3.728796
0,-0.461029,-1.384821
0,-0.828744,-4.123440
0,-0.563983,-3.070051
0,0.411607,1.589112
0,-0.612206,-2.674636
0,0.066019,0.617364
0,-0.796397,-1.378942
0,0.853230,2.984912
0,0.055960,1.826499
0,-0.686984,-4.033045
0,-0.984575,0.270207
0,-1.003227,-3.379498
0,-0.816257,-1.272540
0,0.539805,0.898907
0,-1.872075,-4.976019
0,0.842961,2.843379
0,-1.380908,-4.242859
0,-1.613938,-4.838346
0,-0.016742,-0.579957
0,0.936337,3.628215
0,1.163087,7.665661
0,-0.625780,-0.565100
0,0.114833,1.318430
0,-0.496306,-0.956620
0,-0.263590,-1.328174
0,-0.412967,-1.343262
0,0.221205,-0.078480
0,-0.394426,-1.875062
0,-0.088164,-0.647239
0,-1.342657,-6.814642
0,0.302209,5.359789
0,-0.903315,-1.207155
0,-0.154774,-1.834256
0,1.247656,1.138230
0,0.589698,2.178038
0,-1.485560,-5.766404
0,0.592404,1.333649
0,-1.724332,-0.428068
0,0.376332,0.800643
0,-0.091837,-1.094981
0,-0.248801,-2.427018
0,-0.228553,0.931047
0,1.252125,3.124048
0,0.851744,4.426464
0,0.100618,3.663124
0,0.502105,4.189184
0,0.191297,0.531405
0,1.166569,6.754166
0,0.381487,1.281750
0,-0.453687,-1.294711
0,0.561775,6.478303
0,0.225057,-1.865808
0,0.775935,4.078462
1,0.256042,-0.247371
0,0.438396,1.550053
0,0.710382,2.675684
0,-0.460733,-2.380645
0,0.183822,-0.392963
0,1.071070,2.567161
0,-1.340115,-1.163856
0,0.444858,2.840188
0,0.395888,1.612979
0,-0.629302,-4.088885
0,-0.628696,1.677476
1,-1.104911,-1.806175
0,-0.006594,3.191706
0,-0.031443,2.098884
0,-1.087909,-2.555919
0,1.304866,5.042806
0,0.083604,2.887563
0,1.079336,3.070978
0,0.456717,6.312820
0,-0.768642,0.264022
0,0.718445,7.850300
0,-0.344707,-1.527482
0,0.544766,1.350370
0,0.836547,2.781433
0,-0.900542,-3.590502
0,0.032586,-1.007214
0,0.370871,0.326665
0,-2.343589,-7.253141
0,-0.529124,-1.104592
0,-0.379093,-1.614607
0,1.108537,2.833202
0,-0.447276,-0.316177
0,-0.662478,-0.269158
0,0.076123,-2.417211
0,-1.887255,-4.772155
0,-0.085031,-2.251623
0,-0.029788,-0.632027
0,-0.420955,-0.454860
0,0.156865,2.423152
0,0.023377,-0.320669
1,0.035045,2.481812
0,-0.965209,-1.252113
1,-0.559451,-2.058923
0,0.380347,1.090711
0,0.527248,6.493040
0,1.108091,5.389851
0,1.163112,2.430697
0,-0.117470,-0.651116
0,1.405643,3.214439
0,-0.478819,-3.205211
0,0.010373,1.300635
0,-0.315814,-1.298034
0,0.270039,-0.544038
0,-0.439819,-3.930482
0,-0.815713,-1.526785
0,1.375277,2.517454
0,0.209812,0.556853
0,0.672655,3.909266
0,0.679741,3.768879
0,0.362952,1.623901
0,-0.812465,-2.913610
0,-0.924852,-3.088681
0,-0.263791,-1.799501
0,-0.847343,-3.248286
0,0.670965,2.219058
0,-0.426049,0.601599
0,-0.302260,-2.234435
0,0.545677,1.623958
0,-0.684272,-3.101064
0,0.714636,1.619014
0,0.790786,2.443227
0,0.584981,1.550589
0,-0.750579,-1.245990
0,0.079167,1.058007
0,-0.631573,-1.572784
0,1.342939,5.152522
0,-1.885779,-6.247877
0,-1.196608,-5.554088
0,0.080257,-0.106267
1,0.482243,0.069682
0,-0.629108,-0.978933
0,1.081323,3.296441
0,-0.292255,-0.003676
0,-0.935532,-4.129683
0,0.922629,5.112233
0,-0.025904,-1.293584
0,0.669820,2.849273
0,-0.449112,-1.941664
0,0.714438,3.278842
0,0.675076,2.618513
0,-0.037006,-1.023873
0,-0.297407,1.309937
0,0.458008,0.268808
0,-1.934668,-7.728452
0,0.271814,-1.746958
0,-0.933876,2.582844
0,1.392364,3.321813
0,0.769511,2.578317
1,1.086047,2.927977
0,1.070803,3.335149
0,-0.357503,0.003311
0,-1.511120,-4.545497
0,-0.555623,-3.002155
0,-1.401331,-5.410821
0,-0.098975,1.807440
0,1.241038,3.034696
1,0.500395,2.231503
0,1.006490,2.350562
1,-0.624527,-2.087764
0,1.016985,3.727946
1,0.782392,4.213274
0,0.426656,3.058001
0,-0.119777,-0.123325
0,-1.286303,0.669658
0,0.918410,1.675219
1,0.677704,2.281720
0,0.338555,1.373528
0,-0.871959,-5.522506
1,0.674491,0.462691
0,-0.918513,-2.065980
0,-0.200831,-2.105989
0,0.505343,1.417587
0,-0.560086,-1.796169
0,-0.629245,0.093880
0,-1.141885,-4.702161
0,0.791216,1.374163
0,0.585860,12.151445
0,0.753135,3.359572
0,-0.987996,-2.726816
1,1.349924,4.077800
0,1.187928,2.239619
0,0.000000,1.293393
0,-1.892845,-5.904770
0,-0.914684,-4.453196
0,-0.141887,-0.424657
0,-0.405866,-2.382714
0,0.438493,2.113898
0,-0.735274,-3.362033
0,-0.287716,2.494673
0,0.098572,0.312655
0,-0.547061,-1.248576
0,-0.843493,-5.019167
0,0.775152,4.702268
0,0.767311,4.850676
0,-1.842821,-5.887891
0,-1.093526,-4.750755
0,0.230796,-0.810171
0,-1.790225,-2.530620
1,-0.209516,0.416076
0,0.067769,2.833930
0,-0.773574,-2.142102
0,-1.618356,-6.520499
0,0.231860,-0.701735
0,-1.530619,-5.368631
0,1.096796,2.984951
1,0.327131,5.334633
0,0.371068,0.791773
0,-0.489289,-2.006157
0,0.612069,2.082533
0,-0.192562,0.670017
0,0.700401,3.928915
0,0.301566,0.418821
0,-1.778553,-5.285556
0,0.238150,0.341464
0,0.376169,-0.129293
0,-1.144069,-4.448648
0,0.762080,4.178783
0,-1.818339,-5.051939
0,-0.916234,-1.903978
0,1.256293,3.089648
0,0.626604,1.386133
0,0.346878,4.339685
0,1.368995,2.559598
0,0.137994,-0.867777
0,0.348987,-1.891704
0,0.454530,1.856672
0,0.610308,2.057900
0,0.717471,-1.063070
0,0.786219,1.117791
0,-0.925038,-2.324751
1,0.754905,2.959962
0,0.629822,3.673381
0,-0.815535,-3.795697
0,1.301751,5.945340
0,1.262970,6.922882
0,0.571100,1.224778
1,0.914636,3.898709
0,-1.311738,-3.190573
0,-0.740103,-2.518004
0,-0.693199,-0.416810
0,0.634197,1.569481
0,-0.895935,-1.170844
0,0.231626,-1.456872
0,-1.857668,-5.395316
0,-1.250119,-4.685728
0,-1.870831,-7.478806
0,-1.794323,-6.444342
0,0.361617,2.690137
0,0.156298,0.623100
0,-0.769903,-2.970375
0,0.313315,0.756392
0,-0.261413,-2.765617
0,0.580645,1.168194
0,0.007875,-0.134769
0,0.087995,-1.556698
0,0.175033,-0.161113
0,-1.752698,-6.991988
0,0.808105,2.791822
0,-1.785385,-6.646746
0,1.365275,2.606554
0,-0.452793,-1.503720
0,0.558442,3.504800
0,0.226033,1.331705
0,-0.897611,-3.120167
0,-1.845131,-6.846218
0,0.043576,3.670383
0,-1.310616,-3.336871
0,0.250678,-2.767132
0,-0.428888,-2.690734
0,0.017043,1.363549
0,-0.382170,-3.339658
0,-0.695852,-2.211237
0,-0.908716,1.954476
0,0.165139,0.707460
1,-1.838301,-5.704548
1,0.187548,3.026545
1,0.150178,2.492609
0,-0.879461,-4.043456
1,0.991759,6.286920
0,1.089735,4.165113
0,-1.557074,-6.968824
0,1.041337,3.819438
0,1.291079,2.468221
0,-1.379506,-3.882807
0,-1.297224,-3.283693
0,-2.592837,-7.886290
0,-1.786107,-5.387835
0,-2.236032,-7.322492
0,0.517135,-0.528101
0,0.868497,4.580990
0,0.323483,-0.126885
0,1.359483,2.125226
0,0.346418,4.784921
0,-1.220764,-5.949589
0,-1.049824,-4.413618
0,1.149258,5.470589
0,1.431578,5.029117
0,1.039100,2.382256
0,-0.384493,-1.067025
0,-0.008335,0.559294
0,-0.122948,7.155882
0,-0.686978,-3.626381
0,-0.172568,-0.889267
