y,rr,eta
0,0.362093,2.166120
0,1.431259,0.869233
0,-1.218935,-0.131419
0,-1.809305,-2.479020
0,1.090300,1.506021
0,0.599639,2.043037
0,1.617088,5.582810
0,-0.915912,-0.390701
0,-0.370330,-1.020200
0,-0.052223,0.817541
0,0.537201,3.931806
0,-1.387653,1.993404
0,-0.055650,-3.169913
0,-1.998461,-4.155353
0,-0.229913,1.332871
0,-1.073416,-0.422162
0,0.287547,0.862869
0,-0.198227,4.793079
0,0.323348,0.879457
0,0.098803,-1.034950
0,-0.361641,-1.524423
0,-0.468982,4.523376
0,0.151882,2.326205
0,-1.866368,-2.598756
0,0.707364,2.162695
0,0.987333,0.879774
0,-1.542126,-2.062811
0,-0.058414,-1.925905
0,0.088592,-0.992173
0,0.659647,1.677108
0,-0.249611,-0.384518
0,1.041754,4.214446
0,-1.084959,-0.125083
0,0.425146,3.006250
0,0.026525,-0.185336
0,0.526247,7.776493
0,0.492668,-0.936731
0,-0.080509,-0.229576
0,0.859142,1.313991
0,1.517494,3.743738
0,1.373253,5.184037
0,-0.265436,-1.545689
0,0.451248,1.843038
0,-0.081953,0.964617
0,0.833339,4.349940
0,-0.701274,-2.360132
0,1.005069,3.915738
0,-1.408101,-3.976797
0,-0.023704,-1.008336
0,-0.418975,-2.662882
0,-0.862701,-3.315305
0,0.409899,1.148434
0,1.591671,4.752580
0,0.108400,0.690563
0,1.391717,4.205932
0,0.002504,2.539953
0,-0.703389,-1.173101
0,0.320662,-1.221669
0,-0.078364,2.243038
0,-1.769703,-5.944333
0,1.395486,7.100733
0,-0.560147,1.544891
0,-0.769272,-0.463413
0,1.521448,4.949280
0,0.465907,5.320018
0,0.851129,2.643736
0,-0.553903,-1.688169
0,-0.961637,-3.894691
0,0.999822,5.567017
0,0.187744,2.384813
0,1.164702,3.659912
0,-0.234995,2.669859
0,-0.694369,2.454004
0,-0.820792,0.103573
0,-0.955122,-2.871877
0,1.101490,1.678301
0,-0.845644,-3.706646
0,1.589944,7.655679
0,0.308556,-0.061825
0,0.049855,-1.694809
0,0.089068,-1.873931
0,-1.523188,1.050576
0,1.582560,5.707864
0,0.666390,1.162773
0,0.239644,0.311514
0,0.720847,2.561875
0,0.037156,-1.845952
0,-0.964596,-2.680184
0,-0.320440,1.038177
0,0.058870,-0.730719
0,-0.070464,-4.366500
0,0.391239,2.235802
0,0.141531,1.108570
0,-0.329176,-1.619543
0,-1.031741,-2.252626
0,0.254271,1.734109
0,-0.247774,0.191324
0,1.045797,3.432430
0,-0.671109,-4.731924
0,0.330303,0.574671
0,0.674871,1.021339
0,2.340806,7.199073
0,0.957495,1.543700
0,0.915435,2.472262
0,0.422777,0.727341
0,0.530804,1.959872
0,0.034948,0.689488
0,-0.159522,0.948189
0,1.594565,5.987009
0,0.407035,2.846326
0,-0.237321,-0.582900
0,-1.516671,-5.644904
0,1.320189,5.429640
0,-0.716784,1.073406
0,-0.331081,-1.693711
0,0.233885,-0.378858
0,0.519040,1.823837
0,1.336963,7.231068
0,-0.737435,-3.251853
0,-0.258506,-0.528782
0,0.511331,-1.263950
0,0.712678,2.021912
0,0.331063,1.075840
0,-1.447338,-6.871126
0,0.759830,0.361004
0,0.845574,7.189231
0,-0.523067,-0.810184
0,0.309684,-1.572321
0,-0.751609,-4.374198
0,-0.858617,-3.663045
