y,rr,eta
0,0.662012,-0.662064
1,-2.004229,-7.511329
0,-2.694174,-8.666471
0,-2.258613,-7.506562
0,-2.459448,-7.630155
1,-0.112018,-0.157784
0,-2.728557,-8.577743
1,0.608843,0.340784
1,-0.428841,-1.405991
1,0.399792,0.532658
0,-0.291724,1.387445
1,0.011919,-0.824352
0,0.208242,-0.375829
1,0.304781,-0.975201
1,0.122733,-0.961382
1,-0.299605,1.360238
0,-0.808986,-2.842152
1,0.729324,6.903912
0,0.247284,0.422266
1,-0.975239,-3.186314
0,-2.611282,-8.581558
0,-1.098966,-3.895714
0,0.043061,-0.282002
0,0.587332,1.441725
0,-2.673753,-8.854774
0,-2.485668,-9.414524
0,-2.874804,-10.498909
1,-0.868882,-3.519081
0,-0.178059,-1.133707
0,-2.236156,-8.518267
0,-2.556759,-8.140914
0,-0.710035,-3.280620
1,-1.384697,-5.845121
0,0.206949,0.677418
0,-2.567571,-9.174237
0,-0.077009,-0.698099
0,0.709088,1.596863
0,0.616736,0.926508
0,-1.987811,-3.721830
0,-1.610830,-6.927947
0,-2.467954,-8.860676
0,-0.379691,-2.189525
1,-0.319979,-2.863494
1,-1.309639,-5.683374
0,-0.488331,-3.254971
0,-2.025344,-7.412552
0,-1.939977,-6.460940
0,-2.176117,-8.453446
0,0.255685,0.480310
0,-1.802719,-6.492806
0,-2.613861,-9.424536
0,-0.439050,-2.568609
0,-2.549403,-8.756066
0,-2.539477,-7.916003
0,-2.410347,-8.180521
0,-2.489679,-8.052127
0,-2.636530,-8.503702
0,0.173840,-1.312219
1,-2.074541,-7.325358
0,-2.742128,-10.093210
0,-1.599795,-5.676527
0,0.438176,0.887622
0,-2.675868,-8.885291
0,0.640034,1.229769
1,0.436647,1.178835
0,-0.692988,-3.936787
0,-2.029509,-7.224261
0,-0.482154,-1.308416
1,0.729324,6.903912
0,0.729324,6.903912
0,-0.264582,-1.118965
0,0.729324,6.903912
0,0.729324,6.903912
1,0.389707,2.245070
0,0.252042,-0.228927
1,-2.566610,-8.133947
0,-1.068639,-3.864874
0,-1.895683,-6.802897
0,0.256825,-0.595009
1,-0.888727,-4.094594
1,-0.158679,-0.971846
0,-0.593942,0.020430
0,0.133496,-0.775801
0,-0.712570,-4.482103
0,-1.976682,-8.294916
0,-2.540694,-8.221743
0,-2.016475,-6.144223
1,-1.046481,-3.619011
0,-0.884931,-4.899077
0,-2.730712,-10.510072
0,-2.690203,-8.407471
0,-2.611478,-8.523528
1,-0.932502,-3.340517
1,0.574938,2.089087
0,-0.052837,-1.517425
0,-2.081186,-7.846724
1,0.322492,-0.694002
0,0.268973,-0.463123
0,-2.750921,-8.568810
0,0.050353,0.358732
0,-0.785600,-2.278294
0,-2.633974,-8.452627
0,-2.025223,-7.526257
0,-2.602359,-8.525988
0,-2.613406,-8.316508
0,-0.203721,-1.078059
0,-2.565932,-8.325284
0,-2.575563,-8.336408
0,-0.561369,-3.048847
0,-1.642868,-5.023558
0,-1.646587,-6.887666
0,0.665837,2.727986
0,-0.124403,-2.235381
1,0.257672,-1.271002
0,-2.043418,-7.694144
0,-2.381459,-8.710976
0,-0.216315,-0.866584
0,-1.227451,-3.657923
1,-0.310862,-0.819203
0,0.385389,-0.500551
1,0.729324,6.903912
1,-0.043071,2.029792
0,-1.661445,-4.190200
1,0.392167,1.504750
1,0.474030,0.284095
0,0.267475,-1.111269
0,-0.587385,-0.717218
1,0.443203,1.393925
1,-1.807184,-5.342842
1,0.662841,2.018509
1,-0.772395,-4.129781
1,0.729324,6.903912
0,-0.434693,-1.294088
0,0.729324,6.903912
0,-0.445820,-1.314229
1,0.218562,1.492273
1,0.696030,0.104041
0,0.495426,0.563508
1,0.249588,0.679054
1,-1.006466,-3.340996
0,-0.069611,-1.205569
0,0.412334,-0.833310
0,-1.786211,-5.486940
0,-2.554869,-7.876898
0,-3.197848,-9.842319
1,-0.395148,-2.744217
1,0.422637,0.934183
0,-1.547448,-4.187962
0,-0.053588,-1.555621
0,-2.538039,-8.864954
0,-0.906764,-3.898081
0,-2.512117,-8.291020
0,-2.015832,-6.541611
0,-2.569049,-9.441008
0,-0.562750,-3.796093
0,-0.115148,-0.907090
1,-0.362645,-0.561448
1,-2.354498,-9.623174
0,0.123714,2.096612
0,-2.876751,-10.388535
1,0.219056,2.276564
0,-0.781121,-4.390587
0,-2.829329,-9.424551
0,0.545578,2.182237
0,-1.397021,-5.710984
1,-0.292465,-2.832866
0,-0.277038,-1.654681
0,-2.680080,-8.936924
0,-2.569934,-7.952192
0,-1.487893,-4.714383
0,-2.685816,-8.568792
1,0.339855,-1.521390
0,-2.439248,-8.089594
0,-1.895682,-4.075639
0,-2.612325,-8.270586
1,-2.906016,-9.383043
0,-1.517855,-5.726242
0,0.003427,-1.579190
0,0.503325,0.431961
0,0.519180,0.927137
0,0.103255,1.211808
0,0.620953,1.511172
0,-2.705343,-9.811680
0,-0.122145,-1.097031
1,-0.366577,-1.785288
1,-0.213558,0.606781
1,0.729324,6.903912
1,-0.332219,-2.576298
1,-1.438936,-6.128608
1,0.729324,6.903912
1,0.354247,1.696951
0,-1.981836,-5.464437
1,0.317589,-0.320139
0,-0.479576,-1.147351
0,-2.680254,-8.645902
1,-0.220788,-1.248038
0,0.455908,1.255350
1,-0.194874,-0.962206
1,0.489511,1.167280
0,-2.647770,-9.400647
0,-0.943597,-3.067829
0,-2.702028,-8.944555
0,-0.835693,-4.440968
1,-0.012342,-2.155019
0,0.239492,0.890243
1,-1.624866,-6.733891
0,-2.678229,-8.165576
0,0.211697,-1.137753
0,0.729324,6.903912
0,-2.704952,-9.157256
1,-0.021264,0.206015
0,-2.690717,-9.725916
0,-2.525713,-9.816362
0,0.029967,-1.120675
0,-2.594155,-8.338734
1,0.729324,6.903912
0,0.625701,1.011576
1,-2.554625,-9.200764
0,-0.934796,-3.035001
0,-1.978704,-6.898020
0,-1.064062,-4.917319
1,-2.443105,-7.947279
0,-2.750979,-8.918805
1,-0.018737,-1.576555
1,0.729324,6.903912
0,0.427147,3.292628
0,-0.670527,-2.188921
0,-2.745849,-9.014799
1,0.386419,0.805052
0,0.455458,-0.500253
1,-2.051716,-8.164981
1,-0.718115,-3.810540
0,0.448094,0.340609
1,0.604205,0.308865
1,0.279828,-1.031985
0,0.729324,6.903912
0,-0.686566,-4.077810
0,-1.637955,-5.641859
0,0.677400,1.167763
0,-2.779445,-8.837563
0,-1.607959,-5.067267
1,-2.631918,-9.748220
1,0.729324,6.903912
0,0.178581,-0.325914
1,0.729324,6.903912
0,-1.941520,-7.539156
0,0.278004,-1.260912
0,-0.845397,-2.955815
0,-2.710977,-9.455638
0,-0.551056,-2.096670
0,0.729324,6.903912
1,0.411820,0.235415
0,-0.364187,-2.190498
0,0.318834,0.266179
0,-0.016428,-0.997994
0,-0.072528,-0.633301
0,-0.709521,-3.781862
1,-1.094163,-4.702215
0,-0.980392,-4.660406
0,-2.684140,-8.379828
0,0.729324,6.903912
0,-1.463626,-6.074791
0,-0.464690,-0.887548
1,0.729324,1.396633
0,-1.021168,-3.926936
0,-2.484792,-7.484792
0,-0.254779,-1.062589
0,0.729324,6.903912
0,-2.205972,-7.870008
0,0.021757,-1.344450
1,-0.606594,-3.952209
1,0.462264,0.004791
0,-1.154034,-5.487592
0,-2.712977,-8.244727
0,-1.431697,-5.289008
0,0.216013,2.328475
0,-1.344933,-5.414759
1,-0.402099,-2.022614
0,-1.592881,-6.594036
1,-1.797867,-5.746144
0,0.285891,-0.668080
0,0.403099,-0.465746
0,-2.119395,-7.979253
0,-2.856644,-9.036614
0,-1.568941,-6.138034
0,-1.975854,-7.237817
0,0.454359,0.089145
0,0.067609,-1.430238
0,0.487362,-0.117288
0,-0.499514,-2.610228
1,-1.255953,-5.977571
0,-2.716570,-8.845223
0,-0.853743,-3.911424
0,-1.185942,-5.846777
0,0.432339,-0.032556
1,0.729324,6.903912
1,-2.446624,-9.166143
1,-0.907974,-4.318672
0,-2.294283,-8.350976
1,-1.482209,-4.245586
0,0.729324,6.903912
0,-2.574079,-8.561154
0,-2.505924,-8.693901
0,-2.482789,-8.802530
0,0.729324,6.903912
0,0.668435,0.120292
0,0.102717,-0.406039
0,-0.032564,-0.836201
0,-2.638610,-9.725130
1,0.641180,-0.196451
0,-1.747512,-7.523599
0,0.539069,-0.031724
0,-2.601349,-8.851139
1,-1.922734,-6.882629
0,-1.568803,-6.369142
0,-0.843142,-2.294699
0,-2.170519,-8.012969
0,-0.868829,-2.521323
0,-1.612965,-6.581664
0,-1.328450,-5.084731
0,-1.338314,-4.654873
1,-1.450808,-4.490414
0,-2.745849,-9.014799
0,0.334736,0.172652
0,-0.254228,-2.584661
1,-2.796796,-9.525383
0,-1.598672,-7.069603
0,-1.120595,-4.922544
0,-2.697710,-10.048519
0,-2.440320,-8.671000
0,-2.621549,-9.470792
1,0.729324,6.903912
1,-0.076679,-1.061453
0,-1.258688,-5.055740
1,0.293126,-0.268582
0,-1.201103,-5.010775
1,-0.269582,-0.811286
1,-1.758305,-6.185422
0,0.114005,3.020898
0,0.106891,3.599356
0,-0.002568,-0.797582
1,0.060396,-1.484853
0,0.024489,-1.956802
0,0.540636,0.772871
0,-2.490877,-7.554734
0,-1.132373,-5.000814
1,-2.028335,-8.367892
0,0.127038,-0.131138
0,-1.801948,-6.978852
0,-1.593098,-7.052362
0,-2.606374,-9.076784
0,0.258428,0.040708
0,-0.521314,-3.274307
0,0.504215,2.365290
0,0.082089,-0.850946
0,-2.646661,-8.576518
1,-1.349760,-5.597808
0,-1.942149,-7.136583
0,0.012584,-0.238084
0,0.300299,-0.648520
0,-0.787972,-2.519751
0,0.212990,-0.813877
0,0.171353,-0.830604
1,0.118070,-1.065072
0,-2.613182,-9.613767
1,-0.440754,-2.812853
0,-2.003817,-6.438338
0,0.395004,0.839830
0,-0.390641,-3.177869
0,-1.357662,-5.755030
1,-2.830050,-8.916916
0,-1.125956,-3.284645
0,-0.828429,-3.999469
1,0.268746,1.786647
1,0.729324,6.903912
0,0.169049,-1.413513
1,0.729324,6.903912
1,-1.179119,-2.353508
0,0.729324,6.903912
1,0.117195,2.828321
0,0.000000,-1.280877
1,0.729324,6.903912
1,-0.322825,-1.067894
0,-2.634925,-8.354156
0,-1.949316,-6.047610
0,0.153373,-0.657186
0,-2.038006,-7.222159
0,-2.919966,-10.813776
1,0.206113,1.814632
1,-1.078582,-5.545534
0,-2.493162,-8.494055
0,-0.981087,-2.214993
0,0.729324,6.903912
0,-0.852816,-4.637939
1,-2.391887,-8.820446
0,-1.481081,-6.414304
0,0.729324,6.903912
0,-1.998576,-7.374356
1,-1.829659,-7.230714
0,0.008570,-1.263208
1,-0.314564,-1.123963
1,-0.069846,-1.399715
0,-0.075985,-1.781352
1,0.138973,-0.559489
0,0.403154,0.144746
0,0.076254,3.234707
0,0.729324,6.903912
0,-0.919927,-4.433509
0,0.595523,-0.078348
0,-2.669670,-8.306844
1,0.513485,2.141168
0,0.055105,-0.626798
0,-1.462053,-5.727321
0,-2.578181,-9.999485
1,-2.310732,-7.194888
0,-0.819600,-3.834083
0,0.406710,1.834558
0,-0.198990,-1.789960
0,0.729324,6.903912
0,-0.593894,0.765997
1,0.729324,6.903912
1,0.076254,3.234707
0,-2.779647,-8.845281
1,0.729324,6.903912
1,0.040253,1.074748
0,0.105086,1.514397
1,-1.334228,-5.365083
1,0.517768,4.219363
0,-1.000378,-3.139078
0,0.669386,1.026938
0,0.729324,6.903912
1,0.729324,6.903912
1,0.432058,1.963215
1,-0.124241,0.599080
0,0.103190,3.366013
0,0.729324,6.903912
1,0.106891,3.525487
1,-0.004550,0.720361
0,0.729324,6.903912
0,-2.197627,-4.128740
0,0.345749,2.620457
0,0.637851,0.875155
0,-0.266138,0.218936
0,0.729324,6.903912
0,-1.192575,-5.044632
0,-2.635124,-7.760487
0,-0.347272,-1.800346
0,-0.290499,-0.992264
1,-1.270109,-5.445371
0,-0.035104,-0.355252
0,0.295423,2.102288
0,0.272534,0.619248
0,0.729324,6.903912
0,0.249428,0.794008
1,0.729324,6.903912
1,0.671954,1.587896
0,0.076254,3.234707
0,0.384731,0.100271
0,0.729324,6.903912
0,-1.168124,-5.422064
0,0.457396,-0.640360
0,0.165059,2.386833
0,0.729324,6.903912
0,-2.186560,-6.732071
0,0.257921,3.084555
0,0.528643,1.838438
1,0.123714,2.096612
