"dataset","J","n","npos","rate","AUC_eta","AUC_rr","AUC_Long","AUC_PT","AUC_M0","AUC_M1","dAUC","delong_p","oMCC_M0","oMCC_M1","dMCC","dMCC_lo","dMCC_hi","P_dMCC_gt0"
"warning300",301,812,212,0.261,0.733,0.618,0.636,0.734,0.746,0.752,0.006,0.219,0.347,0.354,0.007,-0.011,0.033,0.845
"smarvus",141,4000,399,0.1,0.833,0.816,0.517,0.834,0.836,0.853,0.017,0.00036,0.422,0.495,0.074,0.032,0.1,1
"opsy_16pf",163,4000,31,0.008,0.682,0.702,0.404,0.684,0.673,0.725,0.053,0.329,0.074,0.108,0.034,-0.01,0.082,0.93
"douglas",50,2071,1659,0.801,0.507,0.489,0.526,0.542,0.534,0.536,0.002,0.787,0.059,0.066,0.007,-0.021,0.032,0.661
"duckworth",50,3874,1009,0.26,0.464,0.5,0.495,0.425,0.573,0.571,-0.002,0.301,0.108,0.104,-0.004,-0.017,0.012,0.308
"krause",49,1783,798,0.448,0.749,0.557,0.662,0.749,0.772,0.774,0.002,0.462,0.469,0.474,0.005,-0.012,0.022,0.644
"alvarez19",6,1887,165,0.087,0.723,0.62,0.685,0.699,0.71,0.714,0.004,0.458,0.315,0.32,0.005,-0.01,0.028,0.622
"ivanov21",41,869,176,0.203,0.771,0.69,0.447,0.813,0.81,0.82,0.01,0.159,0.452,0.493,0.041,-0.001,0.087,0.965
"mastroianni22",100,1004,29,0.029,0.532,0.359,0.499,0.735,0.713,0.718,0.005,0.9,0.168,0.183,0.015,-0.045,0.135,0.79
"moss23",8,2107,213,0.101,0.565,0.291,0.635,0.732,0.71,0.738,0.029,0.087,0.259,0.365,0.106,0.046,0.159,1
"ogrady19",30,358,21,0.059,0.677,0.637,0.596,0.643,0.608,0.635,0.027,0.298,0.154,0.144,-0.01,-0.051,0.097,0.692
"pennycook20",30,853,232,0.272,0.594,0.598,0.491,0.596,0.58,0.58,0.001,0.934,0.159,0.157,-0.002,-0.045,0.031,0.351
