y,rr,eta
0,0.204248,2.277566
0,1.305986,4.228144
0,-0.985901,-2.880364
0,-0.954941,0.535968
0,-1.778105,-7.875633
0,1.521606,5.132932
0,0.182920,0.054068
0,1.066093,8.786608
0,-1.081771,-3.851782
1,1.958557,9.923914
0,-0.954237,-3.805538
0,-0.495905,-2.375103
0,0.736717,-0.025847
1,0.179611,38.773875
0,-0.018682,-0.622778
0,0.715166,0.803675
0,1.539744,6.251787
0,0.768508,3.449863
0,-0.388549,-0.720686
0,-0.839730,-4.891913
0,-0.096600,0.484737
0,-0.671283,-2.080213
0,0.711891,4.769510
0,0.393247,2.156963
0,-0.339283,-2.906390
0,0.736551,5.753067
0,-1.773194,-7.805216
0,-0.242968,-2.425962
0,0.548215,1.260294
0,1.238221,8.197230
0,1.257968,1.944152
0,0.066332,-0.491577
1,1.661355,5.929600
0,-0.881426,-3.150847
0,1.339338,4.926791
0,-0.520627,-2.688497
1,1.900977,9.831909
0,1.540918,3.794862
0,2.326551,9.134530
0,1.333164,4.144683
0,-0.458387,0.302960
1,-0.242058,0.775430
0,0.505906,2.766374
0,-0.420714,-1.746622
0,0.088772,-1.154107
0,0.777202,0.015386
0,-0.214448,-0.823787
0,1.274539,7.509399
1,1.531471,10.896401
0,-0.781412,-1.553889
1,1.687499,9.521812
0,-0.035161,1.453111
0,-0.488065,-3.210430
0,-0.572891,-3.315536
0,2.161705,8.313648
0,-0.903946,-4.810801
0,0.391763,1.015706
1,1.178335,6.055994
0,1.110915,6.434310
0,0.488616,5.943320
0,-1.228296,-4.918719
0,-1.278884,-3.679324
0,1.444803,4.468495
0,-1.215753,-2.543455
0,0.310391,-0.789028
0,-0.355004,-3.545638
0,1.084193,5.087235
0,0.274716,-0.652694
0,-0.383394,-1.132050
0,-1.526088,-4.552297
0,-0.840044,-1.526881
0,-1.683615,-5.496101
0,-1.847057,-7.075939
0,0.600928,1.395176
0,-2.050579,-8.390179
0,0.779051,3.337934
0,0.890355,3.219815
0,-0.102589,-1.832340
0,0.306183,-0.616462
0,0.498312,-0.165716
0,0.190538,0.438399
0,1.262081,4.325052
0,-0.785115,-4.727615
0,-1.457372,0.876859
0,-0.913566,-5.388288
0,-2.549902,-4.430322
0,0.336333,-1.400277
0,0.139276,-1.654114
0,-0.378212,1.301030
0,-0.984157,-3.801366
0,0.724415,5.345559
0,0.061122,0.633024
1,1.473912,5.925322
0,0.843097,8.012618
1,1.429228,25.412795
0,1.992410,10.293037
0,2.068671,8.417268
1,0.943633,2.134565
0,0.311212,0.581701
0,-0.595871,-0.248792
0,-0.572956,-4.333477
0,0.402424,2.284487
0,-0.046874,-1.887367
1,1.147564,5.652777
0,0.885116,1.665083
0,-0.325656,-1.886905
0,-0.398262,-1.218027
0,0.182695,3.284925
1,0.568307,4.606328
0,-1.233096,-3.852147
0,-0.756071,-3.265484
0,1.356829,5.446118
0,0.326535,2.122689
0,-0.136501,1.452231
0,0.960562,1.970003
0,-0.218845,-1.100906
0,-0.176693,1.510119
0,0.445023,1.215272
