y,rr,eta
0,-3.430761,-12.595248
0,-4.573308,-18.206761
0,0.606356,-3.676513
0,0.990545,-1.316609
1,-1.799682,-8.483150
0,-1.494400,-6.956578
0,-2.498588,-10.319277
0,-2.413584,-10.788248
0,-0.140724,-5.123064
0,-0.989041,-6.994633
0,-0.155347,-4.352878
0,1.472163,-1.451739
0,-0.503029,-8.291998
0,0.810107,-3.768940
0,-3.497185,-13.676113
0,-3.964832,-11.174160
0,-2.055313,-9.976101
0,0.447481,-1.840153
0,0.413494,-4.443464
0,2.222757,-1.005184
0,-0.166781,0.035795
0,-3.932083,-14.966556
0,-7.019657,-18.386704
0,-0.398284,-6.349758
1,-0.898781,-4.934583
0,0.011989,-5.975826
0,0.961928,5.601097
0,-4.001222,-14.777112
0,-3.399540,-9.897570
0,0.836633,-3.157566
0,0.939394,-3.807648
0,0.152748,-0.077930
0,0.182504,3.333528
0,0.335312,-0.221585
0,-2.981070,-11.454963
0,-1.190612,-7.494892
0,-3.142448,-14.203834
1,-0.435608,1.303338
0,-1.117570,-7.709650
0,-0.381276,2.900042
1,0.104275,-1.425003
0,-1.194636,-8.985631
0,0.271955,0.951986
0,-2.784312,-12.236669
0,-0.055121,-2.652782
0,-2.929590,-10.357381
1,0.294401,11.497467
0,0.528056,3.022724
0,0.377981,-4.991718
0,-0.600227,-4.953624
0,-0.509611,-2.584477
0,-7.554574,-24.851112
0,1.020226,-2.591883
1,0.679556,-0.584301
0,2.207470,1.733755
0,-17.233921,-51.328238
0,0.229240,-6.042954
1,0.492163,0.790522
0,-1.104699,-3.581801
0,-7.512120,-20.929202
0,0.381638,-4.554646
0,-0.280265,-3.912426
0,-4.308988,-13.691656
1,0.500658,2.458711
0,-0.044732,-3.027327
0,-1.167057,-6.706233
0,0.534511,6.902301
0,0.099144,-2.297484
1,0.060286,3.003685
1,0.489667,58.647348
0,-1.177415,-8.133399
0,-9.878773,-26.228315
0,0.481603,-4.671383
0,-4.905492,-15.803417
1,0.068778,163.155397
0,-0.020075,-4.703978
1,0.098401,0.157839
0,-0.473286,-2.135808
0,-3.619554,-15.219635
0,0.180272,-5.695984
0,0.425278,-3.952196
0,-0.381013,-0.209866
0,0.272939,-0.440050
0,0.353052,1.629838
0,-1.214705,-7.287324
1,0.694404,2.103533
0,0.507559,0.156316
0,0.633433,3.108666
1,0.159119,1.232188
1,-1.067457,-1.680344
0,-0.094097,0.428494
1,-1.659700,35.882798
0,-1.374024,-4.091386
0,-4.527330,-17.166252
0,-0.707130,-6.228621
1,-0.541147,-0.882765
0,-0.189731,-5.931384
0,-0.715388,-0.069877
0,-0.205698,0.020352
0,-7.409312,-21.370268
1,-0.940759,-2.017293
0,0.630291,-0.581654
0,0.522228,0.773454
0,-2.460723,-11.879375
0,-0.017880,-6.789004
0,0.165571,2.699026
0,0.067494,1.370960
0,0.055419,1.293726
0,0.867878,0.239889
0,-3.307854,-10.873028
0,-1.223212,-5.941825
0,-4.354405,-14.806468
1,2.223602,253.725835
0,-1.184784,-6.286247
0,-4.027276,-13.949821
0,-1.006778,-1.501188
0,-3.413030,-12.516442
0,0.584262,3.713938
1,0.538226,13.213582
0,-1.700511,-4.523513
0,-0.254452,-5.660151
0,-0.857881,-6.866330
0,-0.590150,-7.375356
0,-2.481515,-8.980232
0,0.663571,3.364768
0,0.926852,6.647641
0,-7.270030,-22.658857
1,0.108968,0.225600
0,-2.909751,-6.891597
0,-3.987710,-16.673729
1,-1.561476,33.698639
1,-0.068515,15.378016
1,0.940908,9.886087
0,-1.626442,-11.072896
0,-2.084051,-11.118437
0,-2.379949,-13.401421
0,-0.222874,-5.689231
0,0.152438,-0.296205
0,0.269501,0.049018
0,0.473986,0.455307
0,-1.569651,-8.602544
0,0.752350,3.950847
0,-2.762765,-13.207401
0,-3.227912,-12.366100
0,-0.069836,5.881475
0,0.196938,0.544283
0,0.142601,1.491518
0,-7.440642,-21.609759
0,-0.686773,-2.924925
0,0.767669,-2.980224
1,-0.053905,164.006807
0,-0.455045,-7.895937
1,-1.450451,8.760293
0,0.804696,6.827541
0,-2.975001,-3.008779
1,0.125651,10.479208
0,-0.732778,-1.530767
0,-3.101660,-12.195056
0,-0.228024,2.924314
0,-8.550706,-26.344726
0,0.239008,2.759366
0,-0.483053,0.211543
1,-0.721453,-0.425823
0,-0.313499,-3.627807
0,0.615640,1.137789
0,-0.850358,-2.238333
0,-5.573958,-16.832764
0,0.294665,2.024981
0,0.159585,0.407505
0,-0.260134,-4.702266
1,-96.262385,-11.175144
1,-0.770326,-2.494910
0,-0.175023,0.194900
0,-0.411981,0.690286
0,0.482842,-2.715092
1,0.954769,5.937433
0,-6.323798,-14.994716
1,0.870703,7.010595
0,0.352075,-1.166633
0,-0.616748,-0.024431
0,0.153499,-1.631833
1,0.904889,9.298799
0,-0.502055,-5.703084
1,0.955961,3.576285
0,-1.109004,-9.120390
0,-0.222669,-1.370169
0,1.517457,-0.491763
