y,rr,eta,pt
0,0.792375,6.040698,0.674491
1,0.792375,6.040698,0.674491
0,-1.715153,-4.249173,-0.724315
0,-1.577346,-2.606374,0.246437
0,-1.142494,-4.802493,-1.183495
0,0.792375,6.040698,0.674491
0,0.792375,2.848730,0.587689
0,-1.010438,-4.156855,-0.967648
0,-0.425314,-2.402480,-0.862407
0,0.792375,6.040698,0.674491
0,0.792375,3.854411,1.361378
0,0.792375,2.258307,0.725675
0,-0.425314,-2.402480,-0.862407
0,0.792375,3.436929,1.040201
0,-1.367170,-3.575265,-0.353739
0,-1.117323,-5.596389,-1.255578
0,0.792375,1.880685,-0.157047
0,0.792375,6.040698,0.674491
0,0.792375,4.137362,0.986848
0,0.792375,6.040698,0.674491
0,-1.161246,-3.662456,-0.266562
0,-0.692221,-1.484384,0.411555
0,-1.834215,-2.319541,0.421197
0,-1.505878,-2.197044,-0.182865
0,0.792375,3.281292,-0.263952
0,-1.015968,-1.761225,0.294906
0,0.792375,6.040698,0.674491
0,-1.715153,-4.249173,-0.724315
0,0.792375,3.010283,-0.472445
0,0.792375,2.167407,0.063534
0,-1.618347,-3.509275,0.231227
0,-1.101639,-1.079525,-0.182865
0,-1.715153,-4.249173,-0.724315
1,0.792375,4.010526,0.889270
0,-1.197549,-4.713593,-0.998013
0,0.792375,6.040698,0.674491
0,0.792375,1.880685,-0.157047
0,0.792375,2.245762,0.123814
1,0.792375,6.040698,0.674491
0,-1.114504,-3.064916,0.093726
0,0.792375,1.061295,-0.787418
0,-1.194254,-3.305221,-0.513744
0,0.792375,1.841562,-0.187144
0,-1.171717,-4.771536,-0.505318
0,0.792375,4.056264,0.924457
0,0.792375,1.486826,-0.460050
0,-1.618347,-3.509275,0.231227
0,-1.167741,-5.125300,-0.785932
0,0.792375,1.880685,-0.157047
0,0.792375,2.394798,-0.353739
1,0.792375,2.394798,-0.353739
0,0.792375,4.156478,-0.182865
0,0.792375,3.699865,1.242483
0,0.792375,2.749407,-0.080932
1,0.792375,6.040698,0.674491
0,-1.198773,-3.083079,0.258976
0,0.792375,6.040698,0.674491
0,-0.940518,-3.303758,-0.460050
0,0.792375,3.826473,0.747675
0,-1.232428,-3.155455,-0.317338
0,-1.139107,-3.970755,0.041382
0,0.792375,2.749407,-0.080932
0,-1.170383,-5.728059,-1.244026
0,-1.074103,-4.814383,-1.338095
0,-1.715153,-4.249173,-0.724315
0,0.792375,6.040698,0.674491
1,0.792375,6.040698,0.674491
0,-0.801315,-0.763823,1.197916
0,-1.505878,-2.197044,-0.182865
1,0.792375,6.040698,0.674491
0,-1.170475,-2.142724,0.330015
0,-1.158004,-3.271102,0.619828
0,0.792375,1.244902,-0.646166
0,-1.065623,-4.098550,-0.805426
1,-1.007615,-5.059873,-1.076151
0,-1.618347,-3.509275,0.231227
0,0.792375,6.040698,0.674491
0,0.792375,6.040698,0.674491
0,0.792375,6.040698,0.674491
0,0.792375,6.040698,0.674491
0,-1.743413,-2.853708,-0.182865
0,0.792375,1.659747,-0.327018
0,0.792375,1.227326,-0.659688
1,-1.003467,-0.954082,0.889270
0,0.792375,6.040698,0.674491
0,0.792375,-0.192382,-1.159686
0,0.792375,1.307457,-0.005832
0,0.792375,1.486826,-0.460050
0,-1.098132,-1.866509,-0.203555
0,0.792375,2.603687,0.399173
0,-1.019968,-1.661574,0.380076
0,-1.025429,-2.596981,0.264273
0,0.792375,0.955696,-0.868658
0,0.792375,6.040698,0.674491
0,0.792375,1.244902,-0.646166
0,0.792375,2.261427,0.728075
0,0.792375,2.608095,-0.781856
0,-1.120514,-2.836355,-0.309865
0,-1.092587,-2.528091,-0.724315
0,0.792375,2.442114,-0.317338
1,0.792375,1.061295,-0.787418
1,-1.302645,-3.963283,-0.789478
0,0.792375,3.944722,0.246437
1,0.792375,6.040698,0.674491
0,-1.160146,-2.955632,-0.317338
0,0.792375,3.155168,0.231227
0,0.792375,3.368832,0.987813
0,0.792375,1.378246,-0.543582
0,0.792375,2.956936,0.670933
0,0.792375,2.338055,0.194817
