y,rr,eta,pt
1,0.392616,-0.098565,-0.746091
1,-1.152402,-3.550906,-0.179484
1,-0.536766,-2.486926,-0.620908
0,1.889340,5.836065,1.681710
0,-0.163654,-1.031737,-0.327717
1,1.310628,5.121963,-0.666449
1,0.112161,-0.200556,-0.280185
1,-0.457554,-3.686071,-1.009965
1,-1.115321,-1.205538,0.780242
1,-2.497217,-6.536940,0.326817
1,-0.657842,-2.436827,-0.354638
1,0.184892,1.728466,-0.861163
1,-0.430920,-0.784949,1.538715
1,-0.252770,-1.474045,-0.463301
0,-0.337662,-2.729807,-1.169832
1,-0.990477,-2.698908,0.100309
1,-0.197045,-1.467436,-0.565324
1,-0.201645,-0.360320,-0.382668
1,-1.669632,-3.629607,0.755460
1,1.436472,2.059323,-0.657516
1,-2.400363,-7.009142,-0.185191
1,0.906412,2.845227,0.900231
1,-0.313374,-2.448387,-1.021565
1,-0.093554,1.107936,-0.757900
1,-0.370378,-2.199873,-0.740563
0,-0.205976,0.620558,-0.880090
0,-0.229689,-1.293130,-0.974478
0,-0.420394,-1.358241,-0.654736
1,-1.178834,-3.494802,-0.090101
0,0.381185,-0.868266,-0.664608
0,0.541806,0.248381,-0.791407
1,-0.247984,0.976566,1.223234
1,-0.866020,-2.585332,-0.059175
1,-0.824425,-2.865568,-0.332651
1,-0.153845,1.760304,0.993252
0,-1.567957,-4.865769,-0.294389
1,-0.435933,3.853114,-0.572294
0,-1.170253,-5.133045,-0.055673
1,-1.944626,-4.465576,1.295256
1,-0.307704,-2.886886,-0.743618
0,1.604033,4.494924,0.115053
1,-0.403435,-2.484811,-0.874491
0,0.679603,2.773753,0.100214
0,0.168412,-0.881371,-0.858875
1,-1.389354,-4.434848,-0.337864
1,-0.168500,-0.965607,-0.864897
0,-0.727699,3.839868,1.753285
1,0.822987,1.031145,-0.787643
0,0.197811,-1.219173,0.035567
0,1.769402,1.980712,-0.756558
1,0.171328,-0.874879,-0.859960
1,0.960701,1.506155,-0.130184
0,-1.471545,-4.807587,-0.438556
1,-1.651863,-4.804458,-0.091463
1,-0.635587,-0.539621,1.507764
1,-0.447508,-3.618742,0.201824
1,-1.517771,-4.697352,0.318356
1,-0.512776,-1.465770,1.224205
1,-0.837260,-2.848332,-0.888381
1,0.773613,2.989920,-0.522250
0,-0.867640,-3.466358,-0.665698
1,0.304699,1.204482,1.508141
1,-0.103200,-0.284692,0.073556
1,1.631936,3.300056,-0.765106
0,-0.082543,1.020623,-0.247170
0,-0.028208,-1.587257,-0.971199
0,-1.668664,-3.891918,0.572103
1,-0.403175,-2.416062,-0.827418
1,-0.327376,-3.831868,-0.767655
1,-0.388028,-1.296518,-0.673938
1,-0.590941,-2.500769,-0.526857
1,-0.346663,0.115255,-0.368405
1,1.494024,4.818834,1.734034
1,0.304973,-0.566233,-0.902043
1,-0.190193,-1.977908,-0.931650
0,1.282721,3.279337,0.480775
1,-0.071545,-0.443430,-0.096833
1,-0.165380,-1.542342,-0.677726
1,-2.231353,-5.537997,0.509464
1,-0.303582,-2.048408,-0.763532
1,-1.362657,-3.371649,0.346745
1,-0.638136,-3.168649,-0.898715
0,-0.518373,6.169712,2.372784
1,-1.324634,-3.445368,0.223002
1,0.121198,-1.019058,-0.863831
0,-0.081985,-1.474055,-0.789999
1,0.554541,2.747104,-0.271207
0,-0.076925,-1.577090,-0.870974
1,-1.129652,-4.038121,-0.560129
0,-0.161504,-1.798128,-0.862130
1,1.200442,3.001075,-0.146587
1,-0.472403,-2.799611,-0.960388
1,0.129182,-1.126984,-0.953783
0,-2.492804,-5.328242,1.154730
0,-0.433590,-2.015584,-0.492129
1,-1.023200,-3.529712,-0.411968
1,-0.621437,-0.103972,1.782141
0,1.717863,5.831235,2.598593
