y,rr,eta,pt
0,1.028987,0.095334,-1.237019
1,-0.863104,-4.094495,-0.516801
0,-0.503233,-2.039885,0.216485
0,0.150406,-1.904155,-0.347724
0,-0.795269,-0.827415,1.614079
0,0.350965,-1.614732,-0.531104
0,-0.104257,-1.192354,-0.552474
1,-1.504693,-4.788864,0.230017
0,0.510471,2.409503,-1.012717
0,-0.366335,-3.140179,-1.398938
0,0.634658,4.275729,1.225473
0,-1.854254,-2.727920,0.548120
0,0.758155,-0.729645,-1.289789
0,1.624181,5.589903,0.241968
0,0.350965,-1.614732,-0.531104
0,0.872230,1.125782,-1.408565
1,0.734534,-0.270737,-0.927066
0,1.653813,4.097261,0.336879
0,-0.424638,1.483559,1.911964
0,-0.749419,-2.378372,-0.139013
0,0.781919,1.288080,-0.531300
0,-2.345981,-5.658521,1.237548
0,1.646962,5.014459,-0.199784
0,1.106485,1.417982,-0.470064
0,-1.355899,1.247172,-0.023466
0,0.542747,3.109896,0.002387
0,-0.847883,1.753257,-0.052849
0,0.827672,3.086392,0.033305
1,-1.514385,-3.685700,-0.172533
0,-0.447232,-2.606398,-0.874844
0,0.063469,0.046995,0.576457
0,-1.758946,-1.448682,0.658761
0,-0.868995,-2.886032,0.922867
0,-0.888793,0.679620,2.835766
0,0.250417,0.348327,-0.164857
0,-0.737017,-3.466902,-0.323732
0,0.472520,1.855704,-0.138899
0,0.864557,4.292560,1.389559
0,1.202364,1.389426,-1.265437
0,0.435995,0.089358,-0.106829
1,0.282655,0.611326,-1.228962
0,-2.234881,-1.978773,1.794585
1,-0.819917,-4.361613,-0.784245
0,-0.320131,-1.000374,1.177727
0,1.782750,10.384155,4.440426
1,0.175670,1.567505,-0.362688
0,0.784201,1.533531,0.818593
0,1.070630,2.490656,0.340757
1,-0.999437,0.129007,2.666421
0,-0.893985,-0.427447,0.303039
1,2.085378,8.419112,1.317410
0,-0.906389,-4.474445,-0.696908
0,-0.004072,-0.315750,0.454655
0,0.230291,0.006847,-0.362644
0,0.987646,9.510959,-0.564932
0,-0.824606,-2.175058,0.737702
0,0.444690,0.307261,0.027315
1,0.880764,0.945236,-0.365399
0,0.177911,0.692738,0.212154
0,-0.577696,0.974020,0.667754
0,0.006740,-1.215116,-0.188340
0,0.101978,-0.427460,0.174497
1,-0.291583,-2.031373,-0.774696
0,-0.703263,1.663280,2.569299
0,-0.539678,-1.131465,-0.269642
0,0.919482,2.952150,0.357004
0,-0.253614,-3.502325,-0.680727
0,-1.101693,-2.614694,0.963533
1,0.149289,-1.631579,-0.749188
1,0.772025,1.820555,-0.736139
0,-0.854153,3.081542,1.470457
0,1.101363,3.325443,0.267385
0,0.045223,-0.958449,-0.676562
1,-0.732788,-2.794558,0.133404
0,0.706440,2.230604,-0.919162
0,-0.751519,1.010290,1.617563
0,0.845770,-0.351118,-1.195467
0,1.612119,5.763985,0.977706
1,-0.573767,-1.891130,-0.137872
1,-1.353732,-2.838089,0.698866
0,0.542678,3.249619,1.283619
0,2.130530,9.112108,1.710556
1,0.088744,2.882868,-0.470668
1,1.002757,0.127570,-1.164538
0,-0.224734,-2.114086,0.224615
0,0.610927,-0.187213,-1.225034
0,-0.224326,-1.183294,-0.908737
0,-0.856422,-3.465046,-0.094040
0,1.854012,4.979664,0.564495
0,0.886382,0.929584,-0.979186
0,0.204732,-1.475609,-0.747321
1,-0.671042,-0.121115,0.088540
0,-1.668279,-3.667992,0.134102
0,0.913686,3.057922,1.033489
0,-1.280612,-2.649295,0.097423
0,2.212957,7.133038,1.367893
1,0.890001,3.041899,-0.708921
1,0.443271,2.665799,1.069801
1,-1.004959,-3.557574,-0.466140
0,-0.959422,-4.977956,-0.943865
1,-1.024626,-2.340712,1.005694
0,-0.841881,0.137981,1.779034
0,0.564345,3.462583,-0.387096
0,0.146342,2.410726,1.461294
0,0.552318,1.548422,-0.504168
0,-1.703568,-6.845698,-0.220566
0,-0.704535,-2.517940,0.270763
0,2.043764,4.969293,0.194347
1,0.442042,1.189930,0.643140
0,0.167342,1.611580,-0.908470
1,0.046399,0.872990,1.180654
1,0.265693,-1.982119,-1.214411
0,1.022473,0.208049,-1.146565
0,-0.117388,0.109678,-0.810839
0,-0.791118,3.887900,3.092252
0,0.580477,2.080470,0.402326
0,-0.495716,7.138279,4.184059
0,-0.731552,0.895779,0.907925
0,-0.088073,-1.978346,-0.535087
1,1.046770,1.859659,-0.642427
1,0.565467,2.685256,0.849517
0,-0.006568,-1.447041,-1.507780
1,0.304174,-0.721730,-0.415899
0,-1.273430,-3.113628,0.946811
1,-1.181519,-3.266876,-1.111673
1,0.345405,-1.163795,-0.800654
1,0.180513,-0.965469,-0.348005
1,-0.222495,-0.484587,0.163438
1,0.761561,1.825541,-0.120465
1,0.099801,-1.576096,-1.208342
0,-0.815046,-2.913960,0.208135
0,0.590681,3.160323,1.722217
0,0.662026,5.011165,0.497586
0,1.460259,2.317764,0.068019
0,-0.679873,-1.410920,0.989585
0,-1.719276,-3.091541,0.630526
1,0.626009,0.276539,-0.340785
0,0.575092,0.417735,-1.330105
0,-0.654515,-2.430623,0.235500
0,0.404774,1.709056,-0.702992
0,-1.514841,-1.361607,1.436487
1,1.187067,3.538912,0.251152
0,1.678176,8.357757,2.053887
0,0.310060,-0.309227,-0.733939
0,-0.303207,-2.864313,-0.736602
0,0.006731,0.996969,-0.434308
1,0.177729,1.142030,-0.661034
0,-1.020738,2.906473,2.852395
0,0.744019,-1.148947,-1.552883
0,-1.398031,-3.576283,0.272815
0,0.943000,6.836830,0.631165
0,-1.570319,-3.016983,0.397179
1,0.114074,-1.256743,-1.014670
0,2.014878,8.509896,2.107297
1,0.032138,0.679823,-0.110146
0,1.823469,4.318695,-0.426643
0,0.333666,2.007716,0.231896
1,0.635033,3.098759,2.186987
1,0.420596,0.418776,0.150567
0,-0.854450,-1.647218,0.567818
0,1.349633,4.793943,1.400805
1,-0.020264,-2.742911,-1.193836
0,0.403819,2.381491,-0.828087
0,-0.878974,3.564689,4.813295
0,-0.049478,0.375282,0.427459
1,-1.205602,-4.163970,-1.094137
1,-0.083472,-3.121160,-0.742444
0,0.362340,7.573022,1.066886
0,-1.084920,-2.953927,1.288928
0,0.698090,-0.989271,-1.354539
0,-0.871961,-2.675491,-0.110195
0,-0.174324,-2.204105,-0.526311
0,-0.111318,-2.974659,-1.180015
0,0.927714,3.764346,0.311043
1,1.271427,2.072593,-0.924832
