y,rr,eta,pt
1,0.599093,2.579279,1.007969
0,-0.184087,-1.969254,-0.345131
0,0.944407,-0.445445,-1.153312
0,-0.687871,-4.284710,-0.983621
0,1.264839,2.698002,-0.479480
0,1.261378,2.386479,-0.688417
0,-0.463579,-1.116656,-0.701067
0,0.575689,1.404452,0.535927
1,-2.411975,7.924647,1.583354
0,0.197624,2.811619,0.160071
0,-0.464839,-3.351310,-0.764394
0,-0.170328,-1.940873,-0.055708
1,-0.602512,-1.670133,0.662243
0,-1.680659,-4.438480,0.216857
0,0.000000,-2.040692,-0.450595
0,0.528558,-0.997023,-1.035608
0,-0.944740,-2.500907,-0.146279
0,1.317752,2.741236,0.337534
1,1.183112,4.970089,1.841223
1,-0.779331,2.432016,1.766208
0,0.045394,0.911710,0.321054
1,1.345100,4.748500,1.378033
0,-1.037187,-3.830144,-0.593094
0,-0.417101,0.290669,0.776027
1,0.503963,3.173996,1.601454
1,1.437725,5.117968,1.456503
0,-0.290451,1.161498,0.248011
1,0.782748,3.655425,1.993502
1,1.211862,5.145837,1.907837
0,-0.021940,0.309624,0.329351
0,1.290442,3.012564,-0.903006
0,-0.659199,-1.664492,-0.113733
0,-0.913718,-0.509497,1.172326
0,-0.381672,-1.807377,-0.447373
0,-0.315460,-0.163276,1.451914
0,-0.345854,-1.293758,-0.160493
0,0.030518,0.265258,-0.097800
1,-0.475799,-0.324029,1.351287
0,0.318004,0.526513,0.421361
0,-1.227721,-2.770653,0.208381
0,-1.383145,-3.411380,0.062339
0,0.450816,-0.508394,-0.252686
1,0.376846,0.506235,0.294773
0,-1.312638,-5.832618,-0.859582
0,-1.464702,5.293665,0.615777
0,-0.089219,3.099128,1.499918
0,-1.408964,-1.217213,1.037764
1,-0.103937,3.846525,2.341335
0,-0.303174,-2.228420,-1.184974
0,0.858422,4.140357,1.888188
0,-0.637294,-2.647199,-1.131720
0,-0.592369,-2.102812,-0.248760
0,-0.680542,-1.803456,-0.169062
1,1.216194,5.784090,2.637292
0,-0.292212,-0.901619,0.008236
0,-0.461239,0.361297,0.021014
0,0.939255,1.024006,-0.422780
0,-0.073839,0.448049,0.524411
0,-0.099851,-0.770541,-0.269032
0,-0.344750,-1.653370,-0.411436
0,-0.457601,-2.045662,0.125198
0,-0.556616,-3.589902,-0.457823
0,-0.015634,2.337885,0.240210
1,0.240026,1.076603,0.358948
0,-0.106284,-2.807703,-1.074122
0,0.513071,-0.710553,-1.103865
0,-0.645542,-2.833818,-0.948967
0,-1.201396,2.242478,0.073581
0,1.367936,4.756077,1.635697
0,0.717098,-0.486358,-1.339015
1,0.478290,0.768262,0.578136
0,-1.079299,-0.358408,-0.183019
1,-0.237790,-0.528740,0.162144
0,-1.546530,-1.032556,0.540369
0,0.701420,1.011172,0.023289
1,0.114530,3.491224,1.381479
0,-1.374176,-3.142501,0.231233
0,-0.304795,-0.332146,-0.758070
0,0.411524,3.493948,2.591877
0,0.914011,1.074376,-0.339639
0,-0.569111,-2.484760,-0.853642
0,0.462985,4.158015,1.768518
0,0.716388,0.964328,-0.926070
0,-0.324561,-1.565064,-0.685059
1,0.773031,1.354487,0.419965
0,1.418847,3.029591,0.343676
0,-0.740507,2.893404,0.826778
0,0.659958,2.601741,0.314875
0,-0.731393,-1.898344,-0.729656
0,1.423282,2.228062,-1.403842
1,1.338296,5.799477,2.118266
0,-1.000233,-3.983630,-0.177779
0,-1.120569,-3.162361,0.028474
0,1.477360,5.005713,1.006907
0,-0.912958,-3.731477,-0.466354
0,0.773980,1.051572,-0.087554
0,0.471404,-0.857809,-1.126054
0,-0.875563,-2.700813,0.767488
0,0.936885,1.323715,-0.506969
0,0.388129,0.646720,-0.221811
0,1.089539,2.306756,0.177336
0,1.443672,3.644505,0.129467
0,1.145352,2.543721,0.234540
0,0.032840,6.402871,1.775817
0,0.014948,-0.503490,-0.303843
0,0.455811,-0.035833,-0.231359
0,-1.225570,-2.513057,0.382507
0,-0.606802,1.204335,-0.005519
0,-0.696812,-1.576176,0.315431
0,-1.037084,-3.080129,-0.370427
1,-4.263944,-3.351913,2.060865
1,-1.403849,-2.201056,0.939424
0,-0.226243,0.231835,0.370228
0,0.440610,-0.386680,-0.741153
0,0.324422,3.490253,2.163728
0,0.543190,-0.809017,-1.229613
0,-0.463242,-2.364880,-0.973207
0,0.316466,-1.282615,-0.827514
1,-0.486922,-0.670174,1.133050
1,-0.305690,1.826702,0.145238
0,0.958012,2.313576,-0.158559
0,0.366457,-1.386643,-1.291227
0,0.944959,0.370550,-1.181953
1,-0.079198,-1.078767,-0.817917
0,0.446875,1.249616,0.082985
0,-1.716237,-4.563673,-0.097818
0,0.252297,0.619883,0.019449
1,-0.334151,-0.759203,0.483109
0,-0.020145,-2.254766,-0.560188
0,-0.385109,-0.051068,-0.409947
0,-1.225305,-2.335630,-0.383544
0,-1.175559,-2.933612,-0.300263
1,-0.344419,-1.818138,-0.229976
0,-0.690035,-2.923754,-0.926089
0,-0.332369,-3.754658,-1.000784
1,1.290079,3.456224,0.589096
0,1.026271,2.670235,-0.042341
0,-0.638725,0.718357,-0.280724
0,0.549721,-0.516369,-0.743503
0,0.547014,0.183791,-0.549958
0,-0.296718,-2.860375,-0.746288
1,-1.574037,-1.861814,0.315290
1,-0.988432,-0.379059,0.517187
0,-0.540529,-0.401705,-1.243583
0,0.138821,0.626931,0.537497
0,-0.744181,-3.675020,-0.750139
0,-1.589188,-2.825719,0.565617
1,0.715544,3.744558,1.591523
0,1.514985,6.680711,1.501732
0,-0.850038,-0.258302,-0.552302
0,-0.409084,-3.436208,-0.929791
0,0.672308,1.138999,-0.128678
1,-0.523704,-0.686978,0.599573
0,-1.169188,-1.585395,0.916547
0,-1.695051,-5.911228,-1.070780
0,-0.407864,-2.700621,-0.719243
0,0.728828,0.155246,-0.917498
0,0.871746,2.262348,0.859326
0,0.078937,2.386632,0.981352
0,0.268746,-0.693491,-0.624695
0,0.032523,1.791806,1.250758
1,1.259757,2.926421,0.576609
0,-0.856630,-2.263010,-0.446318
0,0.632721,4.118343,1.416382
0,0.275614,-1.052839,-1.182586
0,0.327632,-0.337296,-1.083078
0,1.014560,3.102175,0.575044
1,-1.136745,-3.173862,0.051459
0,1.239591,1.445445,-0.705675
1,-1.750369,-6.202957,-1.166823
