y,rr,eta,pt
0,0.444100,0.791528,-0.905213
0,1.113454,1.148066,-1.135658
0,-0.118467,-4.519055,-2.093081
0,0.794555,-0.678443,-2.030585
1,0.213033,0.273100,-0.199015
1,-0.373783,-1.208140,0.526749
0,0.450895,-1.969559,-1.169190
1,0.149516,0.048995,0.347249
1,0.139975,-0.801686,0.750970
1,-0.889190,-0.505481,0.765075
0,-3.434496,-12.896141,-1.937011
0,-0.875671,-4.210788,-0.410776
1,0.530177,0.628862,-0.100226
1,-0.108927,1.670313,0.782842
0,0.186582,-0.837284,-0.589194
0,0.320431,4.103997,0.779193
1,0.511616,2.489227,0.525903
0,-2.095101,-6.309546,-0.982358
0,-1.619952,-2.588086,1.298173
0,0.110795,0.524725,-0.285224
1,-2.224383,-7.134648,0.351310
0,0.957422,2.519595,0.571848
0,0.150191,-3.037909,-1.985914
1,0.467049,1.604850,0.397207
1,-0.754448,-2.164117,0.618022
0,0.257269,1.606510,-0.236381
1,0.227264,1.452023,0.288073
1,0.128764,1.328460,0.428946
1,0.874640,1.120644,-1.128561
0,0.570690,0.643880,-0.192077
1,-0.519166,1.063296,0.097627
1,0.927182,1.467287,0.246593
0,-0.736641,-3.065201,-0.874228
0,-1.691125,-7.506107,-1.396704
1,0.278226,19.017575,0.801312
1,-0.159058,0.790008,1.264780
1,0.437382,0.565397,0.082626
1,-0.896076,-3.191283,0.016014
0,-0.053706,0.606969,0.223375
1,-0.601014,-0.531743,0.577894
0,-0.593765,-4.377640,-1.306906
0,0.796040,-0.886406,-1.639224
0,0.350171,-1.137143,-0.709297
1,0.374995,0.081319,0.379712
0,0.811368,7.480508,0.322848
1,0.721934,3.297648,0.148680
0,-2.639809,-9.587274,-2.068299
1,0.577838,-0.068543,0.298892
0,-2.842084,-11.964939,-2.013946
0,0.349228,-1.498656,-1.641428
0,-1.781423,-5.408386,0.234261
1,-0.907695,-1.228481,0.128773
0,-2.331942,-9.694806,-1.791796
1,0.980068,4.631555,0.143954
0,-0.066289,-1.922914,-0.955312
0,-7.522389,-22.300271,-1.917133
1,-0.878934,0.281304,0.891179
0,-4.198094,-14.915615,-1.850356
0,-2.437476,-10.161212,-1.957214
0,-0.588744,-2.900140,0.079290
1,-0.899896,0.120860,0.794104
0,-1.785047,-3.732635,1.238644
0,0.529681,0.144011,0.034079
0,0.229131,-0.996716,-1.443807
0,-0.189510,2.664836,0.159112
0,0.736818,-1.898220,-1.850245
0,-1.296041,-1.742075,1.251350
1,-0.374652,-0.502058,1.197754
1,-1.604682,-3.891893,1.207776
1,-0.726835,-0.238164,1.185374
0,-1.319501,-4.018518,-0.251036
0,-4.218015,-14.314673,-1.821258
1,-0.478892,0.083547,0.840888
1,-1.622964,-8.246107,-2.276021
0,0.774951,-1.083524,-1.770700
0,-3.184835,-10.935783,-1.326243
0,0.339310,0.209582,0.002411
0,0.236466,-1.365110,-1.219705
1,0.888924,1.084092,-0.608370
0,-2.460171,-9.919874,-1.669221
0,-3.046284,-11.515632,-1.645969
1,0.327224,1.954685,0.502425
0,-6.082623,-19.373668,-2.322816
0,-1.236591,-6.710823,-1.833578
0,-0.854920,-5.057612,-1.859344
0,-0.001928,-3.274927,-1.812106
1,0.690876,2.019563,0.203945
0,-0.323895,-4.231858,-1.283213
1,-0.077333,0.773188,0.442662
0,0.353839,-0.457830,0.516684
0,-0.386495,-4.730768,-2.184038
0,-4.869183,-16.518193,-1.611075
0,0.775488,-1.631363,-2.290962
0,0.772778,2.582941,0.523079
1,0.098439,2.286827,0.231594
0,-4.006321,-14.780023,-2.224050
0,0.087265,-0.189299,-0.307659
0,0.759207,0.631612,-1.881701
1,0.117880,1.184619,0.321211
0,-0.051322,-2.941129,-0.774431
1,-0.011273,2.522476,0.149821
0,-0.866139,-4.639878,-2.026543
1,-0.167807,1.453876,0.139807
0,-1.162176,-3.508358,1.004638
1,0.737237,5.123201,0.060966
0,-1.858747,-4.411054,0.789077
1,-1.213000,-5.853151,-1.675254
0,0.708872,2.100628,0.825813
0,0.252655,0.055358,0.083232
1,0.246154,-0.129299,-0.666845
1,1.103709,2.228135,-1.271628
1,1.134245,4.043089,0.367361
1,0.875517,3.284410,0.326235
1,0.858248,1.064513,-1.138805
0,0.262428,-1.103762,-1.040159
0,-0.745716,-2.028034,0.131834
0,0.580201,0.991496,0.704458
0,-1.313537,-5.965627,-1.518548
1,0.306166,-0.285376,-0.971792
0,0.208393,-1.249292,-0.444302
1,0.459219,0.329249,0.394006
0,1.043913,2.156743,-0.590473
0,-0.320037,-0.541982,0.424735
0,-0.047982,-0.447716,0.393917
0,0.505600,0.842166,-0.426067
0,0.309845,2.136347,0.127768
1,0.348533,1.368160,1.075551
0,0.525197,6.091412,0.348715
0,1.182118,1.872663,-0.036962
1,-1.299021,0.153133,0.093054
1,-0.525608,0.618227,1.469598
1,0.526023,3.442091,0.206219
0,-3.443915,-12.006923,-1.662380
0,0.008281,0.101472,0.174529
1,0.604154,0.585490,-0.334995
0,-1.039871,-3.425287,-1.013540
0,0.305591,-0.734153,-1.395324
1,-0.763330,0.116885,1.024985
0,-1.506402,-4.577484,-0.291077
1,-1.683318,-4.988378,0.375186
1,-0.808106,-3.243678,0.328271
0,-0.280904,-1.393685,0.107839
1,-1.016374,-2.191176,0.685975
0,-0.462503,0.134766,0.846486
1,0.675868,1.853714,0.086165
0,0.774588,-0.757300,-1.460781
0,-0.795032,-0.530247,0.495090
1,-1.056704,-4.098353,0.169701
0,-0.234263,-0.416743,0.318772
0,-0.176531,-0.807560,-0.794739
0,-2.174431,17.121499,0.097340
1,-0.613338,-1.562938,0.225727
0,-0.838555,-1.728347,0.066535
1,0.630594,1.319563,0.291018
0,-0.678735,-2.144617,0.438254
0,0.860424,-1.178243,-2.084196
1,-0.326560,0.403669,0.745232
0,1.015812,1.407194,-1.819005
0,0.208974,1.579263,1.048681
1,-0.505556,-0.436130,0.418516
1,0.717113,7.619972,0.701719
0,0.460462,1.114809,-0.049663
1,-0.866836,-0.438715,0.769783
1,-4.131385,-11.083069,-0.764054
0,0.591497,2.095469,0.536035
1,-1.872920,-4.375120,0.268011
1,-0.169511,3.661102,-0.134106
0,-0.395955,-1.285789,0.511259
0,0.935704,2.292060,0.413215
0,-0.271866,0.303153,1.099039
1,-0.654518,-2.380847,0.743325
1,0.277364,1.002096,0.322984
0,0.451382,3.564535,1.109824
1,0.805391,7.136026,0.604450
1,1.519506,43.352273,0.463582
1,-0.128693,-0.110409,0.332492
1,0.000000,0.087290,0.182780
1,0.908583,3.189074,0.741575
0,0.933554,1.476277,-0.945993
0,-0.141427,-0.690801,0.408353
1,-0.248812,0.959459,0.475847
1,1.519506,43.352273,0.463582
0,1.014836,0.812611,-0.602951
0,-0.081505,-2.757240,-1.705662
0,0.947823,1.675182,-1.387180
1,-0.205559,-0.976000,0.306157
1,0.100574,-0.882708,0.185186
0,-1.561650,-5.725397,-1.233613
0,-0.960749,-6.785412,-2.034238
0,-0.049200,-4.058712,-1.838451
0,0.674491,1.683640,0.520902
0,-0.100720,-1.824510,-0.771963
1,0.648601,2.401407,0.676276
1,-0.219335,0.848678,0.885958
0,0.915091,1.874180,0.071410
0,0.455028,1.354105,0.191200
0,0.846099,1.269146,-0.320977
1,1.018888,5.470253,0.244435
0,0.624896,-1.140387,-2.023880
0,-0.442400,2.501426,-0.517942
0,-0.911757,-2.573623,0.642054
0,-0.686125,-5.498815,-2.126947
0,0.472537,-1.113734,-1.007513
1,0.093156,0.665175,-0.106019
0,-0.663840,-0.240726,0.425800
0,-2.273185,-8.473904,-0.789322
0,-0.281618,-0.749290,-0.464406
0,-1.873911,-6.335615,-0.401759
1,-0.622231,6.841616,0.510236
1,0.875390,4.441001,0.237554
0,0.629532,-0.382305,-0.725830
1,0.984624,2.427501,-0.178806
0,0.430232,-0.233500,-0.063077
1,1.519506,43.352273,0.463582
0,1.519506,43.352273,0.463582
1,1.519506,43.352273,0.463582
1,-0.582915,-0.139152,0.310119
1,0.430403,1.062620,0.571818
1,0.180271,3.405253,0.484388
0,0.191085,-0.798507,-0.564257
1,0.552561,2.056515,0.008876
0,-1.347991,-3.176660,0.028672
0,0.711487,-1.617472,-2.110236
1,0.875840,3.238461,0.874080
1,-0.334583,1.334369,1.055493
0,-0.651645,-2.027042,-0.705739
1,1.007076,2.736233,0.647019
1,-0.183940,-1.011365,0.216057
1,0.323523,0.063580,0.497678
1,-0.240586,-0.651693,0.112807
0,0.499655,2.216483,0.298903
1,1.074143,0.615421,-1.537199
0,0.427223,-1.240889,-1.009299
0,0.285725,0.726984,-0.551675
1,0.309948,1.145557,0.965750
0,-1.919476,-9.953937,-2.524952
1,-0.166867,2.953275,0.965216
0,0.251874,2.346213,-0.113894
1,0.014012,1.412634,0.809118
0,-1.038556,-4.544120,-0.892209
1,-0.435190,1.307754,0.701493
0,0.278876,-0.306732,0.263851
0,0.139842,-2.440878,-1.393369
0,0.050464,-2.782265,-2.074892
0,-0.537903,-1.947660,-0.336151
1,0.646823,3.699520,0.725954
0,-0.048965,-1.384588,0.101388
1,-0.739747,0.219443,0.468163
1,0.046761,7.617873,0.678256
0,0.065439,0.205709,0.123601
0,-1.140428,-5.877591,-1.296204
1,0.724954,3.624708,0.450534
1,-0.372577,-1.488590,0.257977
1,0.229763,1.249230,-0.502744
0,-0.923906,-5.694404,-1.689618
1,0.330693,-0.013837,0.405583
1,0.963434,1.704928,-0.215464
0,0.647384,0.531838,-0.498996
1,-1.011045,-1.234948,0.393247
0,-0.600177,-2.095461,-1.497503
0,-0.493048,-1.178033,-0.909099
0,0.900430,-0.226403,-0.695246
1,0.788296,6.689486,0.226289
0,0.656035,-1.587671,-1.936825
0,0.872014,0.124751,-2.064897
1,1.010035,1.785773,0.923512
1,-1.252979,-3.537709,0.622377
1,0.496580,1.792369,1.089697
1,-1.318123,-5.503453,-1.068816
1,0.649915,3.523167,-0.633584
1,-0.025378,-1.676321,-0.236668
0,-0.169596,-1.015091,0.174971
0,0.896380,2.533980,0.153085
0,-1.115845,-4.007143,-1.365697
0,1.007703,0.776399,-1.802990
0,-0.900253,-5.787406,-2.431838
1,-1.143620,-3.448329,0.420697
0,-1.118479,-5.189773,-0.702238
1,-0.124885,1.734027,0.884967
1,-1.171920,-2.861129,0.458722
0,-0.530988,-0.345555,0.570887
1,-0.288497,-1.904576,0.236064
0,-1.159422,-6.057406,-2.008985
1,1.103164,3.111140,0.750510
0,-1.382629,-5.087398,-0.505876
